term,Category,Freq,Term,Total,loglift,logprob
1539,Default,696.0,lund,696.0,30.0,30.0
2583,Default,130.0,sushi,130.0,29.0,29.0
924,Default,302.0,excellent,302.0,28.0,28.0
1729,Default,809.0,nice,809.0,27.0,27.0
1806,Default,155.0,ordered,155.0,26.0,26.0
366,Default,84.0,burger,84.0,25.0,25.0
1619,Default,348.0,menu,348.0,24.0,24.0
716,Default,147.0,day,147.0,23.0,23.0
2154,Default,109.0,restaurants,109.0,22.0,22.0
1004,Default,133.0,fish,133.0,21.0,21.0
2200,Default,132.0,salad,132.0,20.0,20.0
285,Default,120.0,big,120.0,19.0,19.0
1505,Default,123.0,location,123.0,18.0,18.0
367,Default,65.0,burgers,65.0,17.0,17.0
2226,Default,69.0,say,69.0,16.0,16.0
2218,Default,87.0,sauce,87.0,15.0,15.0
484,Default,103.0,choice,103.0,14.0,14.0
2615,Default,162.0,taste,162.0,13.0,13.0
1260,Default,109.0,hotel,109.0,12.0,12.0
2278,Default,128.0,served,128.0,11.0,11.0
741,Default,257.0,delicious,257.0,10.0,10.0
1041,Default,156.0,fresh,156.0,9.0,9.0
1314,Default,49.0,indian,49.0,8.0,8.0
2401,Default,104.0,soup,104.0,7.0,7.0
777,Default,124.0,different,124.0,6.0,6.0
2153,Default,823.0,restaurant,823.0,5.0,5.0
1548,Default,110.0,main,110.0,4.0,4.0
771,Default,67.0,didn,67.0,3.0,3.0
2650,Default,80.0,thai,80.0,2.0,2.0
864,Default,214.0,eat,214.0,1.0,1.0
1134,Topic1,713.1781972269424,great,713.9139823763734,0.1722,-4.1749
1948,Topic1,366.0980315591325,pizza,366.7488765042415,0.1715,-4.8417
1046,Topic1,450.4577455548815,friendly,451.40727976566404,0.1712,-4.6344
2078,Topic1,233.74884296059435,quality,234.3998116527244,0.1705,-5.2904
2355,Topic1,242.87992146960565,small,243.56240513201573,0.1705,-5.2521
2030,Topic1,214.35826334343238,price,215.00914899689556,0.1702,-5.377
2677,Topic1,206.85651425352557,times,207.5194402896326,0.1701,-5.4126
1535,Topic1,521.3111378774812,lunch,523.0693675017573,0.1699,-4.4883
2460,Topic1,519.0430045697527,staff,520.8389953715968,0.1698,-4.4927
2122,Topic1,178.37209206597768,recommend,179.0227529668418,0.1696,-5.5608
1365,Topic1,185.9816548115994,italian,186.66780737060935,0.1696,-5.519
2938,Topic1,161.24183576273512,wine,161.89131062338228,0.1692,-5.6617
1599,Topic1,160.5723180805761,meat,161.2245718778587,0.1692,-5.6659
2265,Topic1,158.47953401639464,selection,159.1289230796364,0.1692,-5.679
1024,Topic1,1640.837144792359,food,1647.7389018851588,0.1691,-3.3417
1906,Topic1,154.0598696580076,people,154.70879901527925,0.1691,-5.7073
2816,Topic1,153.27973182080973,ve,153.92910119996165,0.169,-5.7124
2597,Topic1,164.04619152190924,table,164.74933883601003,0.169,-5.6445
2032,Topic1,148.56419251300576,prices,149.2188928999556,0.1689,-5.7436
1781,Topic1,146.02515102119133,ok,146.67431377448312,0.1688,-5.7609
1822,Topic1,137.45407264604992,outside,138.10310251344663,0.1685,-5.8214
2590,Topic1,140.87900058360887,swedish,141.61545270755823,0.168,-5.7967
546,Topic1,120.24242517807345,come,120.8920939295534,0.1679,-5.9551
937,Topic1,120.60680386991503,expensive,121.26333815981094,0.1678,-5.9521
1047,Topic1,117.00685292064247,friends,117.65586589262102,0.1677,-5.9824
136,Topic1,115.54517245450998,amazing,116.19691663924344,0.1676,-5.995
736,Topic1,112.1033381535637,definitely,112.75283844588297,0.1675,-6.0252
282,Topic1,110.86419748010495,better,111.51380982706628,0.1674,-6.0363
1949,Topic1,110.61653591277985,pizzas,111.26572489575038,0.1674,-6.0386
1994,Topic1,107.18749484461925,portions,107.8368346871457,0.1672,-6.0701
1953,Topic1,925.085468573914,place,930.9322939931133,0.167,-3.9148
2282,Topic1,793.044502484267,service,798.5505941312749,0.1663,-4.0688
1111,Topic1,1476.2096137203011,good,1497.466535143082,0.159,-3.4474
2153,Topic1,816.7779535737973,restaurant,823.9188673983521,0.1646,-4.0393
2675,Topic1,291.21947443027824,time,294.54536968446394,0.1619,-5.0706
2110,Topic1,488.0626664624022,really,496.3425912175032,0.1564,-4.5542
1729,Topic1,790.9020544405331,nice,809.562354345563,0.1499,-4.0715
280,Topic1,338.4406914866672,best,343.7879466492765,0.1576,-4.9203
788,Topic1,300.3222346538089,dinner,305.0211165504428,0.1577,-5.0398
204,Topic1,274.5956750285814,atmosphere,279.6168051616987,0.1551,-5.1293
293,Topic1,235.27438589908488,bit,239.11585681576,0.1571,-5.2839
1539,Topic1,659.8867845164036,lund,696.182555041209,0.1197,-4.2526
1392,Topic1,273.1728246906552,just,280.3165560203009,0.1474,-5.1345
864,Topic1,211.26301514469986,eat,214.9785946445819,0.1558,-5.3915
2621,Topic1,264.5363972336553,tasty,272.63453087884443,0.1431,-5.1667
1619,Topic1,332.2301005055458,menu,348.54613828043017,0.1253,-4.9388
2913,Topic1,222.58962670358414,went,228.06413943837413,0.149,-5.3393
924,Topic1,286.4458493579152,excellent,302.1512211472863,0.1199,-5.0871
811,Topic1,232.1248661751126,dishes,242.60495029156428,0.1291,-5.2974
1477,Topic1,231.90129756634622,like,244.551646023579,0.1201,-5.2983
741,Topic1,238.7167238271496,delicious,257.48877703609537,0.0976,-5.2694
2218,Topic2,86.9589016218176,sauce,87.99900466790501,3.0704,-3.3702
1963,Topic2,39.92055901867398,plate,40.5752836987985,3.066,-4.1487
1744,Topic2,33.74561054248503,noodles,34.45211864330759,3.0616,-4.3168
469,Topic2,66.35306304550859,chicken,67.86341970633617,3.0598,-3.6406
1066,Topic2,25.496112604643,garlic,26.24885532819083,3.0532,-4.5971
2693,Topic2,15.222217279904214,tomato,15.889588500934046,3.0394,-5.1129
1109,Topic2,14.765130509927115,gone,15.419490691768898,3.0389,-5.1434
1937,Topic2,13.8480093453603,pieces,14.50229445946461,3.0361,-5.2075
2202,Topic2,10.391000663153102,salami,11.045603525320347,3.0212,-5.4947
2694,Topic2,9.775911611218948,tomatoes,10.43019138842342,3.0175,-5.5557
2673,Topic2,9.493679095192153,tikka,10.14850337109392,3.0156,-5.585
2165,Topic2,46.14098642884087,rice,49.48357467485138,3.0123,-4.0039
2914,Topic2,8.749669171903674,weren,9.404027537941046,3.0102,-5.6666
1966,Topic2,8.337753559851093,platter,8.992113690234705,3.0067,-5.7148
1065,Topic2,8.125899126905903,garden,8.78042535263653,3.0048,-5.7406
992,Topic2,8.101964096853774,fillet,8.770992474777199,3.0029,-5.7435
2366,Topic2,7.6057810931505525,smoked,8.262146439503825,2.9995,-5.8067
1359,Topic2,7.245569196841696,island,7.899776460945806,2.9958,-5.8552
976,Topic2,6.895838512410264,fat,7.550088122624329,2.9916,-5.9047
73,Topic2,7.1644543578337405,accompanying,7.855773962548901,2.9902,-5.8665
1133,Topic2,6.736983583721295,greasy,7.391599548905059,2.9896,-5.928
1991,Topic2,37.01618735269808,pork,40.613365346615026,2.9895,-4.2243
840,Topic2,6.727209245938857,dressing,7.381487758249362,2.9895,-5.9295
2614,Topic2,6.550582183834841,tartare,7.204921066603115,2.9871,-5.9561
2403,Topic2,7.4645606046656034,sour,8.218153009635063,2.9861,-5.8255
1946,Topic2,6.437556287827101,pitcher,7.091854579940244,2.9855,-5.9735
368,Topic2,6.373474058784972,burned,7.030479626638225,2.9842,-5.9835
119,Topic2,6.35613591254036,al,7.011899775933153,2.9841,-5.9862
1780,Topic2,6.6412164701740215,oily,7.344266298922259,2.9817,-5.9423
1639,Topic2,6.122806098783454,mild,6.777248565740488,2.9807,-6.0236
2002,Topic2,10.559392466480475,potato,11.692887222758626,2.9803,-5.4786
1143,Topic2,10.933158798916415,grill,12.599865359893638,2.9404,-5.4438
851,Topic2,16.28904884037614,duck,21.403644014434768,2.8092,-5.0451
2476,Topic2,29.539619460182383,starter,45.50516547045725,2.6502,-4.4499
990,Topic2,8.501644432301013,filet,9.99372595425889,2.9206,-5.6954
1806,Topic2,75.37642751575994,ordered,155.87024188945094,2.3558,-3.5131
856,Topic2,20.972618671496836,dumplings,31.180324421612596,2.6857,-4.7924
270,Topic2,20.590010967247835,beef,31.218638420022543,2.6661,-4.8108
700,Topic2,11.455948999654979,cut,15.322853405939979,2.7914,-5.3971
1259,Topic2,25.93426319566843,hot,54.49780860521876,2.3397,-4.5801
641,Topic2,34.23572129990264,course,84.42884047955936,2.1796,-4.3023
2488,Topic2,24.04214847597975,steak,50.83049293685844,2.3336,-4.6558
1048,Topic2,23.2087319099648,fries,51.10128146560462,2.293,-4.6911
463,Topic2,25.762586007844494,cheese,61.60586453934937,2.2105,-4.5867
2164,Topic2,13.277116482470058,ribs,21.135423305536325,2.6174,-5.2496
2200,Topic2,36.974071580006154,salad,132.2994201862325,1.8074,-4.2254
1548,Topic2,31.977932110001642,main,110.66976274938715,1.8408,-4.3706
809,Topic2,24.80274225152431,dish,90.44708557889187,1.7885,-4.6247
2278,Topic2,26.721835036605547,served,128.56194875016095,1.5114,-4.5501
2004,Topic2,14.817061043742926,potatoes,30.11441746584945,2.3731,-5.1398
616,Topic2,20.858985668522482,cooked,79.50934726556041,1.7442,-4.7978
2205,Topic2,16.719282062078832,salmon,44.66729011099252,2.0996,-5.0191
1115,Topic2,21.287654855201154,got,110.03518023956741,1.4396,-4.7775
2401,Topic2,19.64884778053546,soup,104.10649149754455,1.4149,-4.8576
1004,Topic2,20.049639708494226,fish,133.21347756159295,1.1885,-4.8374
331,Topic2,17.041311623983614,bread,95.17586475243428,1.3622,-5.0
2615,Topic2,16.554287220672627,taste,162.21892743781981,0.8,-5.029
741,Topic2,16.71466789537686,delicious,257.48877703609537,0.3476,-5.0193
1111,Topic2,15.905386055423671,good,1497.466535143082,-1.4626,-5.069
1027,Topic3,13.971403018928688,football,14.629615668026371,3.2386,-4.9962
2864,Topic3,13.640714611360643,walking,14.298980935468173,3.2376,-5.0202
611,Topic3,10.634000668685541,convenient,11.292236407798882,3.2246,-5.2692
2088,Topic3,10.58888683766982,railway,11.247069668308683,3.2244,-5.2734
258,Topic3,10.517226943858848,basement,11.252613241317333,3.2171,-5.2802
635,Topic3,8.42500655797531,counter,9.08326087195924,3.2095,-5.502
2722,Topic3,33.28620463073197,train,35.90663922234068,3.2089,-4.1281
2136,Topic3,7.449393282665035,relatively,8.107741756478564,3.2,-5.6251
960,Topic3,7.109523122666393,falafel,7.770569113442687,3.1958,-5.6718
1537,Topic3,6.883677981375621,lunches,7.542176407124703,3.1933,-5.7041
2313,Topic3,6.708795238565365,showing,7.367402865850321,3.191,-5.7298
1749,Topic3,6.209027787646532,north,6.86749713735399,3.1839,-5.8072
2131,Topic3,6.085601211086331,region,6.743865679996421,3.182,-5.8273
1461,Topic3,5.991184292137574,leftovers,6.649432082455251,3.1804,-5.8429
2238,Topic3,5.957270276468087,scratch,6.615456433347483,3.1799,-5.8486
2482,Topic3,53.80418028462347,station,60.1605899830527,3.173,-3.6479
918,Topic3,5.29327409481799,everybody,5.951448864834253,3.1675,-5.9668
1469,Topic3,5.781561686836894,library,6.502224044202451,3.1672,-5.8785
1169,Topic3,13.990780428309446,hall,15.916898519383475,3.1557,-4.9948
2240,Topic3,4.768431028489633,screens,5.426560511397483,3.1554,-6.0712
1731,Topic3,4.752569941232903,nicer,5.4107947249785955,3.155,-6.0745
1447,Topic3,4.734588262194218,latest,5.393267610374427,3.1544,-6.0783
2395,Topic3,4.72872115702929,sorts,5.3869209981913215,3.1544,-6.0796
358,Topic3,28.421714574480834,building,32.4454562453639,3.1523,-4.2861
830,Topic3,4.477793290580273,double,5.136086184443665,3.1475,-6.1341
1742,Topic3,4.4911667073835355,nonetheless,5.15904169815153,3.146,-6.1311
1234,Topic3,4.402464819857116,historic,5.061269724234896,3.1452,-6.1511
1290,Topic3,4.23915183892335,imaginative,4.897311570639078,3.1404,-6.1889
162,Topic3,4.162417981712354,appealing,4.82105994561904,3.1378,-6.2071
1117,Topic3,4.048371779848878,gothenburg,4.706555784795016,3.134,-6.2349
814,Topic3,5.298593537184723,distance,6.18189968807997,3.1305,-5.9658
1725,Topic3,6.863143733905578,newly,8.548526826456554,3.0651,-5.7071
432,Topic3,21.709261078440818,centre,33.48399932756949,2.8514,-4.5555
1369,Topic3,12.229946711544377,items,17.263356159101118,2.94,-5.1293
636,Topic3,5.29970390964244,countries,6.374103170309002,3.1001,-5.9656
1504,Topic3,34.701652685920536,located,75.60487383296272,2.5059,-4.0864
1126,Topic3,18.43377209488004,grand,38.544418101204386,2.5471,-4.719
2417,Topic3,8.694967557228678,speak,13.881192162555152,2.8169,-5.4705
1784,Topic3,26.682901819238165,old,85.13782361974368,2.1244,-4.3492
891,Topic3,16.72465991686311,english,42.90570895144391,2.3426,-4.8163
1260,Topic3,28.93696248908379,hotel,109.04472255174149,1.958,-4.2681
499,Topic3,20.726235437269523,city,67.9688001720674,2.097,-4.6018
2997,Topic3,8.53555880871985,yummy,14.328279219530788,2.7667,-5.489
1505,Topic3,24.680695397021946,location,123.46827905645071,1.6747,-4.4272
787,Topic3,15.758475417991127,dining,56.12712576068918,2.0144,-4.8758
2180,Topic3,14.920848155049342,room,50.90152985969742,2.0575,-4.9305
2071,Topic3,16.177561969615518,pub,62.13314515990544,1.939,-4.8496
2719,Topic3,13.513696478906118,traditional,42.78231961875164,2.1323,-5.0295
777,Topic3,20.94817235465821,different,124.24397102773,1.5045,-4.5912
516,Topic3,16.278994584119626,close,71.39627625490456,1.8063,-4.8433
2518,Topic3,10.41747174203519,street,23.518749994433396,2.4704,-5.2897
1539,Topic3,33.108166428482264,lund,696.182555041209,0.2388,-4.1334
430,Topic3,13.124368693927545,central,53.97825970318474,1.8706,-5.0588
2154,Topic3,16.15419760087742,restaurants,109.07226006340626,1.3749,-4.851
2437,Topic3,10.111787265435282,spicy,23.486467795937052,2.442,-5.3195
2085,Topic3,9.993506400323021,quiet,23.986223353296623,2.4091,-5.3313
1729,Topic3,18.08998263581731,nice,809.562354345563,-0.5165,-4.7379
1619,Topic3,14.062233259233118,menu,348.54613828043017,0.0744,-4.9897
533,Topic3,11.502208886742421,coffee,89.89044269002689,1.2286,-5.1907
660,Topic4,29.744916364898494,cream,30.425802734572375,3.9558,-3.5468
