topic,Freq,cluster,topics,x,y
1,35.41856289253602,1,1,0.10723623952269526,-0.014333444971003275
7,13.336999546957017,1,2,-0.1852281955132334,-0.007186001894883598
8,13.042298176251684,1,3,0.09118176976531692,-0.014671357498590587
4,12.278328528308254,1,4,0.004933198931275082,0.16341368713926083
9,9.387248575431045,1,5,0.02504228081555505,0.05079493705308707
3,5.016839447641141,1,6,-0.04427346460417381,-0.06579009030036254
0,4.275714465900632,1,7,-0.00034491190203317834,0.01601954762606862
6,4.25183814679078,1,8,0.038263364073430714,-0.1029619154622095
5,2.8182612897800863,1,9,-0.020563883225346694,-0.02020734600560421
2,0.1739089304033439,1,10,-0.016246397863485706,-0.005078015685762524
