term,Category,Freq,Term,Total,loglift,logprob
49,Default,16.0,lund,16.0,30.0,30.0
106,Default,5.0,went,5.0,29.0,29.0
39,Default,6.0,friendly,6.0,28.0,28.0
40,Default,15.0,good,15.0,27.0,27.0
64,Default,3.0,place,3.0,26.0,26.0
79,Default,10.0,service,10.0,25.0,25.0
0,Default,6.0,39,6.0,24.0,24.0
46,Default,3.0,little,3.0,23.0,23.0
105,Default,4.0,welcoming,4.0,22.0,22.0
6,Default,3.0,bar,3.0,21.0,21.0
29,Default,9.0,excellent,9.0,20.0,20.0
57,Default,3.0,night,3.0,19.0,19.0
23,Default,5.0,dish,5.0,18.0,18.0
56,Default,9.0,nice,9.0,17.0,17.0
101,Default,3.0,visit,3.0,16.0,16.0
36,Default,3.0,food,3.0,15.0,15.0
51,Default,2.0,market,2.0,14.0,14.0
72,Default,21.0,restaurant,21.0,13.0,13.0
3,Default,6.0,ate,6.0,12.0,12.0
99,Default,3.0,type,3.0,11.0,11.0
86,Default,4.0,stay,4.0,10.0,10.0
35,Default,6.0,fish,6.0,9.0,9.0
84,Default,2.0,soup,2.0,8.0,8.0
75,Default,1.0,salad,1.0,7.0,7.0
85,Default,6.0,staff,6.0,6.0,6.0
19,Default,4.0,delicious,4.0,5.0,5.0
60,Default,3.0,pancakes,3.0,4.0,4.0
48,Default,3.0,love,3.0,3.0,3.0
88,Default,1.0,stop,1.0,2.0,2.0
15,Default,1.0,complete,1.0,1.0,1.0
3,Topic1,5.377976069942502,ate,6.24339269648869,0.8887,-3.2836
86,Topic1,3.599939131608814,stay,4.473252637750612,0.8207,-3.685
98,Topic1,2.7405779181261236,twice,3.5966600314849013,0.7661,-3.9578
61,Topic1,2.7682557644763506,pasta,3.649357804265214,0.7616,-3.9477
90,Topic1,2.7187351212185056,sushi,3.6106662224646597,0.7542,-3.9658
69,Topic1,2.743128404617436,quite,3.653291099325069,0.7514,-3.9569
74,Topic1,1.9033716339656677,rich,2.75859702556261,0.6668,-4.3223
54,Topic1,1.9251513701903975,menu,2.7983645994472273,0.6639,-4.3109
33,Topic1,1.9115880001710281,far,2.78060927309883,0.6632,-4.318
87,Topic1,1.905830896979281,staying,2.773289534146918,0.6628,-4.321
94,Topic1,1.9038401797949054,table,2.7810269671936374,0.659,-4.3221
10,Topic1,1.897301000298647,cathedral,2.7753802007250257,0.6576,-4.3255
18,Topic1,1.9077053521624194,day,2.793300732146282,0.6566,-4.3201
1,Topic1,1.9015489555388803,advice,2.7880692027112652,0.6553,-4.3233
49,Topic1,11.387867929041434,lund,16.86325930443994,0.6453,-2.5334
92,Topic1,3.6466641347011968,swedish,5.894122730086309,0.5578,-3.6721
72,Topic1,13.23112960485057,restaurant,21.586643875467768,0.5484,-2.3834
79,Topic1,6.251922218485711,service,10.800995182856656,0.4912,-3.1331
58,Topic1,1.8991390176412504,offers,3.2832730334885665,0.4905,-4.3246
40,Topic1,8.940925787388098,good,15.847531584509138,0.4656,-2.7753
44,Topic1,1.909435448183939,italian,3.493540300581251,0.4338,-4.3191
47,Topic1,1.9182141468922853,located,3.5098666297294967,0.4338,-4.3146
17,Topic1,1.9210726370959401,cuisine,3.5254420335965886,0.4308,-4.3131
101,Topic1,1.885516276060123,visit,3.745074362333974,0.3517,-4.3318
104,Topic1,2.761671298895451,welcome,5.726350357158795,0.3087,-3.9501
52,Topic1,1.9295743175283082,meal,4.152591036721348,0.2715,-4.3087
53,Topic1,1.8919952073741542,meat,4.155040012439863,0.2512,-4.3283
68,Topic1,1.0279375931047396,quality,2.263177507175043,0.2487,-4.9384
50,Topic1,1.0315815624172635,makes,2.333353945536926,0.2217,-4.9349
81,Topic1,1.0323999374531025,simple,2.361329647212539,0.2106,-4.9341
56,Topic1,3.6420579921797644,nice,9.23780473949238,0.1072,-3.6734
29,Topic1,3.6573306574603475,excellent,9.430267961020725,0.0907,-3.6692
