topic,Freq,cluster,topics,x,y
9,54.11518515211608,1,1,-0.11990050940946274,-0.06899672297999666
0,13.448079439792826,1,2,-0.07600078804074263,0.135787407263721
6,7.70062650675642,1,3,0.14969972972631884,-0.04872497657547987
3,5.772118238058437,1,4,0.14980382809689397,0.11547281467280039
4,4.5557171419851805,1,5,-0.10637517533648592,0.08048412105533027
1,4.475008519427352,1,6,0.016529510644696065,-0.11420324458460841
7,3.8658901823732266,1,7,0.017854500434393666,0.026791112177484155
8,3.3155826339646097,1,8,-0.05787251210296814,-0.05350971802843558
2,1.7742465621673391,1,9,0.018549222490327748,-0.04789376883070685
5,0.9775456233585422,1,10,0.007712193497029101,-0.025207024170108734
