term,Topic,Freq,Term
0,4,0.6118152014110839,2003
1,5,0.6028621522455007,30th
2,2,0.5683208222534478,39
2,5,0.3788805481689652,39
2,7,0.04736006852112065,39
3,1,0.9714661885715681,abroad
6,2,0.3752228549626259,ago
6,3,0.3752228549626259,ago
7,1,0.6695012215554661,allows
7,3,0.33475061077773305,allows
9,1,0.5107710735052599,arrived
9,6,0.2553855367526299,arrived
9,8,0.2553855367526299,arrived
11,3,0.5316352540501138,asparagus
12,1,0.26125314936413424,ate
12,6,0.26125314936413424,ate
12,8,0.39187972404620136,ate
13,2,0.4368190629578813,atmosphere
13,4,0.4368190629578813,atmosphere
15,5,0.6034958167209147,august
16,1,0.7342177290344578,austrian
19,1,0.2588231278273707,bad
19,6,0.5176462556547414,bad
20,4,0.6131041003794182,barolo
21,1,0.5618746206920769,based
21,7,0.28093731034603847,based
22,1,0.7952244830340215,beautiful
22,7,0.15904489660680432,beautiful
23,1,0.8989695854787015,beer
23,6,0.14982826424645024,beer
24,1,0.8401150812978333,beers
25,1,0.5509405656167744,best
25,2,0.2754702828083872,best
27,2,0.7515325125656216,bit
28,1,0.711696083611832,book
29,2,0.43855344268657603,booked
29,6,0.43855344268657603,booked
29,7,0.43855344268657603,booked
30,2,0.27912291984354004,brought
30,6,0.5582458396870801,brought
31,2,0.2893880442342566,burgers
31,3,0.2893880442342566,burgers
32,3,0.5298577272030082,burning
33,1,0.7113850040385737,business
38,1,0.8304727701239097,center
38,3,0.12776504155752458,center
39,3,0.4488543254655002,certainly
39,7,0.4488543254655002,certainly
40,2,0.5999251474395269,chance
40,8,0.19997504914650893,chance
41,3,0.9279445345645454,characteristic
42,1,0.7370889717596745,chinese
43,3,0.3012084830988382,chips
43,6,0.3012084830988382,chips
44,1,0.5295547654380481,choice
44,2,0.26477738271902407,choice
44,4,0.13238869135951203,choice
45,1,0.7879427871442881,choose
46,7,0.8707938395064282,chosen
48,1,0.9123000420851661,city
49,1,0.3572645687085385,classic
49,3,0.3572645687085385,classic
50,1,0.8165606472571267,colleagues
50,3,0.11665152103673239,colleagues
50,5,0.11665152103673239,colleagues
51,1,0.9135092510926546,come
52,1,0.35654947622007194,company
52,3,0.35654947622007194,company
54,1,0.5709120510865849,cooked
54,5,0.28545602554329247,cooked
55,3,0.5314643588237588,cost
56,1,0.6968313408259166,countries
56,5,0.3484156704129583,countries
57,6,0.5833425482072414,course
57,9,0.2916712741036207,course
58,9,0.4992019235359793,cozy
59,1,0.5115436171957388,craft
59,6,0.5115436171957388,craft
62,1,0.9409621300790231,cuisine
62,2,0.05881013312993894,cuisine
63,1,0.6834385200028751,day
63,3,0.17085963000071877,day
64,1,0.5106742532435514,definitely
64,6,0.5106742532435514,definitely
65,2,0.6875959860854987,delicious
65,7,0.34379799304274933,delicious
66,1,0.3999788550628447,despite
66,4,0.3999788550628447,despite
68,6,0.8073426448099655,did
69,5,0.3640735561196487,different
69,7,0.3640735561196487,different
70,1,0.6959420262845806,difficult
70,7,0.3479710131422903,difficult
71,2,0.7504883615381642,dine
72,4,0.6125079838636065,dining
73,1,0.7699411230242494,dinner
