term,Category,Freq,Term,Total,loglift,logprob
41,Default,4.0,lunch,4.0,30.0,30.0
70,Default,5.0,shop,5.0,29.0,29.0
33,Default,7.0,inside,7.0,28.0,28.0
63,Default,4.0,rice,4.0,27.0,27.0
76,Default,3.0,sweden,3.0,26.0,26.0
37,Default,4.0,like,4.0,25.0,25.0
28,Default,2.0,fish,2.0,24.0,24.0
0,Default,5.0,39,5.0,23.0,23.0
71,Default,2.0,soup,2.0,22.0,22.0
55,Default,4.0,price,4.0,21.0,21.0
5,Default,2.0,baked,2.0,20.0,20.0
74,Default,2.0,style,2.0,19.0,19.0
21,Default,7.0,delicious,7.0,18.0,18.0
17,Default,3.0,crowded,3.0,17.0,17.0
78,Default,4.0,taste,4.0,16.0,16.0
77,Default,3.0,swedish,3.0,15.0,15.0
53,Default,2.0,pizza,2.0,14.0,14.0
24,Default,4.0,dishes,4.0,13.0,13.0
65,Default,2.0,salmon,2.0,12.0,12.0
6,Default,4.0,bar,4.0,11.0,11.0
27,Default,2.0,enjoy,2.0,10.0,10.0
58,Default,2.0,quot,2.0,9.0,9.0
42,Default,9.0,lund,9.0,8.0,8.0
72,Default,7.0,station,7.0,7.0,7.0
51,Default,3.0,pasta,3.0,6.0,6.0
48,Default,2.0,noodle,2.0,5.0,5.0
73,Default,5.0,store,5.0,4.0,4.0
49,Default,3.0,number,3.0,3.0,3.0
61,Default,9.0,restaurant,9.0,2.0,2.0
75,Default,3.0,sushi,3.0,1.0,1.0
0,Topic1,4.2505710666850085,39,5.688025092643858,1.1027,-2.8891
6,Topic1,3.4326696442283637,bar,4.957589101687892,1.0264,-3.1028
15,Topic1,1.7723926373829584,colleagues,2.60999249220556,1.0069,-3.7638
2,Topic1,1.8056999184469156,amp,2.672626450241446,1.0019,-3.7452
32,Topic1,1.7827384527741548,hamburger,2.6629235724367972,0.9927,-3.758
3,Topic1,1.775457692428579,atmosphere,2.6566174330488463,0.991,-3.7621
29,Topic1,2.6098826629996354,food,4.127798020704437,0.9355,-3.3768
43,Topic1,2.6072887813561723,main,4.285304632799896,0.8971,-3.3778
57,Topic1,1.798571656130467,quite,3.253835393945705,0.8011,-3.7491
38,Topic1,1.7922862093211147,located,3.338488443810228,0.7719,-3.7526
60,Topic1,1.8009369845855114,recommended,3.4730954199089235,0.7372,-3.7478
74,Topic1,0.967416590503105,style,2.071740915420602,0.6325,-4.3693
21,Topic1,3.445481190837243,delicious,7.603970940769149,0.6024,-3.0991
70,Topic1,2.594376902471686,shop,5.867129179576994,0.5779,-3.3828
46,Topic1,1.8001505925566865,minutes,4.114061436932217,0.5674,-3.7483
30,Topic1,1.7966531796591525,foot,4.122475330907925,0.5634,-3.7502
83,Topic1,0.9844164145914225,visited,2.2638356816722025,0.5612,-4.3518
9,Topic1,1.7894275499316348,center,4.136873860194002,0.5559,-3.7542
1,Topic1,0.9745913364553279,american,2.270849546350862,0.5481,-4.3619
37,Topic1,1.780324517814404,like,4.352527099684318,0.5,-3.7593
40,Topic1,0.9695928597216216,lot,2.4087540326989094,0.484,-4.367
8,Topic1,0.9749050411039807,beer,2.4239975319118674,0.4831,-4.3615
55,Topic1,1.7849020064054675,price,4.47453892722492,0.4749,-3.7568
7,Topic1,0.9678506932441314,beautiful,2.4713896750288233,0.4565,-4.3688
22,Topic1,0.964695767946935,despite,2.4723638805071837,0.4528,-4.3721
4,Topic1,0.9662800650931538,available,2.4834298118495894,0.45,-4.3704
13,Topic1,0.9666461028111621,close,2.5005416664752653,0.4435,-4.3701
61,Topic1,3.4239617691411155,restaurant,9.035435604927907,0.4236,-3.1053
47,Topic1,0.9568163267568622,near,2.647823479981045,0.3761,-4.3803
28,Topic1,0.9656960134290907,fish,2.7449632455897053,0.3493,-4.371
42,Topic1,3.4105298785088967,lund,9.967043839909858,0.3215,-3.1093
72,Topic1,2.601910534488835,station,7.700721210220001,0.3089,-3.3799
45,Topic1,0.9734763540124115,menu,3.1479602214141984,0.2203,-4.363
51,Topic1,0.9758830814125913,pasta,3.755880001937365,0.0462,-4.3605
76,Topic1,0.9745615927570995,sweden,3.845148327401476,0.0214,-4.3619
52,Topic1,0.9742779280744084,people,3.9696828327423446,-0.0108,-4.3622
31,Topic1,0.9750446524745663,good,5.854895572405566,-0.3986,-4.3614
20,Topic1,0.9709282820218972,day,4.062344561880687,-0.0373,-4.3656
24,Topic2,3.418662386938368,dishes,4.2768875694966955,1.1952,-3.0816
33,Topic2,5.064925422541716,inside,7.752076378997028,0.9936,-2.6885
73,Topic2,3.4232850383208078,store,5.614530478304238,0.9245,-3.0803
77,Topic2,1.792918465214096,swedish,3.0818164071119747,0.8775,-3.727
17,Topic2,1.7960235795631203,crowded,3.108225492537679,0.8707,-3.7253
68,Topic2,1.7801084914830725,seats,3.235827223740224,0.8216,-3.7342
81,Topic2,1.7896610451223642,time,3.2560039957123514,0.8207,-3.7288
67,Topic2,1.7850001908873643,seat,3.2847242255604283,0.8094,-3.7315
85,Topic2,1.7779937009515503,went,3.2976677499299614,0.8015,-3.7354
61,Topic2,4.242767894994546,restaurant,9.035435604927907,0.6633,-2.8657
5,Topic2,0.9768564071540505,baked,2.0855131845056185,0.6608,-4.3343
86,Topic2,1.77690687625912,wide,3.853851227261374,0.645,-3.736
20,Topic2,1.7835921317781414,day,4.062344561880687,0.5961,-3.7322
18,Topic2,0.9615757884625653,cuisine,2.2463080743994506,0.5708,-4.3501
50,Topic2,0.972305743916277,outside,2.4148264873138756,0.5095,-4.339
11,Topic2,0.9701857973836632,chinese,2.4112813375884143,0.5088,-4.3411
80,Topic2,0.9698955486951475,thought,2.41520032374263,0.5069,-4.3414
87,Topic2,0.9796836582423709,wrapped,2.440079860069089,0.5067,-4.3314
25,Topic2,0.9792341825953357,easily,2.482430442441821,0.489,-4.3319
26,Topic2,1.7812099794723601,eat,4.517283470822583,0.4886,-3.7336
78,Topic2,1.7839835909180923,taste,4.555528050336184,0.4817,-3.732
41,Topic2,1.780886344858644,lunch,4.5802435225178595,0.4746,-3.7338
66,Topic2,0.9699173574870221,satisfied,2.4955625126416217,0.4742,-4.3414
56,Topic2,0.9740436558391696,probably,2.508641309627661,0.4732,-4.3372
39,Topic2,0.9583478279628103,looked,2.4778903204890446,0.4693,-4.3534
10,Topic2,0.9740770519594154,central,2.530525666460437,0.4645,-4.3371
47,Topic2,0.9694995994901329,near,2.647823479981045,0.4145,-4.3419
79,Topic2,0.9848902274818331,thai,3.106546102318377,0.2705,-4.3261
84,Topic2,0.965187268902551,wanted,3.077551634979848,0.2597,-4.3463
82,Topic2,0.978997360234029,vietnamese,3.1488108368916676,0.251,-4.3321
42,Topic2,2.6035974972941234,lund,9.967043839909858,0.0768,-3.354
72,Topic2,1.775491583034955,station,7.700721210220001,-0.048,-3.7368
9,Topic2,0.9729363341568992,center,4.136873860194002,-0.0282,-4.3383
30,Topic2,0.9706523376299158,foot,4.122475330907925,-0.027,-4.3407
53,Topic3,1.4640247277611869,pizza,2.7902684610628183,1.5887,-3.1153
64,Topic3,0.7937043602156352,salad,2.113753766223407,1.2541,-3.7275
59,Topic3,0.7959086741876898,recommendation,2.2665476467539807,1.1871,-3.7247
54,Topic3,0.7915039775086549,popular,2.2722117704357943,1.1791,-3.7303
34,Topic3,0.8023946907420217,interior,2.332923620363566,1.1663,-3.7166
12,Topic3,0.7869028263434402,clean,2.298372247119702,1.1618,-3.7361
