term,Category,Freq,Term,Total,loglift,logprob
55,Default,19.0,nice,19.0,30.0,30.0
71,Default,9.0,recommended,9.0,29.0,29.0
63,Default,11.0,place,11.0,28.0,28.0
0,Default,8.0,39,8.0,27.0,27.0
36,Default,27.0,good,27.0,26.0,26.0
62,Default,7.0,pizza,7.0,25.0,25.0
34,Default,25.0,food,25.0,24.0,24.0
78,Default,16.0,service,16.0,23.0,23.0
68,Default,6.0,quality,6.0,22.0,22.0
4,Default,7.0,atmosphere,7.0,21.0,21.0
38,Default,12.0,great,12.0,20.0,20.0
72,Default,6.0,restaurant,6.0,19.0,19.0
49,Default,5.0,little,5.0,18.0,18.0
18,Default,6.0,cozy,6.0,17.0,17.0
45,Default,4.0,italian,4.0,16.0,16.0
41,Default,4.0,highly,4.0,15.0,15.0
93,Default,5.0,varied,5.0,14.0,14.0
53,Default,4.0,menu,4.0,13.0,13.0
39,Default,4.0,greek,4.0,12.0,12.0
32,Default,4.0,fantastic,4.0,11.0,11.0
29,Default,3.0,experience,3.0,10.0,10.0
1,Default,3.0,absolutely,3.0,9.0,9.0
51,Default,4.0,lund,4.0,8.0,8.0
14,Default,3.0,class,3.0,7.0,7.0
90,Default,3.0,touch,3.0,6.0,6.0
3,Default,3.0,ate,3.0,5.0,5.0
70,Default,3.0,reasonable,3.0,4.0,4.0
74,Default,3.0,rooms,3.0,3.0,3.0
83,Default,4.0,staff,4.0,2.0,2.0
42,Default,3.0,hotel,3.0,1.0,1.0
71,Topic1,9.162257206009013,recommended,9.80511940981816,0.7634,-2.9625
62,Topic1,7.3469375695922565,pizza,7.9757011123638755,0.7491,-3.1833
68,Topic1,5.565537432027894,quality,6.178367598042999,0.7268,-3.461
63,Topic1,10.039505192574135,place,11.332308443026898,0.7101,-2.871
41,Topic1,3.7680266109334855,highly,4.3682145316484045,0.6835,-3.851
45,Topic1,3.7560047365805804,italian,4.388342643118093,0.6757,-3.8542
1,Topic1,2.882459034111864,absolutely,3.4748286410495424,0.6444,-4.1189
29,Topic1,2.8560948156512502,experience,3.46316860829289,0.6385,-4.1281
90,Topic1,2.8513555457223587,touch,3.460167070400196,0.6377,-4.1298
3,Topic1,2.8597611345110665,ate,3.4789431653909,0.6353,-4.1268
14,Topic1,2.8768717419872094,class,3.500467774341326,0.6351,-4.1208
22,Topic1,1.9805806118249554,delicious,2.559759578363191,0.5747,-4.4942
19,Topic1,1.969035231868294,cucina,2.5485977858636373,0.5733,-4.5
82,Topic1,1.967940026012058,specialists,2.5746002841997755,0.5626,-4.5006
57,Topic1,1.9685561883928977,offers,2.5761122871689093,0.5623,-4.5003
66,Topic1,1.9727294127649184,popular,2.584636329067647,0.5611,-4.4981
20,Topic1,1.9723126912485198,cuisine,2.5846628431228207,0.5609,-4.4983
46,Topic1,1.9771157718037629,la,2.59176677606204,0.5606,-4.4959
84,Topic1,1.9895280714822345,surroundings,2.61140603033432,0.5593,-4.4897
31,Topic1,1.9757323305289776,fancy,2.59726314663117,0.5577,-4.4966
48,Topic1,1.9643439920792245,like,2.5836371048392364,0.5572,-4.5024
69,Topic1,1.960839752249097,quick,2.579789841539163,0.5569,-4.5042
4,Topic1,5.554728971007517,atmosphere,7.606630776051842,0.5169,-3.4629
49,Topic1,3.73149709938266,little,5.22185028085727,0.4952,-3.8607
55,Topic1,12.748991048078503,nice,19.133167027287552,0.4253,-2.6321
34,Topic1,16.33162973660868,food,25.48162304184609,0.3864,-2.3844
78,Topic1,10.046963853376782,service,16.06175646296001,0.3621,-2.8703
28,Topic1,1.9712309377817465,excellent,3.1666268840178504,0.3573,-4.4989
50,Topic1,1.963754728272829,lunch,3.243056808367852,0.3296,-4.5027
6,Topic1,1.0677265366894815,booked,1.834800624942441,0.2899,-5.112
32,Topic1,2.8723266133103156,fantastic,4.9773519042471746,0.2815,-4.1224
36,Topic1,7.299408908799295,good,27.561531300531968,-0.4974,-3.1898
