term,Topic,Freq,Term
0,2,0.45541457750923336,39
0,3,0.34156093313192504,39
1,1,0.8633519260661658,absolutely
2,2,0.7928226671166583,accompanying
3,1,0.8623308451384013,ate
4,1,0.7887854921116928,atmosphere
4,2,0.13146424868528214,atmosphere
4,5,0.13146424868528214,atmosphere
5,2,0.3346541656318199,best
5,3,0.3346541656318199,best
6,1,0.5450183449939531,booked
7,1,0.33237046343304955,bread
7,3,0.33237046343304955,bread
8,1,0.2672974549531972,breakfast
8,2,0.2672974549531972,breakfast
8,4,0.2672974549531972,breakfast
9,1,0.3386763498637458,cafe
9,3,0.3386763498637458,cafe
9,4,0.3386763498637458,cafe
10,2,0.7865837556708182,challenged
11,5,0.5204607705631391,check
12,2,0.4483296383291088,chips
12,4,0.4483296383291088,chips
13,2,0.80240891930217,choice
14,1,0.857028315469781,class
15,2,0.799125924288897,cocktails
16,2,0.8023543621691094,coffee
17,2,0.4329755825947485,connection
17,3,0.4329755825947485,connection
18,1,0.330047543992147,cozy
18,2,0.330047543992147,cozy
18,4,0.1650237719960735,cozy
18,5,0.1650237719960735,cozy
19,1,0.7847452474036678,cucina
20,1,0.7737953154398954,cuisine
21,5,0.5227530006983386,decided
22,1,0.7813233777520924,delicious
23,3,0.5804923849416841,didn
24,2,0.5238765465553743,dining
25,1,0.30967831544420527,dinner
25,3,0.30967831544420527,dinner
25,4,0.30967831544420527,dinner
26,1,0.4387369330066731,dishes
26,4,0.4387369330066731,dishes
27,2,0.7943253353899777,especially
28,1,0.6315868819576175,excellent
28,4,0.31579344097880874,excellent
29,1,0.866258718335634,experience
30,2,0.43530762984688515,family
30,3,0.43530762984688515,family
31,1,0.770041342400803,fancy
32,1,0.602730137975597,fantastic
32,2,0.20091004599186565,fantastic
32,4,0.20091004599186565,fantastic
33,1,0.31158571550933084,fine
33,2,0.31158571550933084,fine
33,3,0.31158571550933084,fine
34,1,0.6279034884757809,food
34,2,0.31395174423789046,food
34,3,0.03924396802973631,food
35,1,0.35273106299649937,friendly
35,4,0.35273106299649937,friendly
35,5,0.35273106299649937,friendly
36,1,0.25397718013820564,good
36,2,0.616801723192785,good
36,3,0.03628245430545794,good
36,4,0.03628245430545794,good
36,5,0.03628245430545794,good
37,2,0.5521381605391821,got
38,1,0.33212067335863343,great
38,2,0.5812111783776085,great
38,3,0.08303016833965836,great
39,1,0.2333466444558272,greek
39,2,0.7000399333674816,greek
40,1,0.39270372822229277,guests
40,2,0.39270372822229277,guests
41,1,0.9157059414136756,highly
42,1,0.31307724643896667,hotel
42,4,0.31307724643896667,hotel
43,2,0.7883726215531692,iberian
44,2,0.7982129143244933,ingredients
45,1,0.9115058520493833,italian
46,1,0.7716743722746623,la
47,2,0.43824991267722985,level
47,3,0.43824991267722985,level
48,1,0.7741025224687844,like
49,1,0.7660120043394506,little
49,2,0.19150300108486265,little
50,1,0.6167021172245667,lunch
50,3,0.30835105861228335,lunch
51,3,0.7401481985297077,lund
51,4,0.24671606617656924,lund
52,1,0.42666092226781277,meat
52,3,0.42666092226781277,meat
53,2,0.9430183031812482,menu
54,2,0.7935098064923475,money
55,1,0.6794484144449017,nice
55,3,0.15679578794882346,nice
55,4,0.10453052529921564,nice
55,5,0.05226526264960782,nice
56,1,0.3097836315712909,night
56,3,0.3097836315712909,night
56,5,0.3097836315712909,night
57,1,0.7763636740376546,offers
58,2,0.80161709114879,ordered
59,2,0.7996943469018023,package
60,1,0.4257917300442576,people
60,3,0.4257917300442576,people
61,2,0.792938235763444,pig
62,1,0.8776657877949625,pizza
63,1,0.8824327408907842,place
63,3,0.08824327408907841,place
64,2,0.7951200592942674,pleasant
65,1,0.4444912002220996,polite
65,5,0.4444912002220996,polite
66,1,0.7738032532884259,popular
67,2,0.6434590192205643,price
67,4,0.3217295096102821,price
68,1,0.9711303033993158,quality
69,1,0.7752569483748153,quick
70,2,0.7545151338489439,reasonable
70,4,0.2515050446163146,reasonable
71,1,0.9178878526444084,recommended
72,1,0.2871184877456759,restaurant
72,2,0.4306777316185138,restaurant
72,4,0.14355924387283794,restaurant
72,5,0.14355924387283794,restaurant
73,5,0.5230738675069109,reviews
74,1,0.26707816853717414,rooms
74,2,0.26707816853717414,rooms
74,4,0.26707816853717414,rooms
75,2,0.4305658991238787,selection
75,3,0.4305658991238787,selection
76,4,0.512350766341581,served
76,5,0.512350766341581,served
77,1,0.39441377893093904,serves
77,2,0.39441377893093904,serves
78,1,0.6225969135480908,service
78,2,0.24903876541923628,service
78,3,0.06225969135480907,service
78,4,0.06225969135480907,service
79,2,0.783449279138324,servings
80,1,0.58596547003657,simple
80,2,0.292982735018285,simple
81,2,0.42958955491325596,slightly
81,3,0.42958955491325596,slightly
82,1,0.7768196143975918,specialists
83,1,0.21754984084208306,staff
83,2,0.43509968168416613,staff
83,4,0.21754984084208306,staff
83,5,0.21754984084208306,staff
84,1,0.7658709433798596,surroundings
85,1,0.4147982991034962,table
85,5,0.4147982991034962,table
86,2,0.8080113169510682,tasted
87,2,0.7999058261301603,taster
88,2,0.5378593210477751,tasty
88,4,0.26892966052388756,tasty
89,2,0.5212367793035045,thought
90,1,0.8670101584583388,touch
91,5,0.5230180454682566,tripadvisor
92,2,0.7936872425308629,value
93,1,0.19502126034470713,varied
93,2,0.7800850413788285,varied
94,5,0.5198923474362429,voted
95,1,0.2912719736375808,wine
95,2,0.5825439472751616,wine
96,2,0.7913702800814227,wines
97,2,0.42811072110934645,world
97,3,0.42811072110934645,world
