topic,Freq,cluster,topics,x,y
4,73.33679694719267,1,1,-0.09322458158056579,-0.07498822712442034
0,20.477158263551775,1,2,0.1945911280569106,-0.0029823542666277073
9,4.959858469470338,1,3,-0.06119700554983834,0.10785122581767449
8,0.17516947425502769,1,4,-0.010122770227730246,-0.00775262133336948
7,0.17516947425502769,1,5,-0.005431924953027649,-0.0033636669261694475
6,0.17516947425502769,1,6,-0.00840971521913797,-0.0044998297797313146
5,0.17516947425502769,1,7,-0.002929188637050822,-0.002600555412421101
3,0.17516947425502769,1,8,-0.007232635207025815,-0.0029684591915110216
2,0.17516947425502769,1,9,-0.002912610203917138,-0.005209575294436768
1,0.17516947425502769,1,10,-0.003130696478616741,-0.003485936488987278
