topic,Freq,cluster,topics,x,y
8,32.942748680523614,1,1,-0.1845105917004117,0.08235912092831135
1,20.706118609008463,1,2,-0.05990186261279221,-0.15400210935548433
3,13.326435671943138,1,3,0.1329314847773781,-0.001433433139808424
7,9.369904104984176,1,4,-0.03787194416573962,-0.07555867499961773
0,7.825006702611827,1,5,0.0730221035301297,-0.021648776864171864
4,6.492995169004891,1,6,0.00029077593352606673,0.056238371295855474
5,6.445519713615061,1,7,0.05318525339829304,0.07903630459630413
6,2.5815659558104387,1,8,0.028591533435758966,0.02419800924650478
9,0.1548526962491896,1,9,-0.00422292599354589,0.005337545243116547
2,0.1548526962491896,1,10,-0.0015138266025964205,0.005473643048990116
