term,Topic,Freq,Term
0,3,0.7665800780152051,39
1,2,0.32529057164499214,advantages
1,5,0.6505811432899843,advantages
2,5,0.8704923086989493,amazing
3,2,0.41337250852875784,atmosphere
3,3,0.41337250852875784,atmosphere
4,1,0.2021685361884233,beer
4,3,0.4043370723768466,beer
4,4,0.2021685361884233,beer
4,7,0.2021685361884233,beer
5,3,0.46366030494598387,brought
5,7,0.46366030494598387,brought
6,3,0.414769119674226,building
6,4,0.414769119674226,building
7,6,0.4637487151778957,category
8,1,0.411389531234324,cheap
8,3,0.411389531234324,cheap
9,1,0.4538427436692599,classic
9,7,0.4538427436692599,classic
10,4,0.8364062849325319,closely
11,1,0.6243341125247088,cuisine
11,2,0.20811137084156964,cuisine
11,3,0.20811137084156964,cuisine
12,1,0.15129239708765455,delicious
12,2,0.3025847941753091,delicious
12,3,0.15129239708765455,delicious
12,5,0.3025847941753091,delicious
12,6,0.15129239708765455,delicious
13,2,0.8955865384904192,dinner
14,6,0.46464943556508165,dishes
15,1,0.4067961307422532,eat
15,3,0.4067961307422532,eat
16,1,0.541669188085587,excellent
16,4,0.361112792057058,excellent
17,1,0.8131793641971834,expensive
18,1,0.2587860123364729,food
18,2,0.2587860123364729,food
18,3,0.12939300616823646,food
18,5,0.2587860123364729,food
19,6,0.4635044343615205,forest
20,5,0.660692659090024,fresh
21,5,0.862623965569496,friday
22,6,0.46108618565847276,fried
23,2,0.3185322831019587,frills
23,4,0.6370645662039174,frills
24,2,0.817678298225916,gala
25,1,0.28662336118631243,good
25,2,0.28662336118631243,good
25,3,0.28662336118631243,good
25,4,0.28662336118631243,good
26,1,0.1435676662132247,great
26,3,0.1435676662132247,great
26,4,0.1435676662132247,great
26,5,0.4307029986396741,great
26,7,0.1435676662132247,great
27,4,0.44440998562247136,hall
27,5,0.44440998562247136,hall
28,2,0.8146274484083649,hit
29,1,0.4605237594221514,hotel
29,7,0.4605237594221514,hotel
30,5,0.8737879481226399,ingredients
31,1,0.22648409558733892,interior
31,3,0.22648409558733892,interior
31,4,0.45296819117467785,interior
31,7,0.22648409558733892,interior
32,1,0.6268376056017843,italian
32,5,0.3134188028008921,italian
33,4,0.8494683778535429,kitchen
34,3,0.8309050519727084,large
35,3,0.9189766535709486,liked
36,1,0.8151019470141644,local
37,1,0.5090259066120592,located
37,4,0.5090259066120592,located
38,2,0.21884211865791142,location
38,4,0.43768423731582284,location
38,5,0.43768423731582284,location
39,2,0.3439366759146914,menu
39,6,0.3439366759146914,menu
40,6,0.4647695870109065,mushrooms
41,1,0.619193703429694,nice
41,2,0.309596851714847,nice
42,5,0.8695802616169933,noise
43,7,0.5216338689314237,ok
44,4,0.8408977699964664,opinion
45,2,0.8105758100888292,outside
46,5,0.8577222379170057,overlap
47,6,0.4687772151366769,page
48,2,0.8196307671967539,party
49,6,0.46071257611120336,pate
50,6,0.4711693157872044,perfect
51,1,0.2112870383908848,place
51,2,0.4225740767817696,place
51,3,0.2112870383908848,place
51,4,0.2112870383908848,place
52,2,0.8252160060161636,places
53,1,0.42047181435421277,popular
53,5,0.42047181435421277,popular
54,2,0.4094148920764757,portions
54,3,0.4094148920764757,portions
55,1,0.452341263410452,prices
55,7,0.452341263410452,prices
56,1,0.40897438935507757,quality
56,3,0.40897438935507757,quality
57,4,0.8430525238545838,quick
58,3,0.6328757309432548,really
59,1,0.3983807437760035,restaurant
59,2,0.47805689253120426,restaurant
59,3,0.07967614875520071,restaurant
60,3,0.8302182345403789,salmon
61,1,0.6193286211244229,sek
61,3,0.30966431056221144,sek
62,3,0.4203918190562323,selection
62,4,0.4203918190562323,selection
63,1,0.3698829643324651,service
63,2,0.18494148216623255,service
63,3,0.18494148216623255,service
63,5,0.3698829643324651,service
64,2,0.833911960238065,simple
65,6,0.46814439988704726,slices
66,1,0.532692164478606,small
66,2,0.266346082239303,small
66,7,0.266346082239303,small
67,4,0.8466987005522367,somewhat
68,1,0.2554520009890263,staff
68,3,0.2554520009890263,staff
68,4,0.5109040019780526,staff
69,2,0.31779613631213477,street
69,4,0.6355922726242695,street
70,1,0.4091833674166438,style
70,3,0.4091833674166438,style
71,1,0.4192950166057174,sweden
71,5,0.4192950166057174,sweden
72,2,0.19561954561447334,tables
72,4,0.58685863684342,tables
72,7,0.19561954561447334,tables
73,1,0.6733932941176068,tasty
73,7,0.3366966470588034,tasty
74,3,0.6296027065494292,took
