term,Category,Freq,Term,Total,loglift,logprob
49,Default,6.0,restaurant,6.0,30.0,30.0
8,Default,6.0,dinner,6.0,29.0,29.0
0,Default,4.0,39,4.0,28.0,28.0
17,Default,13.0,food,13.0,27.0,27.0
38,Default,8.0,place,8.0,26.0,26.0
50,Default,10.0,service,10.0,25.0,25.0
14,Default,8.0,excellent,8.0,24.0,24.0
21,Default,9.0,good,9.0,23.0,23.0
54,Default,3.0,small,3.0,22.0,22.0
61,Default,4.0,went,4.0,21.0,21.0
4,Default,4.0,book,4.0,20.0,20.0
9,Default,4.0,dishes,4.0,19.0,19.0
35,Default,2.0,nice,2.0,18.0,18.0
18,Default,3.0,friendly,3.0,17.0,17.0
62,Default,3.0,wine,3.0,16.0,16.0
29,Default,3.0,list,3.0,15.0,15.0
1,Default,3.0,advisable,3.0,14.0,14.0
46,Default,3.0,quite,3.0,13.0,13.0
3,Default,3.0,attentive,3.0,12.0,12.0
32,Default,2.0,lund,2.0,11.0,11.0
28,Default,2.0,like,2.0,10.0,10.0
44,Default,1.0,quality,1.0,9.0,9.0
40,Default,3.0,prepared,3.0,8.0,8.0
7,Default,2.0,decoration,2.0,7.0,7.0
15,Default,2.0,extensive,2.0,6.0,6.0
20,Default,2.0,going,2.0,5.0,5.0
52,Default,2.0,simple,2.0,4.0,4.0
2,Default,2.0,atmosphere,2.0,3.0,3.0
60,Default,2.0,variety,2.0,2.0,2.0
57,Default,2.0,thing,2.0,1.0,1.0
8,Topic1,6.391951145350636,dinner,6.914735332409867,0.5332,-2.8658
61,Topic1,3.7341797567941417,went,4.262321289066368,0.4796,-3.4033
4,Topic1,3.7211501736262727,book,4.249274524367787,0.4791,-3.4068
17,Topic1,11.687242468448225,food,13.757538602920226,0.4488,-2.2624
62,Topic1,2.829323470282691,wine,3.33975776542863,0.446,-3.6808
38,Topic1,7.272594671342846,place,8.588470244119735,0.4455,-2.7368
29,Topic1,2.8343073853206517,list,3.365046432623532,0.4402,-3.6791
46,Topic1,2.834921477183549,quite,3.3706855617496676,0.4387,-3.6789
1,Topic1,2.8344105095986993,advisable,3.3765810439524313,0.4368,-3.679
18,Topic1,2.824805078131235,friendly,3.3725520094135564,0.4346,-3.6824
0,Topic1,3.7412763607161255,39,4.552922462916962,0.4155,-3.4014
45,Topic1,1.9529515504337451,quiet,2.4735285776010723,0.3755,-4.0515
20,Topic1,1.9556296703062137,going,2.481001209626047,0.3739,-4.0502
2,Topic1,1.9558001770005313,atmosphere,2.484619973433752,0.3725,-4.0501
60,Topic1,1.9609726938096481,variety,2.4923693173521166,0.3721,-4.0474
52,Topic1,1.948649543620544,simple,2.4804644645634317,0.3705,-4.0537
57,Topic1,1.9535042543802048,thing,2.487770355305819,0.3701,-4.0512
22,Topic1,1.9330709016859016,great,2.4628782895719024,0.3696,-4.0618
55,Topic1,1.938386353742895,son,2.4756327741524857,0.3672,-4.059
23,Topic1,1.9304825601778757,having,2.4661003138704265,0.367,-4.0631
15,Topic1,1.9354191096791393,extensive,2.4750877076591196,0.3659,-4.0605
25,Topic1,1.9320261738801188,husband,2.4709142030127014,0.3658,-4.0623
54,Topic1,2.8374752787737982,small,3.6447155161548057,0.3615,-3.678
21,Topic1,7.2728239426321215,good,9.370332557104227,0.3584,-2.7367
35,Topic1,1.9283986074984485,nice,2.733406130471179,0.263,-4.0642
50,Topic1,6.381233454741883,service,10.045669789760389,0.1581,-2.8675
44,Topic1,1.046830638900023,quality,1.6860797843913504,0.1352,-4.6751
9,Topic1,2.828448864884499,dishes,4.917756053257494,0.0587,-3.6811
41,Topic1,1.0502501333826362,price,1.8403910047803553,0.0509,-4.6718
37,Topic1,1.0588852407350153,pizza,1.8843285809130725,0.0355,-4.6637
14,Topic1,4.63106377155201,excellent,8.283525146417219,0.0304,-3.1881
16,Topic1,1.06870282303333,fast,2.3873037787272358,-0.1919,-4.6544
40,Topic2,2.4994364527672435,prepared,3.0434995608923723,1.4027,-2.8171
12,Topic2,1.695755299951808,english,2.231750772965692,1.3249,-3.205
42,Topic2,1.7025686065295786,product,2.253967777430385,1.319,-3.201
33,Topic2,1.7166071399642353,menu,2.273888690700809,1.3185,-3.1928
24,Topic2,1.689860703756927,highly,2.240828739276127,1.3174,-3.2085
43,Topic2,1.7058676854635721,professional,2.2719096028980013,1.313,-3.199
51,Topic2,1.7008618767918018,short,2.270489352173122,1.3107,-3.202
48,Topic2,1.6934373969333871,recommended,2.265872159741052,1.3084,-3.2064
28,Topic2,1.7147705890894367,like,2.548542365640943,1.2034,-3.1938
3,Topic2,2.4746512248556916,attentive,3.9055109308287976,1.1433,-2.827
53,Topic2,0.9230619412344613,site,1.765990317472338,0.9508,-3.8132
39,Topic2,0.9300432646708686,potatoes,1.8650627039526002,0.9038,-3.8056
56,Topic2,0.925046829453637,spanish,2.196076558131021,0.735,-3.811
27,Topic2,0.916286878810853,kitchen,2.2024419296180966,0.7226,-3.8205
14,Topic2,3.2718694403580644,excellent,8.283525146417219,0.6707,-2.5478
16,Topic2,0.9234290434445398,fast,2.3873037787272358,0.6498,-3.8128
9,Topic2,1.7072461132386316,dishes,4.917756053257494,0.5416,-3.1982
50,Topic2,3.263079923955881,service,10.045669789760389,0.4751,-2.5505
30,Topic2,0.9232412223386988,local,3.0978266655296687,0.389,-3.813
21,Topic2,1.7060573185218588,good,9.370332557104227,-0.1038,-3.1989
13,Topic2,0.1424985499021729,entrance,1.2524556280043233,-0.5739,-5.6815
38,Topic2,0.9203530029082179,place,8.588470244119735,-0.6338,-3.8161
44,Topic2,0.1418384720372789,quality,1.6860797843913504,-0.8759,-5.6862
37,Topic2,0.15283869349031265,pizza,1.8843285809130725,-0.9123,-5.6115
31,Topic2,0.14368958557483047,located,1.815530425821261,-0.9369,-5.6732
6,Topic2,0.14091497131372463,center,1.8091051802848792,-0.9528,-5.6927
26,Topic2,0.1424132661854052,italian,1.8504822107843029,-0.9649,-5.6821
47,Topic2,0.14003912465835583,recommend,1.8641447363579684,-0.989,-5.699
41,Topic2,0.13765889612279014,price,1.8403910047803553,-0.9934,-5.7161
11,Topic2,0.14906016500147976,elegant,2.1510306504714927,-1.0698,-5.6365
17,Topic2,0.9217014889180122,food,13.757538602920226,-1.1035,-3.8147
19,Topic2,0.14918424728474647,gives,2.1565004235252085,-1.0715,-5.6357
35,Topic2,0.15973936163695185,nice,2.733406130471179,-1.2402,-5.5673
15,Topic2,0.15189629401200597,extensive,2.4750877076591196,-1.1912,-5.6177
10,Topic2,0.14733217041866256,downtown,2.1623930031966427,-1.0867,-5.6482
23,Topic2,0.1486455182399104,having,2.4661003138704265,-1.2092,-5.6393
7,Topic2,0.1472623920132832,decoration,2.4267803291309735,-1.2025,-5.6487
18,Topic2,0.14916190881332322,friendly,3.3725520094135564,-1.5188,-5.6358
1,Topic2,0.1477104426723144,advisable,3.3765810439524313,-1.5298,-5.6456
49,Topic3,5.813830504372278,restaurant,6.533835238346751,1.7837,-1.6721
36,Topic3,1.5802273888148344,opposite,2.1253751847128513,1.604,-2.9747
5,Topic3,1.596561679545394,cathedral,2.1531896932951464,1.6013,-2.9645
19,Topic3,1.5956579822099104,gives,2.1565004235252085,1.5992,-2.965
11,Topic3,1.5874755303458343,elegant,2.1510306504714927,1.5966,-2.9702
58,Topic3,1.5914367427075313,touch,2.1631826083829697,1.5935,-2.9677
10,Topic3,1.5879865815097989,downtown,2.1623930031966427,1.5917,-2.9698
7,Topic3,1.5855442408908618,decoration,2.4267803291309735,1.4748,-2.9714
34,Topic3,1.5907289161352065,modern,2.5279161709474054,1.4372,-2.9681
6,Topic3,0.8551500035887541,center,1.8091051802848792,1.1511,-3.5888
31,Topic3,0.8581546903614837,located,1.815530425821261,1.1511,-3.5853
56,Topic3,0.8638272366991264,spanish,2.196076558131021,0.9674,-3.5787
27,Topic3,0.8619848823182279,kitchen,2.2024419296180966,0.9623,-3.5808
59,Topic3,0.8631434299171471,train,2.3066228526360653,0.9174,-3.5795
30,Topic3,0.8645700897776026,local,3.0978266655296687,0.6242,-3.5778
13,Topic3,0.1299632256448285,entrance,1.2524556280043233,-0.3652,-5.4728
47,Topic3,0.1550838621685437,recommend,1.8641447363579684,-0.5862,-5.2961
44,Topic3,0.1349408554986114,quality,1.6860797843913504,-0.6249,-5.4352
37,Topic3,0.14918786706201703,pizza,1.8843285809130725,-0.6357,-5.3349
26,Topic3,0.1421899354299058,italian,1.8504822107843029,-0.6656,-5.3829
53,Topic3,0.13377310478696616,site,1.765990317472338,-0.6799,-5.4439
39,Topic3,0.1309418770788915,potatoes,1.8650627039526002,-0.7559,-5.4653
41,Topic3,0.12425805013907956,price,1.8403910047803553,-0.795,-5.5177
17,Topic3,0.8921064483509263,food,13.757538602920226,-0.8354,-3.5465
33,Topic3,0.14535274865745013,menu,2.273888690700809,-0.8497,-5.3609
32,Topic3,0.12948240240560116,lund,2.074036739755832,-0.8733,-5.4765
51,Topic3,0.14051141589119637,short,2.270489352173122,-0.8821,-5.3948
43,Topic3,0.1397573382599331,professional,2.2719096028980013,-0.8881,-5.4002
