topic,Freq,cluster,topics,x,y
9,50.08799063378713,1,1,-0.24842566653444284,0.06623330539197862
1,18.605329360304356,1,2,-0.24335177728772914,0.03133124314702483
4,6.908924611311789,1,3,-0.1044797078723099,-0.18984653614803754
8,6.085947497014349,1,4,-0.0033157216645835655,0.12379328952738061
5,5.771915539282776,1,5,0.04782307080849587,0.28852282037978977
0,5.503371865550269,1,6,-0.07057686904392908,-0.17441167717801995
2,2.313598786767597,1,7,0.1035681547069603,-0.051756115369091533
6,1.9698329509986467,1,8,0.15135070789450691,-0.04477748074579371
3,1.6956345702198505,1,9,0.17037611976056644,-0.013351447759076719
7,1.0574541847632548,1,10,0.19703168923246522,-0.035737401246154515
