term,Topic,Freq,Term
0,3,0.9186021954941905,00
11,3,0.9677048205992651,15
22,2,0.13173943894601292,20
22,3,0.7904366336760776,20
22,6,0.06586971947300646,20
37,1,0.15678251697894882,39
37,2,0.7345322645864137,39
37,4,0.05431835233916337,39
37,5,0.017283112107915617,39
37,6,0.035800732223539494,39
37,8,0.0012345080077082583,39
38,3,0.964661846181061,40
63,9,0.9657199147631783,absolute
68,1,0.3591129313625755,accessories
68,4,0.21220309580515825,accessories
68,5,0.37543624642451073,accessories
68,7,0.04896994518580575,accessories
83,1,0.7666739595661469,addition
83,8,0.2225827624546878,addition
91,3,0.9250376029562479,advance
98,1,0.8830222889676689,affordable
98,2,0.11636727839108815,affordable
104,6,0.9751236756568918,ago
108,10,0.8434256442292,aiko
126,1,0.8701540135007138,amazing
126,8,0.12048286340779113,amazing
127,1,0.9759502481794186,amazingly
132,1,0.28199397784911395,amp
132,3,0.7106248241797672,amp
149,8,0.9502626834478494,app
154,1,0.30815414146232506,appetizer
154,4,0.6740871844488361,appetizer
160,7,0.8014179970074459,approach
183,2,0.15622666341830482,asked
183,6,0.8201899829461003,asked
190,1,0.5434745781754039,ate
190,3,0.011322387045320913,ate
190,5,0.37363877249559013,ate
190,6,0.07076491903325571,ate
192,1,0.9952164649772748,atmosphere
192,2,0.0035166659539833034,atmosphere
196,1,0.9756807731128273,attentive
207,4,0.9834990701701382,available
210,10,0.8729424175697449,avocado
213,2,0.5504450258310671,away
213,7,0.4365598480729153,away
218,7,0.8924876535204981,background
222,2,0.9870307873994736,bad
225,4,0.9418863940364115,baked
225,7,0.05886789962727572,baked
238,6,0.9546483400671206,barbecue
242,10,0.868002002965668,bars
247,1,0.10171920341775517,basement
247,8,0.864613229050919,basement
261,1,0.9856666131133269,beautiful
264,5,0.9733340625617478,beef
265,1,0.8456960884131177,beer
265,4,0.14285406898870232,beer
265,6,0.011428325519096186,beer
274,1,0.172940656359452,best
274,2,0.8257307395190736,best
286,1,0.4269451628970961,bit
286,2,0.18884112974294637,bit
286,4,0.36126129168215826,bit
286,8,0.016420967803734466,bit
291,4,0.9583386907143837,black
307,3,0.9142745846185174,booked
307,6,0.07881677453607909,booked
313,6,0.9078639343053618,bottle
327,1,0.197100176600467,bread
327,4,0.20648589929572733,bread
327,5,0.5913005298014009,bread
330,1,0.4739304703960139,breakfast
330,2,0.5197947094665959,breakfast
344,8,0.9341552406901658,bromans
358,1,0.6657792878187585,buffet
358,2,0.12803447842668433,buffet
358,4,0.051213791370673736,buffet
358,7,0.147239650190687,buffet
365,2,0.24183383398157396,burger
365,4,0.6986310759467692,burger
365,9,0.05374085199590532,burger
377,8,0.9001125936658009,caesar
381,2,0.9746366451005646,cakes
384,5,0.9684682230147057,called
389,1,0.14785716225863108,came
389,3,0.7245000950672923,came
389,6,0.11828572980690487,came
392,9,0.877541639012,cannon
403,2,0.987015529010384,care
414,3,0.9658745573073676,carte
434,4,0.9857654375218396,center
436,2,0.9630570569198936,centrally
442,5,0.9450088516228606,chain
445,8,0.9415494007773937,chairs
449,8,0.9518956573590691,change
467,1,0.9900418119257097,cheap
471,8,0.9340015380525337,check
