term,Category,Freq,Term,Total,loglift,logprob
3,Default,4.0,excellent,4.0,16.0,16.0
10,Default,3.0,pizzas,3.0,15.0,15.0
9,Default,3.0,pizza,3.0,14.0,14.0
15,Default,2.0,wines,2.0,13.0,13.0
11,Default,2.0,restaurant,2.0,12.0,12.0
6,Default,2.0,italian,2.0,11.0,11.0
7,Default,2.0,lund,2.0,10.0,10.0
14,Default,2.0,waiters,2.0,9.0,9.0
13,Default,2.0,try,2.0,8.0,8.0
0,Default,2.0,chiefs,2.0,7.0,7.0
12,Default,2.0,seafood,2.0,6.0,6.0
5,Default,2.0,interested,2.0,5.0,5.0
4,Default,2.0,great,2.0,4.0,4.0
2,Default,2.0,definitely,2.0,3.0,3.0
1,Default,1.0,city,1.0,2.0,2.0
8,Default,1.0,nice,1.0,1.0,1.0
3,Topic1,3.79340929274042,excellent,4.066939194749842,0.2718,-2.0629
14,Topic1,1.973826927220211,waiters,2.230669900266954,0.2191,-2.7162
2,Topic1,1.972804025190035,definitely,2.232088139611695,0.218,-2.7167
13,Topic1,1.9831095861209593,try,2.2441378710738134,0.2178,-2.7115
4,Topic1,1.9786738590689708,great,2.2430381297863375,0.2161,-2.7138
12,Topic1,1.9912572770732664,seafood,2.2627198804240103,0.2137,-2.7074
5,Topic1,1.9814814671126564,interested,2.2544902578106836,0.2124,-2.7124
0,Topic1,1.9853700088626685,chiefs,2.2594105719054465,0.2122,-2.7104
7,Topic1,1.9790359688236097,lund,2.8180529760501662,-0.012,-2.7136
6,Topic1,1.976869150715065,italian,2.93250019494981,-0.0529,-2.7147
11,Topic1,1.970240746715096,restaurant,2.9447826695552637,-0.0604,-2.718
15,Topic1,1.982261445981666,wines,2.967455265018001,-0.062,-2.712
9,Topic1,1.9836311024557114,pizza,3.5180453769322555,-0.2315,-2.7113
10,Topic1,1.972725395149277,pizzas,3.652295822624616,-0.2745,-2.7168
1,Topic1,0.16682479618643872,city,1.6979196448565503,-1.9787,-5.187
8,Topic1,0.15878697622263444,nice,1.6754541043845528,-2.0148,-5.2364
8,Topic2,0.8315150172942821,nice,1.6754541043845528,0.9759,-2.2457
1,Topic2,0.8372304563336322,city,1.6979196448565503,0.9694,-2.2389
10,Topic2,1.5562111911049852,pizzas,3.652295822624616,0.8234,-1.6189
15,Topic2,0.8554345388758773,wines,2.967455265018001,0.4326,-2.2173
11,Topic2,0.8444610264390242,restaurant,2.9447826695552637,0.4274,-2.2303
6,Topic2,0.8311045104323384,italian,2.93250019494981,0.4156,-2.2462
9,Topic2,0.8426623405565197,pizza,3.5180453769322555,0.2474,-2.2324
0,Topic2,0.14438204676977892,chiefs,2.2594105719054465,-1.0739,-3.9965
12,Topic2,0.14313827793867906,seafood,2.2627198804240103,-1.084,-4.0051
13,Topic2,0.1394041207757211,try,2.2441378710738134,-1.1022,-4.0316
5,Topic2,0.13978613023373107,interested,2.2544902578106836,-1.1041,-4.0288
4,Topic2,0.13656915813220902,great,2.2430381297863375,-1.1223,-4.0521
2,Topic2,0.13102924038704855,definitely,2.232088139611695,-1.1588,-4.0935
14,Topic2,0.12863871809383884,waiters,2.230669900266954,-1.1766,-4.1119
7,Topic2,0.14125206332964138,lund,2.8180529760501662,-1.3168,-4.0184
3,Topic2,0.15256593465432033,excellent,4.066939194749842,-1.6066,-3.9414
8,Topic3,0.6634601108675354,nice,1.6754541043845528,1.4372,-1.7844
1,Topic3,0.6716982416325568,city,1.6979196448565503,1.4362,-1.772
7,Topic3,0.6766129833241618,lund,2.8180529760501662,0.9369,-1.7647
9,Topic3,0.6697521186999363,pizza,3.5180453769322555,0.7048,-1.7749
5,Topic3,0.11195562373546827,interested,2.2544902578106836,-0.639,-3.5637
2,Topic3,0.10708971740393798,definitely,2.232088139611695,-0.6734,-3.6082
0,Topic3,0.10827895586293551,chiefs,2.2594105719054465,-0.6746,-3.5971
4,Topic3,0.10670251187840055,great,2.2430381297863375,-0.6819,-3.6118
