term,Topic,Freq,Term
0,1,0.8851866167525826,chiefs
1,2,0.5889560221705813,city
1,3,0.5889560221705813,city
2,1,0.8960219645931767,definitely
3,1,0.9835406452999701,excellent
4,1,0.891647793874334,great
5,1,0.8871184930034619,interested
6,1,0.6820118898693646,italian
6,2,0.3410059449346823,italian
7,1,0.709709865995222,lund
7,3,0.354854932997611,lund
8,2,0.5968531142590334,nice
8,3,0.5968531142590334,nice
9,1,0.5684974995245812,pizza
9,2,0.2842487497622906,pizza
9,3,0.2842487497622906,pizza
10,1,0.5476007687030012,pizzas
10,2,0.5476007687030012,pizzas
11,1,0.6791672678181206,restaurant
11,2,0.3395836339090603,restaurant
12,1,0.8838919997579288,seafood
13,1,0.8912108412675225,try
14,1,0.8965916470924951,waiters
15,1,0.6739781467229188,wines
15,2,0.3369890733614594,wines
