name,url,review count,aggregating rating value,price range,address,postcode,category
Cafe Paradiset,/Restaurant_Review-g189838-d10325888-Reviews-Cafe_Paradiset-Lund_Skane_County.html,4.0,5.0,,Paradisgatan 1,223 50,FoodEstablishment
Tunaparkens Pizzeria,/Restaurant_Review-g189838-d5949231-Reviews-Tunaparkens_Pizzeria-Lund_Skane_County.html,6.0,4.0,,1 C Dag Hammarskjoelds Vaeg,224 64,FoodEstablishment
The Herbivore,/Restaurant_Review-g189838-d15598766-Reviews-The_Herbivore-Lund_Skane_County.html,4.0,5.0,$$ - $$$,Bredgatan 2,222 21,FoodEstablishment
Zeituna,/Restaurant_Review-g189838-d13483144-Reviews-Zeituna-Lund_Skane_County.html,4.0,4.5,,Kyrkogatan 23,222 22,FoodEstablishment
Pizzeria Ulrikedal,/Restaurant_Review-g189838-d5977019-Reviews-Pizzeria_Ulrikedal-Lund_Skane_County.html,6.0,4.0,,Ulrikedalsv. 4-6,224 58,FoodEstablishment
Unds Stenugnsbageri,/Restaurant_Review-g189838-d5972320-Reviews-Unds_Stenugnsbageri-Lund_Skane_County.html,4.0,5.0,,1 Vaestra Maartensgatan,223 51,FoodEstablishment
Lazise,/Restaurant_Review-g189838-d8834626-Reviews-Lazise-Lund_Skane_County.html,3.0,5.0,$$ - $$$,16 Magistratsvaegen,226 43,FoodEstablishment
Viet Cuisine,/Restaurant_Review-g189838-d10812066-Reviews-Viet_Cuisine-Lund_Skane_County.html,16.0,3.5,$,Martenstorget 1 Saluhallen,223 51,FoodEstablishment
Annika's Cafe Och Glassbar,/Restaurant_Review-g189838-d6180301-Reviews-Annika_s_Cafe_Och_Glassbar-Lund_Skane_County.html,8.0,4.0,$,4 Kyrkogatan,222 22,FoodEstablishment
Le Croissant,/Restaurant_Review-g189838-d14036620-Reviews-Le_Croissant-Lund_Skane_County.html,5.0,4.0,,Vastra martensgatan 2,223 51,FoodEstablishment
Tacostorget,/Restaurant_Review-g189838-d7248241-Reviews-Tacostorget-Lund_Skane_County.html,3.0,5.0,,13 Aaldermansgatan,227 64,FoodEstablishment
Martens Restaurang och Pizzeria,/Restaurant_Review-g189838-d12216809-Reviews-Martens_Restaurang_och_Pizzeria-Lund_Skane_County.html,6.0,4.0,,Bankgatan 4,22352,FoodEstablishment
Tiny Lumberjack Film and Cafe,/Restaurant_Review-g189838-d12171525-Reviews-Tiny_Lumberjack_Film_and_Cafe-Lund_Skane_County.html,3.0,4.5,,Fredsgatan 2A,222 20,FoodEstablishment
Orvars Korvar &amp; Burgare,/Restaurant_Review-g189838-d15084005-Reviews-Orvars_Korvar_Burgare-Lund_Skane_County.html,2.0,5.0,,Skarpskyttevagen 3,226 42,FoodEstablishment
Ao Thai,/Restaurant_Review-g189838-d4357686-Reviews-Ao_Thai-Lund_Skane_County.html,20.0,3.5,$$ - $$$,Kiliansgatan 17,223 50,FoodEstablishment
Tegners Matsalar,/Restaurant_Review-g189838-d7726502-Reviews-Tegners_Matsalar-Lund_Skane_County.html,13.0,3.5,$$ - $$$,2 Sandgatan,223 50,FoodEstablishment
Africa Daily Market,/Restaurant_Review-g189838-d12215233-Reviews-Africa_Daily_Market-Lund_Skane_County.html,3.0,4.5,,Lilla Tvargatan 3,223 53,FoodEstablishment
Shotluckan,/Restaurant_Review-g189838-d10113290-Reviews-Shotluckan-Lund_Skane_County.html,15.0,3.5,$,2C Kungsgatan,223 50,FoodEstablishment
Werners Backhaus,/Restaurant_Review-g189838-d13511437-Reviews-Werners_Backhaus-Lund_Skane_County.html,5.0,4.0,,Lilla Fiskargatan 17,222 22,FoodEstablishment
La Piazza,/Restaurant_Review-g189838-d3518784-Reviews-La_Piazza-Lund_Skane_County.html,18.0,3.5,,3 Maartenstorget,223 51,FoodEstablishment
Bellini Pizzeria,/Restaurant_Review-g189838-d1186605-Reviews-Bellini_Pizzeria-Lund_Skane_County.html,5.0,4.0,$$ - $$$,Getingevagen,222 41,FoodEstablishment
Hojdpunkten,/Restaurant_Review-g189838-d10453343-Reviews-Hojdpunkten-Lund_Skane_County.html,3.0,4.5,,17 Scheelevaegen Beta 6,223 63,FoodEstablishment
Max,/Restaurant_Review-g189838-d15048353-Reviews-Max-Lund_Skane_County.html,2.0,4.5,,Kung Oscars vag 14,227 37,FoodEstablishment
Gerdas Restaurang,/Restaurant_Review-g189838-d1042636-Reviews-Gerdas_Restaurang-Lund_Skane_County.html,5.0,4.0,$$ - $$$,Glimmerv. 5,,FoodEstablishment
Mangal Oriental B.B.Q,/Restaurant_Review-g189838-d6369257-Reviews-Mangal_Oriental_B_B_Q-Lund_Skane_County.html,12.0,3.5,,10 Foeretagsvaegen,227 61,FoodEstablishment
Wraphouse,/Restaurant_Review-g189838-d1043217-Reviews-Wraphouse-Lund_Skane_County.html,25.0,3.0,$$ - $$$,Bang. 4,,FoodEstablishment
Osthuset I Malmo,/Restaurant_Review-g189838-d5936297-Reviews-Osthuset_I_Malmo-Lund_Skane_County.html,3.0,4.0,,Martenstorget Saluhallen,223 51,FoodEstablishment
Martens Kebab House,/Restaurant_Review-g189838-d12138736-Reviews-Martens_Kebab_House-Lund_Skane_County.html,8.0,3.5,$,Martenstorget 9,223 51,FoodEstablishment
Cafe Bryggan,/Restaurant_Review-g189838-d5936284-Reviews-Cafe_Bryggan-Lund_Skane_County.html,5.0,3.5,,Solvegatan 26,223 62,FoodEstablishment
Pompes Bar,/Restaurant_Review-g189838-d11904714-Reviews-Pompes_Bar-Lund_Skane_County.html,3.0,4.0,,Glimmervagen 5 Scandic Star,224 78,FoodEstablishment
Restaurant Tatung,/Restaurant_Review-g189838-d807879-Reviews-Restaurant_Tatung-Lund_Skane_County.html,73.0,3.0,$$ - $$$,Bantorget 6,,FoodEstablishment
Albins Cafe och Restaurang,/Restaurant_Review-g189838-d10778388-Reviews-Albins_Cafe_och_Restaurang-Lund_Skane_County.html,1.0,4.0,,Kyrkogatan 21,222 22,FoodEstablishment
Cafe Mondo,/Restaurant_Review-g189838-d796907-Reviews-Cafe_Mondo-Lund_Skane_County.html,14.0,3.0,$,Kyrkogatan 23,222 22,FoodEstablishment
Nobbelovs Pizzeria,/Restaurant_Review-g189838-d4185570-Reviews-Nobbelovs_Pizzeria-Lund_Skane_County.html,2.0,3.5,,19 Noebbeloevs Torg,226 52,FoodEstablishment
Restaurang &amp; Pizzeria Eros,/Restaurant_Review-g189838-d1042648-Reviews-Restaurang_Pizzeria_Eros-Lund_Skane_County.html,4.0,3.5,,Allhelgona Kyrkog. 4,,FoodEstablishment
Kalmar Nation,/Restaurant_Review-g189838-d5936215-Reviews-Kalmar_Nation-Lund_Skane_County.html,2.0,3.0,,12 Biskopsgatan,223 62,FoodEstablishment
Paolo's,/Restaurant_Review-g189838-d12959059-Reviews-Paolo_s-Lund_Skane_County.html,4.0,3.0,,Scheelevagen 27 Elite Hotel Ideon,223 63,FoodEstablishment
Pizzabakeren,/Restaurant_Review-g189838-d14919814-Reviews-Pizzabakeren-Lund_Skane_County.html,1.0,3.0,,Skarpskyttevagen 3,226 42,FoodEstablishment
Cafe Hamburgerstallet,/Restaurant_Review-g189838-d12369140-Reviews-Cafe_Hamburgerstallet-Lund_Skane_County.html,1.0,3.0,$$ - $$$,Botulfsplatsen,223 50,FoodEstablishment
Det lilla cafeet pa hornet,/Restaurant_Review-g189838-d15700253-Reviews-Det_lilla_cafeet_pa_hornet-Lund_Skane_County.html,1.0,3.0,$,Kyrkogatan 17,22222,FoodEstablishment
Burger King,/Restaurant_Review-g189838-d15554218-Reviews-Burger_King-Lund_Skane_County.html,1.0,3.0,,Skarpskyttevagen 3,22642,FoodEstablishment
Asian Hot Wok,/Restaurant_Review-g189838-d10605362-Reviews-Asian_Hot_Wok-Lund_Skane_County.html,1.0,3.0,,58b Stora Soedergatan,222 23,FoodEstablishment
Primo no 1,/Restaurant_Review-g189838-d15235511-Reviews-Primo_no_1-Lund_Skane_County.html,1.0,3.0,,Bangatan 12,222 21,FoodEstablishment
