Frank V,Yesterday,5,"Centrale ligging, goed ontbijt, zeer goede prijs/kwaliteit verhouding",Op vrijdag en zaterdag soms er lawaai van de straat. Kamers niet zo groot maar alles aanwezig zelfs kleine keuken. Ik zou zeker terug gaan. Steeds beneden gratis thee/koffie/koekjes. Meeste plekken zijn op wandelafstand. ,,,,Date of stay: February 2019,"[All, languages]",219
Per H,Feb 3,4,"Very nice hotel, better than 3,5 stars","Very central location. Very convenient parking behind hotel. Staff friendly and available. Trouble-free check-in and -out. Rooms nice, modern, quite and clean. Wifi works fine. Nice and practical with small kitchen in hotel room. Breakfast good, restaurant a bit crowded in peak…",,,,Date of stay: February 2019,"[All, languages]",219
Gunilla M,Feb 3,5,Fräscht hotell,"Vi är mycket nöjda , fint rum, trevlig personal, bra pris på bästa läge i Lund! Rummet var välstädat och bra sängar. Vi fick mycket trevligt bemötande när vi frågade om tips i Lund. Frukosten var helt ok och det fanns kaffe och te under hela dagen. ",,,,Date of stay: February 2019,"[All, languages]",219
Natalie Senderson,Jan 2019,5,Utmärkt hotell och personal,Ett mycket trevligt hotell med väldigt trevlig och serviceinriktad personal. Rekommenderar verkligen. Bra frukost och hotellet känns som en stor familj för alla är super trevliga och är väldigt sociala.,,,,Date of stay: January 2019,"[All, languages]",219
Curiosity622999,Jan 2019,4,Selbstversorgung ?,Hotell ist klasse aber Parkplatzsituation ist nicht kundenfreundlich geregelt. Frühstüchszeit wird einfach mal nach hinten verschoben. Abends gibt es nicht mal einen Snack oder Salat. Der Fitnessraum ist klein aber effektiv.,,,,Date of stay: January 2019,"[All, languages]",219
drnickUk,Jan 2019,5,Still fantastic,"Managed to book a junior suite for this work trip, which was in the old part of the building with really interesting beams and other features.  Bed was the most comfortable I have ever slept in.  Room well appointed, with everything we needed.  Staff always welcoming and…",,,,Date of stay: January 2019,"[All, languages]",219
PON,Jan 2019,5,Fantastiskt litet hotell mitt i Lund,"Jättefint hotell med trevliga, snygga rum. Bra frukost. bra städning. Mycket prisvärt hotell. Enkelt tillgänglig parkering bakom hotellet. Rummen har även ett litet pentry med möjlighet att laga sig mat.",,,,Date of stay: December 2018,"[All, languages]",219
Nizze_a,Jan 2019,4,Centralt,"Litet men trevligt rum. Välstädat och med ett litet kök, t.o.m diskmaskin. Ventilationen inte den bästa men fönstren gick att öppna för vädring.Bra frukost men en del frukt och grönsaker lite torra.  Mycket trevligt bemötande i receptionen.",,,,Date of stay: December 2018,"[All, languages]",219
Sightsee61721203305,Dec 2018,5,Ecarjac,"Stannade tyvärr bara en natt, men kommer gärna tillbaka. Bra service, bra läge, trevlig personal fint rum med spis och kyl. Även frukosten var kanon, kanske lite liten matsal. Bodde på bottenvåningen och dör fanns en lite uteplats.",,,,Date of stay: December 2018,"[All, languages]",219
Saija M,Nov 2018,5,Beautiful small hotel in the city centre,"We enjoyed staying in this hotel. Great location in the centre of Lund, cosy room and comfortable bed, good breakfast and friendly staff. Nice surprise was that coffee, tea and cookies were freely available downstairs when we arrived in the evening. The only minus was the air…",,,,Date of stay: November 2018,"[All, languages]",219
