Safari58811956714,Feb 4,5,Superfräscht och härlig frukostbuffé,"Jag är extra glad för de mjölfria youghurtalternativen som fanns och att det fanns glutenfritt bröd. Detta uppskattar jag särskilt då jag är väldigt känslig för just mjölk och gluten. Jag hade önskat att man kunde få rosta sitt glutenfria bröd (det fanns kanske, i så fall har…",,,,Date of stay: February 2019,"[All, languages]",512
Journey28502745044,Feb 4,4,Toppenboende,"Bra hotell, med både avkoppling, plats att aktivera sig på som bordtennis, tv-skärmar. Modern inredning, många platser att vara på. Bra bemötande av hjälpsam personal. God frukost. Tyst och lugnt. Nära bussen som tar dig till centrum på 10 min. ",,,,Date of stay: February 2019,"[All, languages]",512
Akhlad1,Jan 2019,4,Very nice and modern,"The hotel is nice, few kilometers from central Lund, you can always enjoy biking as they have lots of bikes you can lend. The personnel is very friendly. They have tasty breakfast and good food for lunch and dinner. I love the pasta with mushrooms a lot. Definitely worth the…","Response from EliteHotelIdeon, Bokare at Elite Hotel IdeonResponded 1 week ago",Responded 1 week ago,"Dear Akhlad1, Thanks for your kind words about our hotel. I am glad to see that you appreciate our employees, it`s certainly a great idea to bike through Lund. Hope to see you soon again  Kind regards, ",Date of stay: January 2019,"[All, languages]",512
Ebele2014,Jan 2019,4,Space age hotel in science park,"Elite Hotel is a very modern, comfortable hotel a few kilometres away from the centre of Lund. It has a spacious welcoming lobby area and comfortable compact rooms. One wonderful feature of the rooms is a hydra shower that gives a  luxuriant, full power clean. The beds are…","Response from EliteHotelIdeon, Reservations department at Elite Hotel IdeonResponded 3 weeks ago",Responded 3 weeks ago,"Dear Ebele, Thank you for your kind words about or hotel and for taking the time to answer our online survey. It is an important tool for us to continuously improve our hotel with your feedback.   We hope we'll have the pleasure to welcome you back to Elite Hotel Ideon in a not too distant future.   Kind regards, Jenifer Grube",Date of stay: February 2018,"[All, languages]",512
madebybaker,Dec 2018,5,Perfekt Julbord,"LUGI Judo hade sitt julbord på Elit. Detta blev en av klubbens absoluta höjdpunkter på året. Tack till all personal som gjorde sitt yttersta för att vi skulle få en oförglömlig kväll.  Julmaten var väldigt vällagad och av toppklass! Julbordet innehöll allt man kan önska sig,…","Response from Cassandra_Windahl, Receptionschef at Elite Hotel IdeonResponded Dec 20, 2018","Responded Dec 20, 2018","Bästa madebybaker,   Tack för ditt fina omdöme på vårat julbord, kul att läsa!   Ni är varmt välkomna åter.   God jul och gott nytt år! :) ",Date of stay: December 2018,"[All, languages]",512
Saleh Ali,Dec 2018,3,Jag ger hotellet 3 stjärnor för att:,"Jag ger hotellet 3 stjärnor: 1 för att det är ny och färsk, 1 för att det  ren och städning ständigt pågår och sista stjärnan för fina utsikt  från högre våningar. 1 stjärna  borta för att det ligger inte central och 1 stjärna bort för att vi som var en relativt stor grupp…","Response from Cassandra_Windahl, Receptionschef at Elite Hotel IdeonResponded Dec 20, 2018","Responded Dec 20, 2018","Bästa SalehS852,  Tack för att du delar dina åsikter, de är ovärderliga för oss.  Det glädjer mig att du uppskattade både vår utsikt och allt jobb städpersonalen gör för att ständigt se till att det är fint och rent i både rum och i de allmänna utrymmena.   Ha en underbar dag och varmt välkommen tillbaka till oss. ",Date of stay: December 2018,"[All, languages]",512
Hoodlum1973,Dec 2018,3,Medel.,Var inte övernattande gäst denna gång. Hittade dock ingen betygssättning på självaste restaurangen i sig.  Men åt julbord igår på deras restaurang Northeast. Och har ätit ett par frukostar här innan också. Men denna gång hade jag inga direkta förväntningar då jag har smakat…,"Response from Cassandra_Windahl, Receptionschef at Elite Hotel IdeonResponded Dec 18, 2018","Responded Dec 18, 2018","Bästa Hoodlum,   Tack för din feedback, den är ovärderlig för oss.   Beklagar att du inte tycker vårt julbord höll måttet, det var inte kul att läsa.  Jag har skickat vidare detta till restaurangchefen och sagt till honom att kolla på de punkterna du tar upp, det är ju absolut inte den kvalitén vi vill leverera till våra gäster.   Jag beklagar också att du upplevt att din feedback inte gjorde någon förändring hos oss så ska det absolut inte vara, vi jobbar aktivt med att samla all information vi kan och förbättra oss utifrån den.   Jag vill tacka för din bra utförda feedback och det glädjer mig att servicen höll måttet.   Ha en underbar dag och välkommen tillbaka till oss.   ",Date of stay: December 2018,"[All, languages]",512
72andersw,Dec 2018,5,Always stisfied,a concept hotell that is consistent and have never let me down. Fast check ina check out. The view is awesome from the top located rooms. I did also appreciate the feature to be able to park whenever in Lund.,"Response from Cassandra_Windahl, Receptionschef at Elite Hotel IdeonResponded Dec 18, 2018","Responded Dec 18, 2018","Best 72andersw,   Thank you for your feedback. It means alot to us.  Lovely to read that you feel that the hotel never let's you down and that our services always is fast.   Have a wonderful day and welcome back to us in a not to distant future I hope. ",Date of stay: December 2018,"[All, languages]",512
Roam39650562528,Dec 2018,5,Elite Ideon Lund Sweden,"Clean, comfortable and quite rooms.  Helpful staff for travellers from outside of Sweden.  Good selection of meals when staying in.  Nice commons areas for small groups.  Location perfect for meetings with Axis HQ.  Walking distance to all buildings.","Response from Cassandra_Windahl, Receptionschef at Elite Hotel IdeonResponded Dec 18, 2018","Responded Dec 18, 2018","Best Roam39650562528,   Thank you for your kind feeback.  Lovely to read that the staff was helpful, that is why we are here.   Have a great day and welcome back to us! ",Date of stay: December 2018,"[All, languages]",512
NinjaJJ,Nov 2018,4,環境不錯的酒店,交通其實不太方便，做 taxi 消息 taxi driver 會坑人，明明路段收費 99，他可以收你 250. 不過沒辦法，不是本地人就會這樣， 其實沒有什麼可以挑剔，靠近公司也什麼都齊全，就是嫌棄 洗澡的水衝力不是很夠，所以充起來感覺沒那邊快活而已,"Response from Cassandra_Windahl, Receptionschef at Elite Hotel IdeonResponded Dec 18, 2018","Responded Dec 18, 2018","Best NinjaJJ,   Thank you for your feedback.   Welcome back to us! :) ",Date of stay: November 2018,"[All, languages]",512
