E61S,Dec 2018,4,Rent och prisvärt,"Hotellet ligger i ett industriområde, med baksidan mot en större väg med mkt trafik. Trots den mindre smickrande omgivningen var vårt rum stort, välisolerat (med stängda fönster hörde inte vi trafiken alls) och väldigt rent, vi sov gott. Vi åt inte frukost på hotellet.",,,,Date of stay: November 2018,"[All, languages]",11
xt76,Jul 2018,4,"Rent, fint, väl värt","Bodde i dubbelrum som vette ut mot stora vägen. Med stängt fönster gick det att sova utan problem. Ljusa, superfräscha rum. Kylskåp på rummet. Finns tvättmöjligheter och gemensamt kök längst bort i korridoren. Gratis parkeringar. Ligger typ i ett industriområde, men cykelavstånd…",,,,Date of stay: July 2018,"[All, languages]",11
Åse N,May 2018,4,"Fint, men lyhört vid motorväg","Jag fick ett stort (25 kvm), rent och fräscht enkelrum på andra våningen. 140 cm-säng, tv (dock inte många kanaler), matplats, kylskåp och eget badrum. Lätt in- och utcheckning. Hotellet ligger precis intill en stor, trafikerad väg och dessutom mellan två bilverkstäder/butiker.…",,,,Date of stay: May 2018,"[All, languages]",11
Hallgren_Nykvarn,Sep 2017,5,Feels like home,"Fenix Inn is  close to Lund Tekniska Högskola and Lund University, thus a good hotel if you're visiting students in Lund. Our room was very clean and fresh. It gives one a feeling of home. The breakfast is simple but it includes everything a good breakfast needs including eggs…",,,,Date of stay: September 2017,"[All, languages]",11
Cecilia B,Feb 2017,4,Enkelt Fräscht Med Super Service,"Har blivit såå trevligt bemött då jag kom ner sent på kvällen och inser att jag råkat boka i fel månad. De fixade fram ett rum och lugnade mig. Familjärkänsla. Enkla men rena fräscha rum med Ikea inredning.   Frukost enkel ungefär som en ""hemmafrukost"" det finns vad man behöver.…",,,,Date of stay: February 2017,"[All, languages]",11
Fjaeril0410,Oct 2016,3,Für eine Nacht absolut in Ordnung ,"Es ist nicht wahnsinn gemütlich, aber funktional eingerichtet. Zudem ist es sauber und ordentlich. Preislich relativ günstig für schwedische Verhältnisse. Leider liegt es circa 3 km vom Zentrum entfernt und der Straßenlärm ist deutlich hörbar. Mehr als eine Nacht ist es nicht…",,,,Date of stay: October 2016,"[All, languages]",11
Thomas H,Sep 2016,3,"Very good value, but traffic noise can be an issue","We have stayed twice in this place in the last couple of months, and had very different experiences depending on the room we stayed in.   Basically, if you get a room away from the highway (i.e. a room facing east), it's a great place to stay on a low budget. Rooms are much…",,,,Date of stay: September 2016,"[All, languages]",11
Alec A,Aug 2016,5,Fantastiskt Fint och Färscht! Väldigt prisvärt,"Fantastiskt fint och fräscht hotell, helt nytt. Bra frukost, sköna sängar. Stort plus att rummen var så stora och enkelt med parkering! Väldigt trevlig personal, ett familjägt hotell. Kort sagt väldigt prisvärt, rekommenderas!",,,,Date of stay: August 2016,"[All, languages]",11
Roberta P,Aug 2016,4,Di passaggio per una notte,"Siamo arrivati il sabato sera tardi e ripartiti la domenica mattina presto. Non abbiamo avuto modo di valutare la zona, ma abbiamo potuto verificare che l'albergo molto semplice e carino, è estremamente pulito!! Il personale ci ha aspettati fino a tarda sera. Grazie, abbiamo…",,,,Date of stay: August 2016,"[All, languages]",11
LEJOKUNG,Jul 2016,4,Årets överraskning.,"Stället ligger i en industri/kontorsfastighet alldeles vid väg 108s utfart norrut från Lund. Omgivningen inget vidare med andra ord. Väl inne på andra våningen möts vi av ett trevligt värdpar, ett stort fint rent rum med dusch o toalett. Bra frukost nästa morgon, även om jag…",,,,Date of stay: July 2016,"[All, languages]",11
Saittham,Jun 2016,5,Super Preis Leistungsberhältnis,Ein ganz modern eingerichtetes inn im Industriegebiet mit riesigem Parkplatz ( Anhänger geeignet)  und nachts totaler Ruhe. Scheint noch neu zu sein.  Sehr Sehr nettes Personal. Sehr gutes Frühstück.  Alles in allem eine top Adresse als stopover!!!! ,,,,Date of stay: June 2016,"[All, languages]",11
