Ida E,Aug 2018,5,Fridfullt boende utanför Lund ,"Mysigt boende på slotts. Nyrenoverat och fräscha rum med handdukar och sängkläder. Smidig check-in utan att känna någon stress. God frukost, dock basis men inte konstigt då det är ett mindre boende. Rekommenderas varmt. Fina ängar runt om med harar och rådjur! ",,,,Date of stay: August 2018,"[All, languages]",14
Tangoj63,Jun 2017,4,Not easy to reach this B and B without a car,"We only stayed here a night but liked the quiet location which is about 10 mins from the north part of Lund.  Breakfast was provided, cereal, bread and eggs etc.  You can also use the kitchen to make a sandwich or supper with your own ingredients. There is a garden to sit out if…",,,,Date of stay: May 2017,"[All, languages]",14
leifgb,Jun 2016,3,Fräscht och enkelt på den skånska slätten,"Nybyggt hus med allt vad man behöver, lite isolerat på den skånska slätten. Bra sängar och gratis wifi.  Frukosten var ganska enkel utan finess  Priset var lite högt i förhållande till andra B&B vi besökt",,,,Date of stay: June 2016,"[All, languages]",14
Maurizio M,Oct 2015,4,Un po' fuori mano...,"Ti avverte alla prenotazione: non è raggiungibile con mezzi pubblici, ma solo in auto o taxi ed è in mezzo al nulla... Tuttavia il ""nulla"" è suggestivo, nel silenzio dell'alba i cervi passeggiano sotto le finestre, la sera la nebbia vela gli alberi in lontananza... Le camere…",,,,Date of stay: September 2015,"[All, languages]",14
Mario B,Aug 2015,5,Relax nel silenzio,"Ottimo Bed and breakfast. Posizione tranquillissima è molto bella in piena campagna. Accoglienza estremamente amichevole e piacevole. La colazione, per quanto semplice, molto,competa e curata. Pulizia impeccabile e rete wi-fi efficientissima. Da consigliare in assoluto",,,,Date of stay: August 2015,"[All, languages]",14
ugo-livorno b,Aug 2015,5,Tranquillo e pulitissimo ,"Parto dalla fine:il B&B si merita 4 stelle perché è tenuto come nuovo, a 10 minuti in auto dal centro di lund , il proprietario è molto gentile e la colazione è adeguata anche se potrebbe avere un po' più di scelta. Le camere sono spaziose e ripeto veramente pulite quindi 4…",,,,Date of stay: August 2015,"[All, languages]",14
RolfvdM,Jul 2015,4,Bijkomen op doorreis,"Landelijk gelegen, prima locatie voor overnachting op doorreis. Beetje onpersoonlijk ingerichte B&B en ook de kamers zijn standaard ingericht. Wel goed schoon. Eenvoudig maar goed ontbijt. Landelijk gelegen maar wel vlakbij industrieterrein. De stad Lund ligt vlakbij. ",,,,Date of stay: July 2015,"[All, languages]",14
Doriana32,Jul 2015,4,Tranquillità a 15 minuti da Malmoe,"Posso solo condividere le positive recensioni lette. Organizzazione perfetta, dagli sms di conferma alle password per l'ingresso che puoi fare quando vuoi ed in completa indipendenza. Stanze grandi e pulizia assoluta. Forse migliorabile la colazione, ma è comunque abbondante ed…",,,,Date of stay: June 2015,"[All, languages]",14
Emarg54,Jun 2015,5,Vid sidan av vägen,Sedan vi var här för tre år sedan har det utvecklats med fler rum och en fin frukostmatsal. Det är fortfarande snyggt och fräscht. Inredningen inklusive sängarna är av bra kvalitet och design. Det lugnt och stilla. Det finns möjlighet att värma egen medhavd middagsmat om man…,,,,Date of stay: May 2015,"[All, languages]",14
Dan V,Feb 2015,5,Bellissimo,"Angolo eccezzionale. Nuovissimo, super pulito, immerso nel verde della campagna a solo 5 min. dall'uscita dell' autostrada. Qualita' -prezzo da vero numero uno. In 3 settimane di svezia- norvegia questo e' il migliore posto in assoluto. Spero che continuino cosi ed il successo…",,,,Date of stay: February 2015,"[All, languages]",14
FawltyTowersWatch,Sep 2014,4,Great base for exploring the most accessible part of Sweden,"We had been looking initially for a self-catering place to rent for a week somewhere in the far south of Sweden, with our first thought being a lakeside cottage in an 'away from it all' setting, but hadn't found anything that quite ticked all the boxes, so we changed tack and…",,,,Date of stay: August 2014,"[All, languages]",14
Ivo C,Jul 2014,4,in the middle of nowhere,"The indication of Hobykrok could be better, it was hard to find.  But when you get there, all was OK. good b&b.  Nice and clean rooms, perfect kitchen for self-cooking.  Good brunch.  The b&b is located in a very quiet place.",,,,Date of stay: June 2014,"[All, languages]",14
Mikeben_13,Mar 2014,5,POSTO STUPENDO,"Siamo stati al B&B Hobykrok in occasione della Vasaloppet 2014 di ritorno da Mora,il Titolare è stato gentilissimo e ci ha aspettato fino alle 23:00 ,la Stanze pulite ordinate ,nella cucina non manca niente,il tutto in aperta campagna svedese della Scania,sicuramente tornerò con…",,,,Date of stay: March 2014,"[All, languages]",14
JannieQ,Sep 2013,5,Dejligt fred og ro,"Et lækkert b&b med rene værelser, fladskærmstv, wi-fi, parkering, kaffe og the faciliteter, venligt personale. Morgenmaden var god, ikke så meget forskelligt men det kan man jo ikke forlange når det kun var min mand og jeg der var der ;-) Et rigtigt lækkert sted som varmt kan…",,,,Date of stay: August 2013,"[All, languages]",14
