Navigator16976633407,Dec 2018,4,Central and convenient with great staff,"It is centrally located, conveniently in Lund. The breakfast room closed at 9am, which is like a regular week day in spite of the holidays and 99 per cent of the guests staying for leisure. Chet, a Nepalese young man with a MSc, was extremely hospitable and service minded. He…",,,,Date of stay: December 2018,"[All, languages]",117
Søren E,Dec 2018,4,Undervurderet skjult perle,"Anden gang vi bor på hotel Bishop Arms. Super centralt i Lund. Vi betalte lidt ekstra for et større værelse og fik så en mindre lejlighed! Med lounge-entre, sofagruppe, skrivebord, kæmpe seng, og enormt badeværelse med egen sauna til 6 personer (Værelse 432).  Morgenbuffetten er…",,,,Date of stay: December 2018,"[All, languages]",117
Simon B,Nov 2018,2,"Beware check-in time, beware room descriptions","Travelling with teenager, booked a family room to allow some privacy...pictures showed beds opposite corners of the room with furniture between. Reality was 3 singles in a row side by side, 2 pushed together. Would have saved a lot of money simply booking a twin. The late…",,,,Date of stay: November 2018,"[All, languages]",117
Henrik R,Oct 2018,3,Centralt beläget hotell med små rum och liten frukostmatsal,Hotellets läge var mycket bra mitt i centrum. Rummet var litet och enkelt men rent och fräscht. Frukostmatsalen räckte inte till gästerna och personalen hade svårt att hinna med att fylla på mat och matporslin.,,,,Date of stay: October 2018,"[All, languages]",117
ukkek,Oct 2018,4,Utbildning,"Helt okej, med fräscht rum och badrum.  Bra centralt läge. Mitt rum var lite litet men räckte för en person. Bra frukost. Lite trafik men det gick att sova med öppet fönster.  Inget lyx hotell om man vill bo så. ",,,,Date of stay: October 2018,"[All, languages]",117
cater372,Oct 2018,4,Prisvärt centralt,"Prisvärt, fina fräscha rum. Frukosten var ok men absolut inget utöver standard. Bra läge centralt vilket innebär en del ljud från trafik. Smidigt även vid mycket sen incheckning, bara att ringa i förväg. ",,,,Date of stay: October 2018,"[All, languages]",117
Eva R,Oct 2018,4,Stora rena rum med bra läge i Lund,Vi fick ett stort hörnrum. Sköna sängar. Rent och fräscht. Läget är perfekt i Lund. Finns parkeringshus mitt emot. Man hör inget från puben som ligger under. Incheckning på puben. Frukosten är ok. Inget speciellt men finns det vanliga. Kan klart rekommendera det här hotellet. ,,,,Date of stay: October 2018,"[All, languages]",117
gzinne524620,Oct 2018,4,Hiding Gem,"Would stay at this hotel again because of ease of getting to trains, stores all around and historic sites for visiting. Pleasantly surprised that we could ask anyone for information or directions and they all spoke very good English.  For being tucked away on one of the side…",,,,Date of stay: October 2018,"[All, languages]",117
Malin B,Oct 2018,3,Halvdant hotell,"Bodde här en natt tillsammans med några kollegor. Vi fick inte lov att förvara vårt bagage på hotellet innan incheckning, vilket var synd. När vi så checkade in skedde detta i hotellets livliga bar, vilket kändes lite udda. Rummen var hyfsat rena men inte speciellt mysiga.…",,,,Date of stay: October 2018,"[All, languages]",117
Pappinho,Oct 2018,3,"Okej, inte mer.","Vi skulle på konferens och frågade om möjlighet att få lämna in bagage på vägen dit, det fick vi inte. Man kan inte gå in förrän kl. 16 och då checkar man in vid pubens bardisk! Visst att ha nära till puben kan vara trevligt men rätt dålig tillgänglighet kan man lugnt säga.…",,,,Date of stay: October 2018,"[All, languages]",117
gurnman,Sep 2018,5,"great room, good pub, good price","I really enjoyed my stay here. I got a 4th floor room which had the benefit of an attic-type ceiling. This hotel is combined with a pub. Because I arrived later in the evening, one checks in with the folks in the pub - though a bit unconventional, I found that just fine and not…",,,,Date of stay: September 2018,"[All, languages]",117
Sommartjej,Sep 2018,2,Usel service,"Pass upp!!! Receptionen öppnar 1600!!  Vi skulle på bröllop kl1600. Info på väggen beskriver hur man går tillväga om man kommer sent! Ingen info om man kommer tidigt! Ringde alla tänkbara telefonnummer , inget svar!!! En snäll städare/diskare öppnade efter att vi bankat på…",,,,Date of stay: September 2018,"[All, languages]",117
