Marcin_Ronndahl,Nov 2018,3,Inte prisvärt,"För de drygt femtonhundra jag spenderade för en övernattning hade jag förväntat mig mer. Mycket mer! Ja, det är ""halvpension"", om man tycker att en tacobuffé utan salsa är att klassa som middag... Men rummen är mycket slitna, stolen där jag sitter och skriver detta nu, håller på…",,,,Date of stay: November 2018,"[All, languages]",138
Peter S,Oct 2018,3,Hotel evaluation ,The Hotel Djingis Khan Lund is situated in a quiet place about 4Km from the center. The rooms are really small. The personal is helpful. It could be cleaner. The breakfast buffet is great. For dinner isn’t big assortment.,,,,Date of stay: October 2018,"[All, languages]",138
siegenbw,Sep 2018,3,Rundreise Skandinavien/Lovoten,"im Rahmen eine Skaninavien/Lovoten-Rundreise, haben wir nur eine Übernachtung gehabt und deshalb auch meine Bewertung in Kurzform  Rezeption: im Eingansbereich sehr eng, der Service sehr freundlich. Da die Zimmer vorgebucht waren, ging das Check-in und Check-out sehr schnell.…",,,,Date of stay: September 2018,"[All, languages]",138
Hallgren_Nykvarn,Sep 2018,4,Value hotel near Lund University,"The hotel is very near Lund University so good for overnight stay when visiting our daughter. The reasonable price includes a filling buffet breakfast (warm & cold) and simple  buffet dinner (salad bar, soup, main course, and fresh fruits plus water). Alcohol drinks are…",,,,Date of stay: August 2018,"[All, languages]",138
Andrea P,Sep 2018,5,Simple and efficient,I spent the weekend in this hotel and I can say that if you're looking for something cheap and comfortable this is the right place. I booked it via booking.com and I had breakfast and dinner included for a very competitive price. They also have bycicles included in the service.…,,,,Date of stay: August 2018,"[All, languages]",138
Björn R,Aug 2018,3,Finns förbättringspotential ,"Ett trevligt hotell med en hiss som kan skrämma vem som helst, när väl hissen stannat så hoppar den till nåt djävulskt.   Personalen är trevlig och tillmötesgående som sig bör. Gissningsvis har de ett nytt kassaregister i baren som de ännu inte behärskar, eller ett gammalt med…",,,,Date of stay: August 2018,"[All, languages]",138
Daniel R,Aug 2018,1,Kann ich nicht empfehlen!,"Ich habe das Hotel als Zwischenübernachtung besucht. Zimmer viel zu heiß, vor Anreise nicht gelüftet! Das Abendessen war eine Katastrophe, geschmacklich und die Räumlichkeiten. Frühstück war OK, die Waffeln waren das beste. ",,,,Date of stay: August 2018,"[All, languages]",138
Gabriella,Aug 2018,3,Prisvärt,"Inte dumt alls... om man är fler än två.... stort rymligt rum , skön säng, rent men slitet, lite ny målarfärg här o där hade gjort susen....Frukosten var bra , lite av varje som smakade bra (och trevligt upplagt )inte minst våfflorna som du gräddar själv , att få  pressa sin…",,,,Date of stay: August 2018,"[All, languages]",138
Per Flensburg,Aug 2018,4,Slitet med prisvärt,"Orsaken till att vi valde Djingis Kahn var läget, vi skulle besöka någon som inte bodde långt därifrån. Vi var nog inte rätt målgrupp, eftersom priset inkluderar halvpension. En av oss åt kvällsmat och den var acceptabel, ordinär husmanskost. Hotellet var ganska slitet, men…",,,,Date of stay: July 2018,"[All, languages]",138
32carine,Jun 2018,3,Bra frukost och kvällsbuffé på prisvärt hotell!,"Toppenställe om man reser med barn, tonåringar på idrottsevenemang ex. Härlig frukost serveras i en stor fin matsal där man även får en rejäl kvällsbuffé som ingår i priset. Trevligt att man kan låna cyklar gratis. Ett stort plus för oss var också att det finns ett pyttelitet…",,,,Date of stay: May 2018,"[All, languages]",138
Anders F,Apr 2018,2,Charmlöst och slitet,"Jag bodde en natt på hotellet. Läget är inte bra, långt från stadskärnan och standarden undermålig sett till priset Dessutom var mitt rum slitet med hård säng, obefintligt wi-fi och utan fungerande eluttag. Servicen i den charmlösa baren var också under all kritik. Hit…",,,,Date of stay: April 2018,"[All, languages]",138
Nadia,Mar 2018,2,Very basic ,"Stayed there on business close to the university of lund which is fine, but the standard is quite poor, room basic but chair broken, phone didn’t work, WiFi didn’t work and towels extremely bad. The duvet too short for the bed and had to ask for another one. No shampoo provided…",,,,Date of stay: March 2018,"[All, languages]",138
