lars H,Jan 2019,4,Stökig framsida - Superlugn baksida,Första natten (en fredag) hade vi ett dubbelrum ut mot gågatan. Det blev inte mycket sömn p g a av alla festande ungdomar som gick förbi och senare på natten käkade nattmat på väg hem. Hotellet fixade dock på vårt önskemål dagen efter ett finare rum på översta våningen ute i…,"Response from Hotel_Lundia, Hotelldirektör at Hotel LundiaResponded 2 weeks ago",Responded 2 weeks ago,"Hej Lars  Stort tack för din utförliga recension. Gläder mig att vi kunde lösa ett rum så ni inte blev störda av passanterna ute på torget. Visst är det bra med ett garage direkt under huset, det är vi ensamma om i Lund.  Varmt välkommen åter!  Vänliga hälsningar Christian Weste",Date of stay: November 2018,"[All, languages]",306
Hasina R,Dec 2018,3,Minisemester,"Superbra centralt läge med allt inom gångavstånd. Lite annorlunda att behöva betala vid incheckningen redan. Inte helt nöjd med standarden på rummet, hittade en levande insekt i badkaret och fläckar i handfatet. Och rummet var slitet.   Bra frukost däremot, lagom att välja på…","Response from Hotel_Lundia, Hotelldirektör at Hotel LundiaResponded Jan 3, 2019","Responded Jan 3, 2019","Hej Hasina och god fortsättning.  Tack för din recension, gläder mig att du tagit dig tiden. Däremot tråkigt att höra att vistelsen hade vissa besvikelser. Tar gärna emot ytterligare feedback så vi har möjlighet att följa upp noggrant.  Min personliga mailadress är christian.weste@lundia.se  Med vänliga hälsningar Christian Weste",Date of stay: December 2018,"[All, languages]",306
Ola H,Nov 2018,1,Not very good,"A one night stay that turned into a triple... the first, the last and only stay. Room with low ambience and in need of renovation. The window drapes where broken, an old style tv with less than ok picture, no air con and to top it of no way to regulate the heating in the room...…","Response from Hotel_Lundia, Hotelldirektör at Hotel LundiaResponded Nov 19, 2018","Responded Nov 19, 2018","Many thanks for your review.  I'm sorry to read that your stay with us didn't match your expectations.  I would very much like to follow up on which room you stayed in.   My apologies for the disturbances in the square, it is true that our location in the city centre means that there are lots of people passing by our hotel.   Unfortunately Hotel Lundia does not have air condition, still fairly rare among hotels here in Sweden.  Should you wish to get in touch with me you can do so at christian.weste@lundia.se.  Best regards Christian Weste",Date of stay: November 2018,"[All, languages]",306
Tina L,Oct 2018,5,Ett utmärkt hotell,"Det här hotellet har varit ett av de bästa hotellen jag bott på. Fint rum med många bekvämligheter - en superskön säng, mörkläggningsparsienn / gardin som verkligen gjorde det mörkt på rummet, TV, skrivbord, toa och dusch etc. Dessutom var det riktigt tyst på hotellrummet också…","Response from Hotel_Lundia, Hotelldirektör at Hotel LundiaResponded Nov 19, 2018","Responded Nov 19, 2018","Hej Tina  Ett stort tack för denna trevliga recension, gläder mig att vistelsen varit bra.  Vi är i färd med att planera för att skifte av tv-apparater, troligen kommer detta ske första kvartalet 2019!  Varmt välkommen åter vid nästa besök i Lund.  Vänliga hälsningar  Christian",Date of stay: October 2018,"[All, languages]",306
Sofia B,Oct 2018,3,"Helt ok, men inte 4-stjärnigt..","Helt ok, dock ej standarden du förväntar dig av ett 4-stjärnigt hotell. Dålig tv-bild, lite instängd doft på rummen, känns inte helt fräscht och rent. Rummens känns väldigt gamla och omoderna, bortsett från badrumsdelen. Frukosten är bra, och det centrala läget är väldigt bra!","Response from Hotel_Lundia, Hotelldirektör at Hotel LundiaResponded Nov 19, 2018","Responded Nov 19, 2018",Hej Sofia och tack för din recension.  Beklagar att upplevelsen inte blivit helt så som du förväntat dig. Vi renoverar hotellet kontinuerligt och jag är nyfiken på vilket rum du bott på under vistelsen.  Du är mer än välkommen att återkomma till mig på christian.weste@lundia.se.  Med vänliga hälsningar Christian,Date of stay: October 2018,"[All, languages]",306
Lee S,Oct 2018,5,A favorite place,"My wife and I return regularly to this nice hotel, and we are always happy to be there. Lovely staff, great reception, and a good bar downstairs presided over by Gabi. Only one thing - they have chosen a television package that is really awful. They ought to rethink that one…","Response from Hotel_Lundia, Hotelldirektör at Hotel LundiaResponded Nov 19, 2018","Responded Nov 19, 2018","Dear Lee  Many thanks for your review, I will make sure our dear colleague Gaby gets this also.  We are currently planning to change provider and also replacing the old tv-sets with new ones. Hopefully this will be completed during the first quarter of 2019.  Best regards  Christian",Date of stay: October 2018,"[All, languages]",306
Ole H,Oct 2018,5,Super beliggenhed,"Et dejligt sted, dejligt personale og rengøring i top, hertil en super morgenmads buffet, alt hvad hjertet begærer, simpelthen 😉 At det så ligger centralt i Lund og parkering er mulig lige under hotellet, til en rimelig pris gør det til et godt valg 👍🏻 Vi har været her før og…","Response from Hotel_Lundia, Hotelldirektör at Hotel LundiaResponded Oct 11, 2018","Responded Oct 11, 2018",Hej Ole  Det gläder oss väldigt mycket att ni har haft det gott hos oss och vi ser fram emot att få välkomna er tillbaka vid nästa tillfälle.  Vänliga hälsningar Christian,Date of stay: September 2018,"[All, languages]",306
Ginger726,Oct 2018,4,Perfekt läge i centrum,"Perfekt läge mitt i centrum, med gångavstånd till järnvägsstationen. Rummet var fint och fräscht. Madrassen var dessvärre ganska hård.  Frukostbuffén var riklig och varierad. Glutenfria alternativ på förfrågan.","Response from Hotel_Lundia, Hotelldirektör at Hotel LundiaResponded Oct 11, 2018","Responded Oct 11, 2018","Hej  Vad roligt att vistelsen hos oss blev bra, gläder oss väldigt.  Varmt välkommen åter vid nästa besök i Lund.  Med vänliga hälsningar Christian",Date of stay: September 2018,"[All, languages]",306
TanJoh,Oct 2018,4,Centralt,"Hotellet ligger mitt i centrum och det är bra parkeringsmöjligheter även utan hotellets hjälp. Rummen är lite slitna och frukosten är bara ok. Under min vistelse fylldes inte frukosten på, gästerna blev tvungna att säga till personalen att fylla på. Kan ju givetvis skilja från…","Response from Hotel_Lundia, Hotelldirektör at Hotel LundiaResponded Oct 11, 2018","Responded Oct 11, 2018","Hej och stort tack för recensionen, vi uppskattar att du tagit dig tiden.  Beklagar att vistelsen inte levde helt upp till förväntningarna, visst kan det ske vissa dagar med exceptionellt många gäster samtidigt att påfyllning behöver ske i frukosten. Gläder mig att höra att du hittade parkering på egen hand, om det inte hade varit möjligt att parkera i Q-parks garage direkt under hotellet och tack vare vårt samarbete kan man som hotellgäst köpa dygnsbiljetter i receptionen.  Hoppas att vi får möjligheten att hälsa dig välkommen igen vid nästa besök i Lund.  Vänliga hälsningar Christian",Date of stay: September 2018,"[All, languages]",306
mikejoxxx,Sep 2018,3,Centralt och bra,"Perfekt läge i stan och ett ok boende. Lite trist värmereglering krävde öppet fönster, trots att det du kunde vrida ner, var nedvridet. Störd sömn framåt morgonen blev konsekvensen. 90-tals touchen i rummen kändes inte helt ok, lockade dock fram ett leende. Tjock-TV ger dock…","Response from Hotel_Lundia, Hotelldirektör at Hotel LundiaResponded Sep 25, 2018","Responded Sep 25, 2018","Hej och stort tack för din recension och tiden du tagit dig!  Hotel Lundia har flera olika rumstyper och inredningsstilar, det ger en individualitet som vi är glada för att kunna erbjuda. Vi renoverar kontinuerligt och väljer oftast att arbeta våning för våning. Tveka aldrig att kontakta oss vid till exempel bokningstillfället, då har vi bästa möjligheten att tillgodose önskemål och hitta det rumsalternativ som passar in bäst. Håller helt med dig att tjock-tv inte ät tidsenligt och vi projekterar för att under första halvåret 2019 byta samtliga tv-appareter.  Varm välkommen åter vid nästa besök i Lund! Christian ",Date of stay: September 2018,"[All, languages]",306
