Susanne B,Dec 2018,3,”Bed & Breakfast”,"Lilla hotellet känns mer som ett litet B&B. Rummen spartanska men OK. Dock en icke fungerande tv och lite instabilt Wi-fi. Frukosten var mycket sparsam, där jag rycker man kan förvänta sig mer av  ett hotell i den prisklassen. Läget är dock utmärkt. ",,,,Date of stay: December 2018,"[All, languages]",57
Patrik Å,Aug 2018,4,Mysigt och centralt,"Mysigt ställe, centralt beläget i Lund. Rent, fint och med bra, personlig service. Hygglig frukost. Fungerar även bra som konferensställe. I vårt fall serverades då lunch på Ved, vilket var helt okej.",,,,Date of stay: April 2018,"[All, languages]",57
Mette M,Jul 2018,4,Hyggeligt hotel,God seng og puder. Hyggeligt værelse med svensk stemning (fint blomstret tapet) og dejligt badeværelse med stort badekar. Ligger godt placeret i forhold til kulturelle oplevelser i Lund. Sødt og hjælpsomt personale.,,,,Date of stay: July 2018,"[All, languages]",57
Leif Andersson,Jun 2018,4,Helt ok. ,"Mysigt ställe som har en väldigt trevlig atmosfär med trevligt bemötande av personal. Välstädat och personligt. Märkligt nog var det inte så många som sov över just denna dag. Tycker att det är ett prisvärt alternativ och nära till det mesta. Men, för en femma krävs en lite mer…",,,,Date of stay: June 2018,"[All, languages]",57
SallePapn,Jun 2018,4,Trevligt o centralt,"Trevligt hotell med bra service och personliga rum.  Tyvärr ingen riktig ventilation i rummet, så det var kvavt nattetid. Ville inte ha fönstret öppet då jag bodde på markplan.  Bra frukost och tillgång till lånecyklar. ",,,,Date of stay: June 2018,"[All, languages]",57
Anders B,Jun 2018,4,Mysigt!,Lilla Hotellet Lund är ett mysigt hotell i flera gamla byggnader. Helt och rent. Artig och trevlig personal. Ett bra mellanklass hotel med lite hemkänsla. Innergård med utmöbler. Gångavstånd till centrum.,,,,Date of stay: June 2018,"[All, languages]",57
TASweden,Jun 2018,2,Centralt läge men en del begränsningar.,"Bra centralt läge någon minuts promenad från Mårtenstorget. Hotellet charmigt från utsidan, men när i den del av hotellet som mitt rum låg kändes det som att det inte var färdigt. Rummet hade en tämligen spartansk inredning. Bra hotell för den som ska sova och läget är viktigt,…",,,,Date of stay: December 2017,"[All, languages]",57
PatrikSW,Jun 2018,5,Mysigt hotell centralt i Lund,"Ett mysigt hotell centralt i Lund, det består av många små byggnader och mitt rum hade egen ingång från innergården, där man kunde sitta och njuta av solen. Hotellet ligger centralt i Lund, bara något kvarter från Mårtenstorget. Personalen var trevlig, men verkade vara lite för…",,,,Date of stay: May 2018,"[All, languages]",57
Dimitris C,May 2018,4,Μικρό και φιλικό.,"Στο κέντρο της πολης,σε υποδέχεται  με χαμόγελο και ευγένεια το προσωπικό, πρόθυμο να σε εξυπηρετήσει.Δωματια καθαρά και φωτεινά. Πρωινό γευστικό. Τιμές ικανοποιητικές.Η τοποθεσια ειναι πολύ βολική,παρέχοντας πρόσβαση άμεση στα σημεία ενδιαφέροντος. Το συνιστώ.",,,,Date of stay: May 2018,"[All, languages]",57
Mippson,Feb 2018,4,Good value for money,Small but nice hotel. I arrived late and it was very convenient with a code instead of key to get in to the room. The room was small but enough for me. The breakfast selection was not the biggest but had all the usual things of a Swedish breakfast buffet. Pittoresque and…,,,,Date of stay: February 2018,"[All, languages]",57
Majk M,Jan 2018,4,Mysigt och perfekt läge,"Vi möttes av trevlig och hjälpsam personal, ett lagom stort och mysigt rum, mycket fräscht, god frukost. Det var nära och enkelt att hitta till allt vi behövde på resan och vi var i helhet mycket nöjda.",,,,Date of stay: January 2018,"[All, languages]",57
sophiagi,Dec 2017,4,Πολύ συμπαθητικό και βολικό!!!,Ένα πολύ συμπαθητικό κατάλυμα σε πολύ κεντρικό σημείο της πόλης και πολύ κοντά σε στάση λεωφορείων. Πρόκειται για ένα συγκρότημα μικρών παραδοσιακών σουηδικών κατοικιών που αναπτύσονται γύρω από μία εσωτερική αυλή. Είναι εξαιρετικά φροντισμένο και σύγχρονα ανακαινισμένο σε…,,,,Date of stay: June 2017,"[All, languages]",57
77jerita,Nov 2017,2,söndrig TV  damm bakom TV,"Trevligt fint uppehållsrum med gammaldags möbler och lampor, samt många böcker och tidningar. Bra sängar och stort rum med 2 fåtöljer och bord samt skrivbord. Bra med bilparkering på gården innanför låst grind. Välstädat utom bakom byrån där den söndriga TV stod. Sladdhärva som…",,,,Date of stay: October 2017,"[All, languages]",57
Håkan O,Nov 2017,4,Very nice!,"Big and clean room, well decorated and organized in the the center of Lund. The room was placed in quite area towards the backyard. It is a 10 minutes walk from Lund train station. This is good value for money.",,,,Date of stay: September 2017,"[All, languages]",57
Tobias V,Oct 2017,4,Prisvärt!,"Bodde två nätter i oktober 2017. Sköna sängar, bra wi-fi, bekväma rum. Tyst och centralt läge med trevlig frukostmatsal. Frukosten är inte jättestor men har allt man behöver. Trevligt och välstädat boende som rekommenderas!",,,,Date of stay: October 2017,"[All, languages]",57
matsnilserikande2017,Oct 2017,4,Great little place.,Great little place very central in the city of Lund. You have easy access to all the rest of town and other ”go sees”. Nice rooms and enough with space fort he weekend. Good coffe at breakfast and the rest of the morningbuffe will keep you going untill lunch. Friendly and…,,,,Date of stay: October 2017,"[All, languages]",57
Christian E,Oct 2017,5,Härligt ställe!,Trevligt litet hotell med det som behövs. Trevlig personal och smidigt förfarande i alla lägen. Centralt beläget vilket passade oss i alla fall. Lagom frukost och smidigt med möjlighet till parkering. Bra jobbat!,,,,Date of stay: October 2017,"[All, languages]",57
Lars-Erik S,Oct 2017,3,Trevligt litet hotell centralt i Lund,"Centralt beläget i pittoresk miljö, ordentliga rum dock smala sängar!  Iofs inget fel på madrasserna i sig! Hotellet i sig har en trevlig miljö! Frukosten förväntade vi oss mer av! Hade varit roligt och säkerligen uppskattat om man haft en högre ambitionsnivå!",,,,Date of stay: August 2017,"[All, languages]",57
Lottistausson,Jul 2017,5,Ett fantastiskt personligt smultronställe i hjärtat av Lund.,"Detta lilla stillsamma, ultrafräscha smultronställe är beläget ett litet stenkast från centrum. Här sitter du och avnjuter lugnet och fågelsången tillsammans med en kopp the (eller vad som faller andan in) på den kullerstensbelagda innergården där blommor och tomatplantor sjuder…",,,,Date of stay: July 2017,"[All, languages]",57
garca72,Jul 2017,4,Quiet and friendly,The place for you if you wish nothing fancy and prefer instead something cosier. The only thing I would like to see improved is the breakfast: the choice of food (all of good quality) is limited and does not change. It gets boring after a few days.,,,,Date of stay: July 2017,"[All, languages]",57
ChapmanCanberra,Dec 2016,4,Good 'little' hotel. All we needed,"I have given it  rating of 4. It doesn't pretend to be fancy, or style leader or special food. Clean friendly , good simple Swedish breakfast. The best thing is that it is only 40 minutes to Copenhagen by train. When we stayed the Copenhagen hotels were 4 times the price! So we…",,,,Date of stay: June 2016,"[All, languages]",57
Alberto U,Dec 2016,5,A dollhouse,"I needed a place to stay for one night and it was not so important where. I came to Lilla Hotellet late in the evening, slept five hours and ate my breakfast there. I will come back there for a longer visit. An old house, several houses together, old, beautiful, funny wallpaper.…",,,,Date of stay: November 2016,"[All, languages]",57
Patricia W,Oct 2016,4,Traditional and exceptionally well presented ,"Lovely little hotel in the centre of the city just a walk away from all local amenities ,bars and restaurants. The room was clean and sitting room a nice place to relax. Traditional Swedish breakfast was perfect.",,,,Date of stay: October 2016,"[All, languages]",57
Lou924,Oct 2016,4,Trevligt litet hotell,"Trevligt, mycket centralt beläget litet hotell med vackra miljöer. Rummet var sött och bekvämt, ingen lyx men rent och prydligt. Frukostmatsalen var trevlig att sitta i, men utbudet var kanske lite fattigt. Kan trots det tveklöst tänka mig att bo på Lilla Hotellet om jag besöker…",,,,Date of stay: November 2015,"[All, languages]",57
1astrakan,Sep 2016,5,En pärla i Lund,"Mycket mysigt boende med stor variation mellan rummen. Bodde i ett rum som kändes en etta med egen ingång, mycket mysigt och inbjudande. Trevlig personal och sparsam men god frukostbuffé med bryggt te och kaffe.  Rent och fint med känsla för trevliga detaljer i inredningen. Ett…",,,,Date of stay: October 2015,"[All, languages]",57
CamillaK1,Apr 2016,4,Mysigt och centralt,"Lilla hotellet är ett litet och mysigt hotell som skiljer sig från de vanliga hotellkedjorna. Mycket centralt beläget i Lund med lagom stora rum, bekväma sängar och precis det du behöver för ett par övernattningar.  Frukosten är kanske inte överväldigande riklig, men fräsch och…",,,,Date of stay: April 2016,"[All, languages]",57
Dr Galia,Mar 2016,4,"Nice, clean, simple, well located","This small hotel is clean, neat, simple and pleasant. Rooms are equipped with what one needs... Not a bit more...:) Breakfast is rich in variety: juice, coffe/ tea, yogurt, fresh fruits, fresh veg. Cold cuts of meat, yellow cheese , good bread and boiled eggs. All is self…",,,,Date of stay: March 2016,"[All, languages]",57
ffeverywhere,Dec 2015,4,The small hotel,"Lilla Hotellet literally meaning 'small hotel' is indeed one. Situated close to the central square and many attractions such as Lund cathedral, central park etc this hotel provides a ideal place to crash for night. It is slightly interior to the square and relatively less noisy…",,,,Date of stay: December 2015,"[All, languages]",57
Helena,Oct 2015,2,Basic,Has the potential to be really cozy. Interior inspired from 1800th century Gustavian style. The receptionist was quite reserved on my arrival and didn't offer to help with my bag. Rooms are across a small courtyard that could be charming but serves as a parking lot. The floor of…,,,,Date of stay: October 2015,"[All, languages]",57
heluanda,Sep 2015,4,gradevole,"Posizione centrale ottimo per visitare Lund e vicino alla stazione. Offre solo la colazione, personale gentile e poliglotta. Stanze confortevoli con wifi. ampio spazio interno per parcheggiare le auto.",,,,Date of stay: June 2015,"[All, languages]",57
Camilla N,Aug 2015,5,Mysigt!,"Detta är ett hotell utöver det vanliga! Det ligger i en ""skånelänga"" och är mycket fräscht och fint inrett. Vi hade en liten uteplats utanför hotellrummet vilket var mycket trevligt. Personalen var mycket trevlig och tillmötesgående. Frukosten bra och sköna sängar.  Hotellet…",,,,Date of stay: July 2015,"[All, languages]",57
Radvaeringen,Jul 2015,5,This will be my hotel in Lubnd when I come back,"Centrally located in the charming town of Lund, this is an ideal place to stay if you like us come by car. Safe parking place in the courtyard. Service was friendly and helpful. The room was good and the breakfast contained eveything that we could think of.",,,,Date of stay: July 2015,"[All, languages]",57
rené F,Jul 2015,4,Schnuckeliges Hotel,"Tolles Hotel. Umgewandelt von einem Relais, später Automobilwerkstatt und Reifenhandel bzw. Vulkanisieranstalt. Sehr liebevoll restauriert und auf modernsten Komfort gebracht, am Rande der Innenstadt, drei Minuten vom  Marktplatz und indoor Markthalle mit vielen erstklassigen…",,,,Date of stay: July 2015,"[All, languages]",57
anpe20,Jun 2015,3,Mysigt och lugnt,"Det var ett rätt mysigt men enkelt hotell. Det som var riktigt bra var en alldeles lagom frukost och trevlig personal, träffade förvisso bara en i personalen men hon var trevlig. När vi kom fram på kvällen hade vi meddelat sen ankomst och vi fick koder m.m. Men eftersom ingen i…",,,,Date of stay: June 2015,"[All, languages]",57
Anna M,May 2015,3,Charming hotel in the centre of Lund,Small hotel located in the centre of Lund with nice surroundings. My rooms was located in an old building with charming and romantic interior design. The bed was perfect and the room was neat and clean. Overall friendly staff. The breakfast was a great disappointment though. Dry…,,,,Date of stay: May 2015,"[All, languages]",57
NicklasNavin,May 2015,4,On a business trip? Then maybe not ideal...,"Firstly, what everyone has  said is true. It is truly a beutiful, cute, traditional old fashion inn/hotel, AND centrally located.  I say without doubts that this would be my place of choice to stay when I return to Lund for leisure.  However, on a business trip and arriving…",,,,Date of stay: May 2015,"[All, languages]",57
