Rachel W,Jan 2019,5,Great hotel,"The More Hotel was just perfect. Although a 15 min walk from the train station, it was close to the centre and in a quiet location. Reception staff were friendly and helpful. The room was a really good size for 3 adults, with the bonus of the kitchen area. Beds were very comfy…","Response from AnnaW8238, Receptionschef at The More Hotel LundResponded Jan 5, 2019","Responded Jan 5, 2019",Thanks for your nice review about us! Hope to see you again  ,Date of stay: January 2019,"[All, languages]",140
Birgitta P,Dec 2018,2,Bokad servering i vinkällarlokalen,"Helt ovan (kanske börjat igår?) serveringspersonal, som skulle ""serva"" vårt stora sällskap, tog alltför lång tid!  Inte prisvärt utan allför dyrt 200:-/person m 4 olika smakportioner fanns inte kött på något av faten? En flaska öl a' 85 kr inte prisvärd! Någon i sällskapet bad…",,,,Date of stay: December 2018,"[All, languages]",140
Marie R,Oct 2018,3,"Ok, hotell men inte mer","Bodde på hotellet två nätter i ett studio delux rum med pentry, separat sovrum och ett vardagsrum/kök med matbord och bäddsoffa. Rummet var sparsamt inrett och gav ett kalt och ej ombonat intryck. Rummet saknade fönster att se ut ifrån (takfönster fanns dock vilket gav lite…","Response from AnnaW8238, Receptionschef at The More Hotel LundResponded Nov 5, 2018","Responded Nov 5, 2018",Tack för Er recension om oss! Beklagar att ni inte var nöjda med helheten av deluxrummet. Vi tar till oss kritiken och ska göra allt vi kan för att få detta rummet att känns mer mysigt. Vi har många fina rumskategorier på hotellet som är inredda i varmare toner. Hoppas verkligen att ni återvänder till Lund  ,Date of stay: October 2018,"[All, languages]",140
anma774,Oct 2018,5,Familjevänligt,Stora moderna rum med pentry. Mycket familjevänligt. Mycket vänliga bemötanden både i reception och i restaurangen. Bra frukost. Gångavstånd till centrum. Utmärkt och modernt och snyggt. Lätt att parkera. ,"Response from AnnaW8238, Receptionschef at The More Hotel LundResponded Nov 5, 2018","Responded Nov 5, 2018",Tack för Er fina recension om oss!  Hoppas att vi ses igen ,Date of stay: September 2018,"[All, languages]",140
MARIANNA P,Sep 2018,4,Bra val! ,"Fina lokaler. Rymliga rum, rent. Tyst och lugn. Snabb Wi-Fi. God frukost med färska frukt. Nära till busshållplatsen. Det finns enstaka bord ute där man kan sitta och njuta av solen. Nära till ett antal restauranger. ","Response from Anna W, Receptionschef at The More Hotel LundResponded Sep 4, 2018","Responded Sep 4, 2018",Tack för Er fina recension om oss!  Kul att ni trivdes bra hos oss och välkomna tillbaka  ,Date of stay: September 2018,"[All, languages]",140
jec84,Sep 2018,4,really nice hotel!,"This is a very comfortable and lovely hotel. The breakfast buffet was great, though throughout sweden we were disappointed by the hotel coffee. ( there are, however,  great coffee shops in most cities  that had delicious coffee.)    this hotel is not in the center of town but it…",,,,Date of stay: July 2018,"[All, languages]",140
Penntrollet,Aug 2018,5,Tipptopp!,"Ett lägenhetshotell av klass! Möts direkt av trevlig och tillmötesgående personal vid incheckning. Rolig lösning på hotell med rymliga rum. De rum jag besökt har haft både dubbelsäng och bäddsoffa, kokvrå med kylskåp, badrum och litet köksbord!  Mycket god frukost med precis…","Response from Anna W, Receptionschef at The More Hotel LundResponded Aug 21, 2018","Responded Aug 21, 2018","Tack för Er fina recension om oss! Trevligt att ni gillade våra stora rum, tanke är att man ska känna sig som hemma fast man är borta. Ska undersöka Wifi- problemet som du hade och försöka åtgärda detta. Vi får vara tacksamma för det fina vädret och njuta av den fantastiska sommar som vi har, trots att det blir varmt inomhus. ",Date of stay: August 2018,"[All, languages]",140
Lars U,Aug 2018,3,Charmerende hotel udenfor centrum,"The More Hotel byder på en moderne og smagfuld ramme omkring et ophold i Lund. Vi opgraderede til en superior lejlighed for at få en queensize seng. Desværre viste det sig, at vores forespørgsel på dobbeltseng ikke var gået igennem (reservation via booking-d-o-t-com). Personalet…",,,,Date of stay: August 2018,"[All, languages]",140
Christine B,Aug 2018,3,Very hot in room. No air con,"Even though trip advisor says there is air con in this hotel, there was no air con in our room, and one tiny window to ventilate a large room. It was very difficult to sleep in the warm weather. Maybe some rooms have air con?","Response from Anna W, Receptionschef at The More Hotel LundResponded Aug 13, 2018","Responded Aug 13, 2018","Thanks for your review about us! We have some rooms with A/C and we will try to arrange A/C in more rooms for next year. We must be grateful for the nice weather and enjoy the amazing summer we have, despite being hot indoors.  ",Date of stay: August 2018,"[All, languages]",140
senormatador,Aug 2018,4,Hotel with a nice character!,"The hotel is perfectly located in Lund, also not far from Malmö (Sweden’s 2nd largest city).  The hotel has a nice design with beautiful brick that gives it a lot of character. The rooms are apartment-style with a sofa and small kitchenette.  The bed was comfortable and the…","Response from Anna W, Receptionschef at The More Hotel LundResponded Aug 14, 2018","Responded Aug 14, 2018",Thanks for your nice review about us! Hope to see you back,Date of stay: August 2018,"[All, languages]",140
NNos,Jul 2018,5,Favorit i Lund,Prisvärt och fräscht. Luftkonditionering bra nu när det är varmt. Trevligt sitta ute och ta en drink - testa deras egna snacks gjort på gris. Vänlig personal och mycket god frukost. Bott här många gånger- alltid nöjd!,"Response from Anna W, Receptionschef at The More Hotel LundResponded Aug 14, 2018","Responded Aug 14, 2018",Tack för Er fina recension om oss! Trevligt att du provade vår restaurang Matrummet,Date of stay: July 2018,"[All, languages]",140
Jouni S,Jul 2018,4,Hyvä hotelli,"Respa meni kiinni klo 20, tämä tuli yllätyksenä. Hotellissa ei ollut baaria, mikä on hyvä huomioida, kun keskustaan on reilu kilometri. Hotelli on erittäin tyylikäs, huone oli tilava ja siinä oli täydellinen keittiö. Aamiainen olu erittäin runsas ja monipuolinen. Kokonaisuutena…","Response from Anna W, Receptionschef at The More Hotel LundResponded Jul 11, 2018","Responded Jul 11, 2018",Thanks for your nice review about us!  We have a restaurant in the hotel and it is open Tuesday until Saturday. The city center is only 10 minutes walk from the hotel. Hope to see you again.  ,Date of stay: July 2018,"[All, languages]",140
May M,Jun 2018,4,God standard og topp beliggenhet !,"Vi var tre venner som delte hotellrom i to netter. Perfekt opphold, og veldig fint med busstopp likeved. Rommet var rent og praktisk med et kjøkken med alt det nødvendige. Sengene var også supre! Uteområdet virket utrolig hyggelig selvom vi ikke fikk tid til å teste ut maten på…","Response from Anna W, Receptionschef at The More Hotel LundResponded Jun 28, 2018","Responded Jun 28, 2018",Tack för Er fina recension om oss!  Hoppas ni har möjlighet att komma tillbaka och även uppleva vår trevliga restaurang Matrummet ,Date of stay: June 2018,"[All, languages]",140
elisabic,May 2018,4,Kind hotel,"I found the hotel really clean, comfortable and quiet. It’s a nice building not too far from the center. The rooms are more studios than just a bedroom. The personnel is very kind and helpful. The breakfast is really aboundant and good. ","Response from Anna W, Receptionschef at The More Hotel LundResponded Jun 7, 2018","Responded Jun 7, 2018",Thanks for your nice review about us!  So nice words about our hotel and staff. We hope to see you again. ,Date of stay: May 2018,"[All, languages]",140
ulrikkarlsson,May 2018,4,Vi gillar hotellet,"Ett mysigt och prisvärt hotell. Ligger centralt i Lund. Något dyr mat men god, lite begränsad barn meny Rummen är fantastiska, sköna sängar Bra att det finns ett kök med både kaffe kokare o diskmaskin","Response from Anna W, Receptionschef at The More Hotel LundResponded May 22, 2018","Responded May 22, 2018","Tack för Er fina recension om oss!  Under sommaren serverar vår restaurang Matrummet härliga pizzor från vår Vedugn ute på terrassen, varm välkomna då  ",Date of stay: May 2018,"[All, languages]",140
