Lauren C,Dec 2018,5,Very comfortable,"Comfortable, spacious, convient, well thought-out, clear expectations, clear communication, quick replies to questions. Amazing location, beautiful surroundings and close to Lund C. Nice bathrooms and showers, spacious and open kitchen, two modern refrigerators. Lots of comfy…",,,,Date of stay: December 2018,"[All, languages]",145
allvis,Dec 2018,4,Här övernattar man förmånligt i Lund,"Här övernattar man förmånligt i Lund om man är på genomresa i Lund. Några minuters promenad från järnvägsstationen. Praktiskt, välordnat, städat och lugnt men samtidigt opersonligt. Obemannad incheckning.",,,,Date of stay: December 2018,"[All, languages]",145
huy cuong t,Oct 2018,5,Great hostel,"Perfect location, very close to the central train station. Also close to restaurants, supermarkets and easy to walk around the city. Cozy, clean, quite and well-organized. Highly recommended to travelers.",,,,Date of stay: October 2018,"[All, languages]",145
natalia p,Oct 2018,5,Comfortable and clean,If you are looking for some comfort and privacy in a hostel world this is a right place to stay. A very welcoming and friendly atmosphere is created by the people working there and the overall vibrancy of Lund.,,,,Date of stay: October 2018,"[All, languages]",145
Maryefuller,Sep 2018,4,"Great location, clean, nice accomodation","This is a very good hostel. The common areas, bathrooms and kitchen were all very clean. The beds have a nice curtain, making it very cozy and a private. It's a bit pricey - but so is everything in Sweden. Wi-Fi was reliable. The location is great, near the train station, the…",,,,Date of stay: September 2018,"[All, languages]",145
mhede m,Sep 2018,5,Bra plats,"Bra och lugn plats hoppas att jag kan komma till baka där , jag träffade inte personaler eftersom jag kom till sent men allting var regelbundet . Om man vill koppla av rekommenderar jag ens att boka där",,,,Date of stay: September 2018,"[All, languages]",145
HellyWelly93,Aug 2018,4,Great location,"This hostel was really close to the train station. I found it really easy, and had been provided with codes in advance of my stay. The beds are in small pods which gives the feeling of your own space. There was also a locker. The bathroom was located just off the room – there…",,,,Date of stay: August 2018,"[All, languages]",145
Niklas G,Aug 2018,2,Dyrt,"Detta är ett vandrarhem. Det är rent och fräscht och så, centralt och bra, men hur i hela friden kan det vara så dyrt? Det är inte någon vidare vacker miljö att vistas i och personal finns inte. Hur kan detta kosta bara 200 kronor mindre än ett dubbelrum med frukost på ett…",,,,Date of stay: August 2018,"[All, languages]",145
Kanako M,Aug 2018,5,コスパの良いホステルです。,ホテル代金の高い北欧。私は、旅の予算を節約するため、いろいろなユースホステルを利用しています。このWinstrup Hostelはとてもおススメです。  　まず、駅近。駅から歩いて３分もしません。近くにセブンイレブンやカフェがあります。さらに、街の中心まで歩いて3分ほど。  　さらに、清潔です。私が泊まった日は、宿泊客が少なかったせいでしょうか、トイレやシャワーが清潔でした。ベットのシーツも敷いてあるので、自分で作業する必要はありません。宿泊客が使えるキッチンと洗濯機もあります。 …,,,,Date of stay: August 2018,"[All, languages]",145
Thierry G,Jun 2018,3,Strategic location but a bit pricey...,"Sweden can be an expensive country, but I thought Winstrup was a bit expensive for a bed in a room with three other people. However the beds are nicely built so as to allow a maximum of privacy. The shower cabin was quite comfortable. The employees were very helpful when I asked…",,,,Date of stay: May 2018,"[All, languages]",145
