Lund Cathedral,/Attraction_Review-g189838-d319367-Reviews-Lund_Cathedral-Lund_Skane_County.html,1009,4.5,,Kyrkogatan 6,,LocalBusiness
Botanical Gardens (Botaniska Tradgarden),/Attraction_Review-g189838-d319374-Reviews-Botanical_Gardens_Botaniska_Tradgarden-Lund_Skane_County.html,503,4.5,,20 Oestra Vallgatan,223 61,LocalBusiness
Kulturen in Lund - Museum of Cultural History and Open-Air Museum,/Attraction_Review-g189838-d267409-Reviews-Kulturen_in_Lund_Museum_of_Cultural_History_and_Open_Air_Museum-Lund_Skane_County.html,325,4.5,,Tegnersplatsen,223 50,LocalBusiness
Skrylle Nature reserve,/Attraction_Review-g189838-d10134259-Reviews-Skrylle_Nature_reserve-Lund_Skane_County.html,75,4.5,,161 Hardeberga,247 91,LocalBusiness
Skissernas Museum – Museum of Artistic Process and Public Art,/Attraction_Review-g189838-d4743755-Reviews-Skissernas_Museum_Museum_of_Artistic_Process_and_Public_Art-Lund_Skane_County.html,76,4.5,,Finngatan 2,223 62,LocalBusiness
Stadsparken,/Attraction_Review-g189838-d8126652-Reviews-Stadsparken-Lund_Skane_County.html,141,4.5,,Svanegatan,222 29,LocalBusiness
Lund University Main Building,/Attraction_Review-g189838-d9750031-Reviews-Lund_University_Main_Building-Lund_Skane_County.html,55,4.5,,2 Paradisgatan,223 50,LocalBusiness
"All Saints Church, Lund",/Attraction_Review-g189838-d735398-Reviews-All_Saints_Church_Lund-Lund_Skane_County.html,66,4.5,,34 Bredgatan,222 21,LocalBusiness
Jakriborg,/Attraction_Review-g189838-d1889146-Reviews-Jakriborg-Lund_Skane_County.html,88,3.5,,Hjarup,24565,LocalBusiness
The Museum of Life,/Attraction_Review-g189838-d9984402-Reviews-The_Museum_of_Life-Lund_Skane_County.html,15,4.5,,7 Lasarettsgatan,222 41,LocalBusiness
Lundagard Park,/Attraction_Review-g189838-d10055631-Reviews-Lundagard_Park-Lund_Skane_County.html,30,4.5,,1 Brotorget,222 37,LocalBusiness
Lund University Historical Museum (Historiska Museet),/Attraction_Review-g189838-d319381-Reviews-Lund_University_Historical_Museum_Historiska_Museet-Lund_Skane_County.html,66,4.0,,1 Kraftstorg,223 50,LocalBusiness
