name,url,review count,aggregating rating value,price range,address,postcode,category
Gastro Gaspari,/Restaurant_Review-g189838-d9457240-Reviews-Gastro_Gaspari-Lund_Skane_County.html,34,4.5,$$ - $$$,1776 Flyinge Kungsgard Flyinge,247 93,FoodEstablishment
Restaurang La Cucina,/Restaurant_Review-g189838-d10195575-Reviews-Restaurang_La_Cucina-Lund_Skane_County.html,480,4.5,$$ - $$$,8 Hantverksgatan,227 36,FoodEstablishment
Mat &amp; Destillat,/Restaurant_Review-g189838-d3139458-Reviews-Mat_Destillat-Lund_Skane_County.html,594,4.5,$$$$,17 Kyrkogatan Box 1579,222 22,FoodEstablishment
Ihsiri,/Restaurant_Review-g189838-d7384359-Reviews-Ihsiri-Lund_Skane_County.html,420,4.5,$$ - $$$,14 Bytaregatan,222 21,FoodEstablishment
Creperiet i Lund,/Restaurant_Review-g189838-d6981566-Reviews-Creperiet_i_Lund-Lund_Skane_County.html,513,4.5,$$ - $$$,14C Klostergatan,222 22,FoodEstablishment
Gattostretto,/Restaurant_Review-g189838-d941772-Reviews-Gattostretto-Lund_Skane_County.html,278,4.5,$$ - $$$,6 Kattesund,222 23,FoodEstablishment
Matrummet,/Restaurant_Review-g189838-d3942974-Reviews-Matrummet-Lund_Skane_County.html,106,4.5,$$$$,Kastanjegatan 18,223 59,FoodEstablishment
Klostergatans vin och delikatess,/Restaurant_Review-g189838-d780405-Reviews-Klostergatans_vin_och_delikatess-Lund_Skane_County.html,365,4.5,$$$$,3 Klostergatan,222 22,FoodEstablishment
Matsalen - Grand Hotel Lund,/Restaurant_Review-g189838-d7195560-Reviews-Matsalen_Grand_Hotel_Lund-Lund_Skane_County.html,577,4.0,$$$$,1 Bantorget,222 29,FoodEstablishment
Mediterranean,/Restaurant_Review-g189838-d1023140-Reviews-Mediterranean-Lund_Skane_County.html,212,4.0,$$ - $$$,2B Groenegatan,222 24,FoodEstablishment
Ra Epok,/Restaurant_Review-g189838-d2388076-Reviews-Ra_Epok-Lund_Skane_County.html,141,4.0,$$ - $$$,7 Klostergatan,222 22,FoodEstablishment
Restaurant Pa Skissernas,/Restaurant_Review-g189838-d12097252-Reviews-Restaurant_Pa_Skissernas-Lund_Skane_County.html,86,4.5,$$ - $$$,Finngatan 2 Skissernas Museum,223 62,FoodEstablishment
M.E.A.T.,/Restaurant_Review-g189838-d3194502-Reviews-M_E_A_T-Lund_Skane_County.html,419,4.0,$$ - $$$,Kattesund,222 23,FoodEstablishment
Aiko Sushi,/Restaurant_Review-g189838-d11875773-Reviews-Aiko_Sushi-Lund_Skane_County.html,79,4.5,$$ - $$$,Stora Sodergatan 20,222 23,FoodEstablishment
Rosegarden Lund,/Restaurant_Review-g189838-d7339811-Reviews-Rosegarden_Lund-Lund_Skane_County.html,185,4.0,$$ - $$$,Martenstorget,223 51,FoodEstablishment
Malmstens fisk,/Restaurant_Review-g189838-d2695650-Reviews-Malmstens_fisk-Lund_Skane_County.html,119,4.5,$$ - $$$,Martenstorget Saluhallen,211 18,FoodEstablishment
Gambrinus,/Restaurant_Review-g189838-d10325722-Reviews-Gambrinus-Lund_Skane_County.html,135,4.0,$$$$,Bantorget 1,221 04,FoodEstablishment
Hjulet Mat &amp; Vin,/Restaurant_Review-g189838-d8844771-Reviews-Hjulet_Mat_Vin-Lund_Skane_County.html,85,4.0,$$ - $$$,Ostra Martensgatan 6,223 61,FoodEstablishment
Restaurang VED,/Restaurant_Review-g189838-d6938337-Reviews-Restaurang_VED-Lund_Skane_County.html,352,3.5,$$ - $$$,Martenstorget 3,223 51,FoodEstablishment
