[English],9,357,107,3,"October 27, 2018 ",Great place to bring children,"Lund, Sweden","Great place to bring children, educational and interesting. However, many instructions and info were only in Swedish"
[English],9,305,64,4,"September 26, 2018 ",Great place to take children,"Diani Beach, Kenya","An informative hands on museum with many things for young children to see and do.  Well maintained, educational and interseting."
[English],9,5,8,3,"January 16, 2017 ",Semi interesting family outing,"Rubavu, Rwanda ","We went to Vattenhallen with our boys, aged 8 and 10, and apart from Skånetrafiken (local bus service) utterly letting us down, when we finally arrived the boys had a fun time for about ten minutes... lots of the experiments weren't working (either access was...More"
[English],9,181,24,5,"September 17, 2016 ","Went back for the yearly visit at the ""cultural night""","Lund, Sweden",Vattenhallen is just a great GREAT institution. It is run by students who largely work for free and is a fantastic place to visit with your family and kids. But it actually also works well as a kick of for a school class. All in...More
[English],9,19,1,4,"August 3, 2016 ",Kids-fun on a rainy day!,"Lund, Sweden","I have two boys and the had a good time but only for about +/-2 hours. Fun experiments. And some not so fun.....
Much to learn and wonder about. Swedish only - not so good for tourists unfortunately."
[English],9,239,82,3,"February 28, 2016 ",Educative and interesting,"Jaipur, India",Lund is known for its very old university. Its Vattenhallen science centre in LTH building is very popular among locals specially the kids. They have science exhibits and a MRI scan machine to try and learn about. You learn quite a bit if you visit...More
[English],9,181,24,5,"February 15, 2016 ",Great outing for families,"Lund, Sweden",This is a really special place at the LTH facility of Lund University. Basically it is in place to help motivate younger children to take an interest in science. Students from the university work there and give shorter shows and lectures on different parts of...More
[English],9,256,144,2,"August 22, 2015 ",Swedish only,"Busseau-sur-Creuse, France",Very small exhibition with a few experiments. Maybe interesting for older kids (10+). All descriptions and instructions in Swedish only.
[English],9,31,21,4,"March 30, 2015 ",Surprisingly fun,"Lund, Skåne Län, Sweden","Went here a bit hesitant as a part of a birthday-celebration. Ended up having a really good time! The place is full of interesting information and fun little experiments to do, for all ages! Even the science-show was great even for an adult like me!...More"
[Swedish],16,276,48,4,"December 30, 2018 ",Besök med barnbarn,"Laholm, Sweden","Det var ett överraskande besök. Utan någon förutfattad mening, blev jag ganska imponerad av vad de ställde upp. Vi fick...More"
[Swedish],16,15,3,2,"February 25, 2018 ",Sådär,"Orkelljunga Municipality, Sweden","Var där med tre stycken barn(11,12,13) de gav Vattenhallen ettor i betyg. Flera av experimenten fungerade inte, eller fungerade bara...More"
[Swedish],16,81,7,5,"September 13, 2017 ",Trevligt för alla åldrar,"Lund, Sweden","Jättekul ställe att besöka! Speciellt för nyfikna barn. Lärorikt och kul, kan ju inte bli bättre. 
Kan vara något svårt...More"
[Swedish],16,35,7,5,"April 22, 2017 ",Kunskap  föder nyfikenhet!,"Skane County, Sweden",Ett intressant studiebesök i Vattenhallen i Lund som blev mycket bättre än jag trodde det skulle bli! Många roliga och...More
[Swedish],16,18,6,4,"February 23, 2017 ",Experiment,"Motala, Östergötlands Län, Sweden","Trevligt ställe att besöka med barn. Studenterna bjuder på fina upplevelser och  våra barnbarn 4,6,8 gillade alla experiment som de...More"
[Swedish],16,24,2,4,"August 8, 2016 ",Roligt besök för både små och vuxna,,"Härligt besök för både mig som vuxen och för mina barn som snart är tonåringar.
Tyvärr missade vi föreställningen, men...More"
[Swedish],16,20,4,5,"September 6, 2015 ",Roligt för stor som liten,"Lund, Sweden",Här är det kul för både liten som stor. Ett litet ställe där barnen kan få ta ut svängarna. Köp...More
[Swedish],16,11,1,4,"July 9, 2015 ",Fantastiskt roligt,"Lund, Sweden","Ett fantastiskt ställe som erbjuder mycket för vetenskapsintresserade. Många roliga experiment.
Enda minuset är att det är ganska litet."
[Swedish],16,45,29,4,"June 23, 2015 ",Avsätt ett par timmar för små och stora tekniknördar,Sweden,"Informativt, lärorikt och hjälpsam personal. Besökarna kan testa många saker själva. Stället är litet vilket om man jämför med t...More"
[Swedish],16,35,15,5,"June 13, 2015 ",Besök med tioårig tjej!,"Lund, Sweden","Lärorikt & spännande för både barn & vuxna. Experimentera med alla sinnen, testa på titthålsoperation, genomgå en MR & se...More"
"[Chinese, (Sim.)]",1,,,3,"March 19, 2013 ",科学中心,,LTH是隆德大学工学院的意思，这里是工学...More
[Norwegian],1,15,1,4,"July 28, 2018 ",Kjekt museum for et par timer,"Egersund, Norway",Kjekt vitenmuseum for barn med aktiviteter med ulik vanskelighetsgrad. Vi var der i ca. 2 timer. En flott plass for...More
[Portuguese],1,128,32,5,"June 10, 2017 ",Muito enriquecedor,"Kojimachi, Japan","É um óptimo local para vermos ciência ao vivo.
É de louvar o que está a ser feito neste local....More"
[Russian],1,193,72,5,"October 14, 2016 ",Неважно как но важно знать почему.,"Tashkent, Uzbekistan",Наука всегда впечатляет во всех своих проявлениях. Достижения и особенно иллюстрация научных достижений навсегда остались в памяти.
