"[Chinese, (Sim.)]",1,6,,4,"January 21, 2018 ",味道还不错，服务好。,,瑞典菜式，感受总的来说很不错。酒吧装修风...More
[Danish],12,373,171.0,5,"April 27, 2017 ",God lunch og hjælpsom betjening,"Taastrup, Denmark","Vi besøgte stedet en hverdag på en endagstur til Lund og fik fuld værdi for pengene til vores frokost.

Lunch...More"
[Danish],12,43,12.0,4,"December 10, 2015 ",Lækre pizzaer!,"Nyborg, Denmark","Der var travlt torsdag aften og det var indimellem lidt svært at fange en tjener, men menukortet var enkelt og...More"
[Danish],12,8,5.0,4,"December 8, 2016 ",Super pizzaer,,Vi var 6 personer der fik super gode pizzaer. Eneste kritikpunkt var betjeningen der virkede lidt ustruktureret i deres tilgang...More
[Danish],12,33,4.0,4,"July 14, 2016 ",Gode råvarer og god betjening,"Gentofte Municipality, Denmark","Rigtig gode pizza og pasta . Gode råvarer, øl og meget venlig og hurtig betjening. Ligger godt med udsigt ud...More"
[Danish],12,2,,5,"July 30, 2017 ",God mad og sød betjening,,Vi spiste her 2 gange under vores ellers korte besøg i Lund. Begge gange med super betjening og god mad...More
[Danish],12,308,79.0,5,"March 20, 2015 ",Hyggelig atmosfære og rigtig god mad,"Bramming, Denmark","Vi var på restauranten på en blæsende og kold aften, hvilket ikke gjorde det mindre hyggeligt at sidde i denne...More"
[Danish],12,12,22.0,5,"March 22, 2015 ",Super hyggeligt sted og fantastisk mad,"Amagerbro, Staden Kobenhavn, Denmark","Super hyggelig lille restaurant, gemt lidt væk fra gågaden så man lægger ikke så meget mærke til den. Hyggelig atmosfære,...More"
[Danish],12,4,5.0,5,"October 15, 2016 ",Skal prøves,"Roskilde, Denmark",Her får du god mad og super service. Var overrasket over hvor god maden var og at det ikke kostede...More
[Danish],12,29,1.0,4,"October 16, 2016 ",Skønt pizzaria!,"Copenhagen, Denmark","Dejlige pizza og hyggelig atmosfære. Vi prøvede også wallenbergerne, som var utroligt gode. Sød og opmærksom betjening"
[Danish],12,14,1.0,5,"October 21, 2017 ",Lækre tapasretter,"Soborg, Denmark","Vi fik nogle blandede tapasretter med laks, charcutteri, and og ost. Alt var meget lækkert og prisen var absolut fornuftig....More"
[Danish],12,14,13.0,5,"October 23, 2018 ",God stemning og god mad,"Hjorring, Denmark",Tapasretter (mellemretter) og gode pizza! Fin pris og god betjening! (Både på dansk/svensk/engelsk) Deres øl menu består af en masse...More
[Danish],12,436,161.0,4,"September 27, 2017 ","Dejlig mad, god betjening og god pris","Copenhagen, Denmark",Restauranten var velbesøgt ved 13'tiden. Dagens tilbud passede såvel smagsløg som pengepung. Venlig betjening. Pænt store portioner. At vin/øl er...More
[Dutch],6,15,,4,"August 1, 2016 ",Vlot en lekker !,,"Vriendelijke én vlotte bediening. Als je niet gereserveerd hebt, vertrek tijdig. Het eten zelf was heel lekker en tegen een...More"
[Dutch],6,5,,5,"August 1, 2017 ","Mooi pand, heerlijke pizza's","Rotterdam, The Netherlands",Ved is een mooi restaurant in een oud gebouw. Het is donker ingericht en heeft daardoor een aparte sfeer (NY...More
[Dutch],6,2,1.0,5,"August 19, 2016 ",Heerlijke pizza,"Amersfoort, The Netherlands","Heerlijke pizza gegeten op het terras. Er staan geen kindergerechten op het menu, maar onze kinderen mochten een hoofdgerecht delen....More"
[Dutch],6,37,15.0,4,"July 31, 2017 ",Lekker gegeten,,De pizza's zijn rijkelijk belegd en smaken goed. De vleesgerechten komen in bescheiden porties (zoals vermeld 2a3 pp voor een...More
[Dutch],6,202,57.0,4,"June 23, 2018 ",Perfect voor een lunch,"Bunschoten, The Netherlands","Heerlijke traditioneel Ceasars Salad, hele maal perfect gemaakt. Smaakt heerlijk. Grvad laks is ook prima. Lekker wijntje er bij, Top!"
[Dutch],6,202,57.0,4,"November 15, 2017 ","Lekker eten, heel betaalbaar","Bunschoten, The Netherlands","Prima plek voor diner. Leuke inrichting, mooie kaart. Pizza's zijn overigens uitstekend.Risotto was uitstekend!, antipasti was ook zeer aan te...More"
[English],94,2,,1,1 week ago ,Nasty waiter playing Boss,,"Very cozy place restaurant and it would have been a lot better without our waiter. Arrogant insecure good looking gentleman with suspenders and a lot of bad attitude.

When the management choose to have such an arrogant guy to welcome the guests, it has already...More"
[English],94,201,56.0,3,"April 1, 2018 ",Nice food but pricy,"Dublin, Ireland","Had dinner there with colleagues. Nice menu with pizzas, pastas, risotto etc. The staff welcoming and friendly and décor nice, however, very pricy for what they offer."
[English],94,40,6.0,5,"April 1, 2018 ","Perfect pizza's, bites and atmosphere!","Giesbeek, The Netherlands","We had very nice and crispy pizza's for a fair price. Service was perfect, attentive and friendly waitresses. We were surprised with a Pecorino white wine: a rare grape from Italy, which gives very tasty wines. So far the best pizza we tasted in Lund....More"
[English],94,26,6.0,4,"April 15, 2018 ",Inviting,,"We visited this restaurant for a couple drinks in the afternoon. The atmosphere here is warm & inviting. I can't comment on food as we only had some bar snacks & olives, the staff were always smiling and very energetic, there were lots of customers...More"
[English],94,28,18.0,5,"April 25, 2016 ",Very good italian pizza,"Lund, Sweden","Lovely place in the middle of Lund. Rustic atmosphere with good service. The pizzas were excellent and felt very Italian. I had a vegetarian pizza and it was without doubt the best vegetarian pizza I've had. Packed with flavor and a great crust, you didn't...More"
[English],94,14,8.0,4,"April 29, 2018 ","Good food, good service, nice location","Reykjavik, Iceland","Had lunch at VED on a busy Saturday. The service was excellent although the staff were very busy with loads of customers. 
The vegetarian pizza was awesome, the beer was good. 
Given the opportunity I’ll go to VED again."
[English],94,20,14.0,4,"April 30, 2018 ","Excellent Pizzas, nice view set in Martintorget Square, Central Lund","Exeter, United Kingdom",Been here a couple of times.  Recommend the Pizzas which are cooked on a wood fired Pizza oven.  On a nice sunny day it is pleasant to sit outside and enjoy people watching in the square.  This places seems very popular with tourists so recommend...More
[English],94,135,34.0,4,"April 7, 2015 ",Beautiful place,"Finale Emilia, Italy","I've been there sometimes in the past years, and again tonight with colleagues.
It confirms more and more to be a very nice place to stay; traditional Swedish cuisine and relaxing atmosphere (maybe too much dark, but it's ok anyway).
Location: close to one of...More"
[English],94,420,229.0,5,"April 8, 2017 ",The pizza dream,,"It is constantly surprising how different pizza can be and how quality really tastes so much better. If you are a student on a budget you will be happy to notice that you can buy a VED pizza to take away for 100 kr, no...More"
[English],94,241,55.0,4,"April 8, 2018 ",Late lunch,"Skanor, Sweden","We went for a nice late lunch in the sun. Service was slow from both the waiters and the kitchen. However once we had their attention the staff were friendly and helpful. Food was served in generous portion sizes, compensation for the higher than average...More"
