[English],3,1,,5,today ,Best Indian food experience,"Lund, Sweden",Wonderful food and friendly service for a reasonable price. I've had both lunch as well as dinner here and the food is amazing every time. The salad buffé is a sad experience though but then again I didnt come for the salad. The lamb Tikka...More
[English],3,274,140,3,"September 1, 2018 ",Mild Indian,"Lund, Sweden","Tried the set lunch at Flame on Curry and I must say that this restaurant, too, manages to avoid the real spiciness that is such a distinct feature of Indian food.
I think that always striving to meet the local taste (and Swedes are thought...More"
[English],3,37,7,2,"July 10, 2018 ",Fatty food with good service,"Lund, Sweden","It's the best Indian restaurant in Lund, but that's not much of an accolade. The restaurant was entirely empty but the people were very friendly. It's a shame that the restaurant has such a bad location, I think we saw a drug deal outside the...More"
[Swedish],6,1,,5,1 week ago ,Underbart!!,,Det här är den bästa indiska maten jag ätit på länge. Jättetrevlig personal och utmärkt service! Finns inte bättre indisk...More
[Swedish],6,45,4,3,"October 28, 2018 ",ok,,"Ok mat, inget mer, inget mindre. Jag hade gärna sett lite mindre olja och lite mer kärlek i rätterna om...More"
[Swedish],6,108,12,3,"August 20, 2018 ",Bra indisk mat,"Stockholm, Sweden",Resutrangen har ett bra läge i centrala lund men är lite osynlig. Maten var bra och vällagad dock är menyn...More
[Swedish],6,1,,5,"July 16, 2018 ",Bästa indiska maten i Lund,,Åt hämtmat härifrån igår. Alla var jättenöjda med sin mat. Äter ofta indisk mat och detta är den bästa jag...More
[Swedish],6,8,2,1,"June 29, 2018 ",Värsta upplevelsen Lunds kommun,,Jag gillade förra stället som var här men detta är verkligen skamligt. Det var tre andra sällskap som satt här...More
[Swedish],6,15,3,4,"April 30, 2018 ",En indisk lunch buffe med lite av varje och man kan få nan bröd också.,"Lund, Sweden","Gamla Carlssons trädgård nu med indisk mat.Extra pris just nu på lunchen.
Massor av plats inomhus och en stor terrass...More"
[Dutch],1,5,,4,"November 3, 2018 ",Vriendelijk en lekker,,Dit restaurant ligt wat afgelegen. Wellicht dat dit de reden was voor het beperkt aantal bezoekers. De bediening is heel...More
