[English],6,312,124,4,"January 6, 2017 ",Always a reliable sandwich.,"Zaventem, Belgium",Another American type sandwich shop that provides hot and cold subs.  Many selections to choose from.  Can eat in or take away.  Prices are reasonable and place clean.
[English],6,19,1,4,"August 3, 2016 ",A good sandwich with all you can think of!,"Lund, Sweden","Nice offer for good price.
You can get your sub heated in the oven - warm and nice cheese sub or just as it is. Many options to choose italian salami, ham, tuna,chicken,  olives, onion, lettuce, mustard, oil & vinegar, two types of cheese, tomato,...More"
[English],6,72,20,2,"July 25, 2016 ","""Sub""-standard Subway ","Lund, Sverige",A franchise restaurant like Subway relies heavily on the restaurant holding to an expected standard.  This applies to recipes as well as using fresh ingredients. This restaurant used to have this standard but something has gone wrong recently.  Perhaps is it an attempt to save...More
[English],6,76,30,2,"July 1, 2016 ",Subway is the McDonalds of sandwiches,"Lund, Sweden","Quite pricey, soggy bread and often a mish mash of cold cuts and other ingredients. I like my food fresh and genuine, this is definately not a place for me."
[English],6,178,33,4,"March 6, 2016 ",Fresh and nice.,,A healthier kind of fastfood. Great variety of sandwiches (subs). Get a long one If you're really hungry or take a half If you just want a snack. Fast and tasty.
[English],6,486,156,3,"January 4, 2014 ",good price and you know what you get,"Lund, Sweden","go for the sub of the day, it\s a bit cheaper.  The place just across from the train station is conveniently located if you want to take a sandwich with you on the train."
[Swedish],7,60,120,3,"August 20, 2018 ",Man vet vad man får,Sweden,"Särskilt då jag hittat min favorit, Chicken Teryaki, med allt som går stoppa i , utom sallad och med en...More"
[Swedish],7,128,33,2,"February 27, 2018 ",Ta hand om alla,"Lund, Sweden","Era Subs är helt okej,
Vi reagerade dock på att en av er idag avvisade en pojke som inte hade...More"
[Swedish],7,338,26,3,"August 21, 2016 ",Helt ok Subwah,"Svalov, Sweden","Subway är som McD, likadant oavsett var du kommer. Och man blir aldrig besviken. Bra mackor till riktigt bra pris....More"
[Swedish],7,3,,2,"May 17, 2016 ",Vanligt ställe utan charm,"Lund, Sweden","Lika spännande som alltid, men man vet vad man får. Men ett schysst subway i alla fall. Inget vidare mysigt...More"
[Swedish],7,3,1,4,"October 29, 2015 ",Bra snabbmat,,"Ett bra snabbmatshak. Fräscha mackor, gjorda på beställning. Bra med sittplatser. Välstädat och rent."
[Swedish],7,20,4,5,"September 6, 2015 ",En hundring för mättande smörgås,"Lund, Sweden",Lite dyrt men gillar man smörgåsar så är det helt okej. För en hundring blir du mätt o personalen är...More
[Swedish],7,264,56,4,"August 12, 2015 ",Fräscht med goda mackor,"Lund, Sweden",Fräscht ställe med pigg och glad personal och goda mackor. Subway tycker jag generellt är ett säkert kort när man...More
[Russian],1,71,24,4,"December 5, 2015 ",Стандартный сабвей,"Lund, Sweden",Свежие сендвичи и безалкогольные напитки. В Швеции очень популярен острый итальянский сендвич. Овощи всегда можно попросить положить побольше
