[English],5,3,1,1,"May 22, 2017 ",Lunch,,Over priced. Not very high quality! We bought 11 pieces and they were extremelly small and not very tasty.
[English],5,31,10,4,"September 17, 2016 ","Very nice Sushi, friendly service","Lund, Sweden","We stopped in for a quick meal. It is an order at the counter place, but the service was friendly and prompt. The sushi is excellent. The fish was trimmed and sliced nicely, the sushi presented well and the rice was perfect.  Definitely among the...More"
[English],5,7,4,1,"June 15, 2016 ",Worst service I have ever had,"Falsterbo, Sweden",We sat down at this restaurant and were told that they only had 2 menus. On of the menus only had one page. We asked for sparkling mineral water and beer. We got still water in a plastic container and very warm beer. We had...More
[English],5,97,23,3,"April 13, 2016 ",Ok lunch,"Lund, Sweden","Why insist on having onion on the sushi? Fish and fresh onion does not mix! Ok size portions and flavours but nothing groundbreaking. They forgot half the order even though we repeted it several times. Shame, as the staff was very sweet and the place...More"
[English],5,34,17,3,"May 6, 2015 ",nothing special,lund,really quite expensive. There are many places serving this type of food in town and this is far from the best
[Swedish],7,1,1,5,"April 10, 2017 ","Mycket gott sushi ! Prisvärd , bra service, här vill man äta sushi!","Lund, Sweden","Bra service , perfekt sushi, prisvärd.Stans godaste sushi ris . Många stället har alldeles för hård ris!"
[Swedish],7,14,7,5,"April 8, 2017 ",Jätte god sushi,,"Har ätit 3-4 gånger senaste 2 veckorna. Trevlig kille som har det och god, prisvärd sushi. Köpte även kycklingspett vid...More"
[Swedish],7,128,33,5,"March 23, 2017 ",Mkt bra och mkt trevligt,"Lund, Sweden","Överraskad eftersom jag läst en del negativ kritik.
Fick tips och gick dit på lunch.
Mkt bra kvalité både på...More"
[Swedish],7,167,44,1,"August 23, 2016 ","Nej, nej och åter nej...","Malmo, Sweden","Nej, man serverar inte skivad apelsin som underlag/dekoration till sashimi. Ej heller använder man sönderfrysta, vattniga och direkt osmakliga skivor...More"
[Swedish],7,39,9,2,"August 14, 2015 ",Små bitar,"Helsingborg, Sweden",Minimaliska maki och små nigiri. Blev inte ens i närheten till mätt efter 12 bitar och brukar bli mätt på...More
[Swedish],7,96,29,1,"June 23, 2015 ",Katastrof! Save your money!!,,"Katastrof! gå inte hit! Personalen totalt värdelös, otrevlig och ohyfsad! Först påstod han att kortterminalen inte fungerade, sedan fungerade inte...More"
[Swedish],7,11,3,5,"January 15, 2015 ",Utmärkt Sushi,"Lund, Sweden","Den här relativt nyöppnade restaurangen erbjuder riktigt bra Sushi, framförallt deras Fusion-Sushi är en sann upplevelse. Då vi i familjen...More"
