[English],17,88,10,2,"February 24, 2017 ",Generic burger place,"Lund, Sweden","This is a generic, pretend-to-be American place. The venue is quite noise and for some reason they insist on having speakers outside as well. I ordered a cheese burger at the bar, where I had to wait in awkward silence for a while before the...More"
[English],17,76,17,3,"February 4, 2017 ",Nice place to eat,"Libramont, Belgium","I ordered an American Burger.  The burger was tasty,  the meat well done.  I appreciated the sauce collection.  I had less French fries than the burgers of my friends. The service was really disappointing,  not friendly,  impossible to get the bill, mistakes on the bill....More"
[English],17,7,,5,"October 4, 2016 ",Friends and Burgers,"Naples, Italy","Nice place where you can have a big burger and frech fries with friends. Good beer! Stylish inside, pleasant outside. The position is good to make a tour in the city and have a dinner."
[English],17,168,50,2,"September 18, 2016 ",Not the best food. The other Viggos is way much better,"Lund, Sweden",The food is Ok. Not the best. I ordered a chicken with curry sauce and my mom ordered entrecote. I must say that for the price the food is average level. You can definitely make it better at home. If you go for burgers I...More
[English],17,18,28,1,"August 22, 2016 ",not what it used to be,"Lund, Sweden","The place is not what it used to be. For the last year or so it lost all the charm it had. Boring meat, unpleasant service."
[English],17,31,13,1,"July 25, 2016 ",Sewage and tasteless burgers,"Brisbane, Australia","The chips are ok. Everything else is overpriced bland crap. Oh, and speaking of crap, that's what the place smells like. No, I'm not exaggerating, the whole place smells really strongly of backed up toilet. It's ok for a beer outside, but hold your nose...More"
[English],17,13,3,4,"June 29, 2016 ",Probably the best... burger... in Lund,"Hoor, Sweden","This restaurant is located right at the train station in Lund. It's small, bordering on cramped, especially if the patio is not open.

Service during lunch is adequate, haven't tried the dinner service. The food you want here would be burgers, but they do sell...More"
[English],17,22,,3,"June 1, 2016 ",Lovely location,"Lund, Sweden","A typical modern Swedish restaurant and bar. Aspirations to the Parisian style of roadside outdoor dining but not quite there. Very young personell, willing but not very experienced. The food is nothing to complain about but not anything to really impress with either"
[English],17,1,,5,"May 19, 2016 ",OMG,,"Best burger evr! First time order came out wrong. Second time absolutely bäst i världen!!!

We will eat here every day forever and ever and ever and ever and omg how many words can you write with 100 signs?!"
[English],17,178,33,3,"May 11, 2016 ","Quite ok but, not more.",,"A wide selection of hamburgers and some rather strange choises. Large portions with fries. The food was ok but, nothing more. The place reminds me of an rather shabby road house. The patio was'nt much better. A place to fill your stomac and that's it."
[English],17,68,20,4,"April 20, 2016 ","Nice place in the center of the town. Good menu, lots of food to choose",Trieste,"This pub is in the heart of Lund, and serves a lot of different food as well as different kind of beer. 
Price is average with respect to same quality restaurants nearby.
If you pass by, it is worth a try."
[English],17,280,54,2,"March 8, 2016 ","Poor service, cold buidling but ok chips","Malmo, Sweden","It was Saturday evening and we had not prebooked at any of the decent restaurants in Lund. BIG mistake. After having tried several ones, we were desperate and ended up at Viggos. The waiters did not seem to know what they were doing, people were...More"
[English],17,12,,3,"August 19, 2015 ","Nice people, ok food","Denver, Colorado","The staff here are always friendly, but the food is so-so. All the burgers are huge, and extremely messy. Definitely knife-and-fork food. There is no wait service at the tables, you have to go up and order at the bar, and when I went there...More"
[English],17,34,20,1,"June 13, 2015 ",Bad food and service,Sweden,"Been here twice for AW, first time I had the burger - it was alright. Service terrible, the staff definitely have no service training. Second time I had a mozzarella salad as starters and salmon pasta as a main. The starter was plain and tasteless....More"
[English],17,13,7,2,"April 28, 2015 ",Well the beers are cold at least...,"Lund, Sweden","The people working there are helpful and smiling. However, it seems you're expected to grab a meny on your own and order at the bar (and pay immediately), even if you're seated outside but IN the restaurant. The ""Please tip us"" jar  on the counter...More"
[English],17,284,103,3,"December 13, 2014 ",Burgers,"Lund, Sweden","Lunch includes a salad bar with an unexciting selection. The burger was fine, as were the fries, served on a large plate with unnecessary dishes of condiments. The place was pretty empty except for a group that seemed to be drinking. Would go back only...More"
[English],17,46,37,2,"September 12, 2014 ","Meh,","Malmo, Sweden","Not impressed with what I ordered. Had Penne ala Salmone for dinner. It was substandard in taste, and had too much dill. There are probably better dishes there, but based from my visit, it's poor.

Had to cook something upon getting home just to satisfy...More"
[Swedish],21,19,6,2,"August 3, 2017 ",Trist lunch,,"Beställde grillad lax med rotfrukter och min kollega beställde grillad kyckling.
Efter en evighetsväntan för både oss och resten av...More"
[Swedish],21,26,9,2,"July 21, 2017 ",Mycket kan förbättras...,"Lund, Sweden",Då man alltid kan få en plats här när resten av Lunds barer har fullt så har jag varit här...More
[Swedish],21,7,6,3,"April 23, 2017 ",En trea - enbart för gott vin i kvällssolen.,"Lund, Sweden","Har ej testat maten, gör nog inte det i framtiden heller. Ett kallt glas vitt vin i kvällssolen på deras...More"
[Swedish],21,60,16,5,"November 9, 2016 ",God varierande mat,"Stockholm, Sweden","Perfekt ställe för en affärslunch eller middag, trevlig lokal med bra utbud av maträtter, fanns för alla smaker samt ett...More"
