[English],4,10,2,5,"January 15, 2018 ",Brilliant small alternative lunch ,,"Just what Lund ordered. Something new, fresh, exciting and willing to introduce some new flavour. Well worth a visit."
[English],4,81,17,5,"October 2, 2017 ",Cake,normandie,"Hidden away in a little court yard is Cashew Vegan Kitchen...I bought a selection of vegan cakes- heaven absolute heaven... staff are lovely and the cakes are superb, artistic and most of all delicious"
[English],4,37,16,5,"November 16, 2016 ",A must if you are in Lund as a tourist or working/studeing here,,"The absolut best and healthiest lunch and desserts ever! Good for soul and body! Vegan and Gluten Free, so great for everyone! But even if you are not vegan with no allergies, and a typical meat lover like me, I prefer this before other lunch...More"
[English],4,31,5,4,"June 22, 2016 ","Good lunch, great desserts","Chicago, Illinois",Have a daily lunch special (mine was Thai curry) but especially known for their raw and vegan desserts. A bit hard to find but worth poking around for.
[Swedish],7,15,2,5,"January 19, 2018 ",God Take away,"Varberg, Sweden",Köpte en god bakelse för Take away och det var gott! Vegansk raw nutella bit . Rekomenderas men det fanns...More
[Swedish],7,46,17,5,"June 26, 2017 ",jag blev positivt överaskad,"Lund, Sweden",Jag trodde aldrig att jag skulle besöka ett vegan kök (jag äter och kommer att fortsätta äta kött men lite...More
[Swedish],7,2,,5,"March 30, 2017 ",Fantastisk matupplevelse,"Lund, Sweden",Cashew Vegan Kitchen serverar jättegod hälsosam mat. Enda minuset är själva lokalen som är väldigt liten och nästan helt saknar...More
[Swedish],7,65,26,5,"January 7, 2017 ",Väldigt god lunch,"Malmo, Sweden",Lunchen är smakrik och lagom mättande även om det inte är stor portioner. Lite högt pris för en takeaway lunch...More
[Swedish],7,77,7,5,"December 13, 2016 ",Jättegod veganmat,,Ta med någon som rynkar på näsan åt vegansk mat och få dem att ändra sig. De serverar bara take-away...More
[Swedish],7,8,2,5,"October 21, 2016 ","Veganskt och raw, men först och främst otroligt gott",,"Om jag bodde i Lund skulle jag köpa desserter, fika och tårtor här vid varje givet tillfälle. Borde passa de...More"
[Swedish],7,1,,5,"August 12, 2016 ",Lunds bästa veganmat,"Lund, Sweden","Lunds bästa veganmat, spännande och fräscha smaker. Trevlig och tillmötesgående personal. Goda raw food bakverk. Väldigt litet så det är...More"
