[English],40,28,4,4,1 week ago ,Nice friendly place to watch sports ,,"The food is good, friendly personnel. I enjoyed being there with some colleagues and friends. I recommend this place if you want to watch sports and have some tasty food."
[English],40,2,,4,"September 17, 2018 ",Honest,"Lund, Sweden","Nice burger, exelent service, fair price. Nice and homely atmosphere. No complaints, would reccomend to a friend."
[English],40,627,134,3,"September 9, 2018 ",NFL on in Sweden / Food is Mediocre,"Boston, Massachusetts","We enjoyed watching the NFL football game. Service is very good and friendly. The food was mediocre. Burgers were ok, well done, no change in temperature. Wings were not fully cooked, somewhat raw and red meat, so,we didn’t finish them.  Aches were below average. Beer...More"
[English],40,106,48,4,"April 28, 2018 ",Good sports bar,"Lund, Sweden","This is a good venue to catch a beer and watch a game of football. Mix of tables and bar seating, every one of which has a good vantage to at least one of the numerous screens to watch the game of choice. Nice enough...More"
[English],40,8,2,5,"September 14, 2017 ",Food n Drink,"County Antrim, United Kingdom","Went on a day trip from Denmark to Sweden. Decided to stop at Lund and this place looked good. There were 6 of us plus 3 children n they got us seated right away. We were served by a lovely man called Lassa, he was...More"
[English],40,9,1,5,"September 14, 2017 ",Yummy,,"Great place, great food. Atmosphere was superb! Our server Lassa was so nice, very pleasant. Would definitely come again"
[English],40,716,294,3,"September 6, 2017 ",Not so good!,"Kettering, United Kingdom","Popped in with work colleagues as looking for a place to eat and drink. Place itself looks the part. Lots of football shirts and pics everywhere and telly's . English premier football advertised.. Very busy. Ordered three steaks. Two were good, mine was gristle and...More"
[English],40,33,5,2,"September 1, 2017 ",Boring food and way to loud,"Lund, Sweden",Typical sport bar food. Not very good. Don't recommend going in the evening or on weekends it gets really packed with people and ridiculously loud. Even without music just by people talking. Ended up waiting for 2 hours just to get our food. The service...More
[English],40,44,5,5,"May 23, 2017 ",It aint about its about patriotism,,"I personally dont like this place , but i love those working there ! The crowd is worn out and waaaay tooooo clingy (lol) but great food and typical town vibe ..... you gotta visit"
[English],40,12,4,4,"March 22, 2017 ",Trip to Lund,"Modena, Italy","Nice Pub where it's possible to eat or simply drink a beer watching the football match of the day.
the burgers are theyr specialty but steak as well."
[English],40,43,3,4,"January 1, 2017 ",Food,"Vrilissia, Greece",A place where you can enjoy a good meal and you can watch football. Tasty food and a lot of beers. Friendly staff and good service.
[English],40,176,27,5,"October 22, 2016 ",Wonderful relaxed mood and great staff,"Espoo, Finland","Really like this restaurant. Always a game to be watched, very friendly staff, great atmosphere. My regular meal there is the 250g BBQ steak, and the regular drink a large Weissbier."
[English],40,4,7,3,"March 21, 2016 ",Ok burgers - lousy onion rings.,"Copenhagen, Denmark","$110 US bought burgers for a family of four that were no better than at Five Guys and which would have been a quarter of the price! The onion rings were really poor, and obviously small frozen ones. Charged 20 SEK for a small portion...More"
[English],40,52,38,4,"December 11, 2015 ",A good steak/hamburger,"Lund, Sweden","Have not been here for some years and decided to make a visit last week. It was a good choice,the steaks  are juice and you can choose from 175-400 gram, and they treat the meat very good after yours choice,the frence fries are also good...More"
[English],40,71,24,1,"October 26, 2015 ",What happened?,"Lund, Sweden","After having AW in the place for more than a year, ever since Autumn the food became just uneatable!
Is the a chef change? Is it because the place is usually crowded? 
The tasty burgers turned into wet dippers. Patties are badly formed, usually undercooked...More"
[English],40,12,,5,"August 19, 2015 ",Best place to watch American football games,"Denver, Colorado","By far the best spot to catch some American football games. They have great burgers and pub fare, and they always show the football games on Sundays. Check the website or call ahead to make sure they're showing the one you want to watch."
[English],40,71,24,4,"July 8, 2015 ",Usual choice for afterworks,"Lund, Sweden","The place is quite good for tiny Lund. Actually one of the best places for afterworks. They have good selection of beers, ok and not over priced wines.
Macho nachos are definitely to try, same as garlic burger and steaks are nice."
[English],40,8,,4,"June 23, 2015 ",classy upstairs,Tampa Bay ,"green walls, bookshelves, moose on wall, etc. Looks more like a castle's library than a bar. Good atmosphere. Friendly staff."
[English],40,81,42,3,"May 30, 2015 ",a sport´s bar,"Orebro, Sweden","An evening in May.
Poppers, a steak fries and union rings.
The poppers, no much batteri
The steak cooked as asked medium rare, but did not taste nice, I do wonder what kind of meat this was. The fries acceptable, the union rings acceptable. 

Not...More"
[English],40,6,,4,"May 26, 2015 ",Excellent ribs & beer selection,"Southwater, United Kingdom",Stuck for somewhere to eat I plumped for the obvious (it's pretty well advertised on tourist pamphlets etc.) but was not at all disappointed. Those expecting a true American style sports bar maybe disappointed. But the ribs were some of the best I've had (coming...More
[English],40,36,26,2,"April 15, 2015 ",Dirty furniture and below average food let it down,Luton,"I went here with colleagues after a long day in the office.  They had the national teams handball game on so we watched that (never watched one before).  The game was decent, but we had better conversation.

The furniture was dirty, the place was dated,...More"
[English],40,34,20,2,"March 30, 2015 ",Night club,Sweden,"Never eaten here, and would probably not... Been here at the night club though and do not recommend it. Mostly older drunk people. Only plus is that its free entrance."
[English],40,29,20,4,"November 28, 2014 ",Great bar,"Chelmsford, United Kingdom","Really nice bar, there when Malmo played Juventus and a great atmosphere. Good selection of beers and reasonably priced (for Sweden) about 70krona a 50cl."
[English],40,10,4,2,"November 23, 2014 ","Average quality, long time to wait!","Reggio Emilia, Italy","This place is quite good for food quality and quantity. I reccomend the burger and the frites. It's not the right place to have a romantic dinner, because it's cahotic. Very low service level, too long time to wait after the order to get the...More"
[English],40,8,1,4,"November 15, 2014 ",The Sports Bar in the City Center,"Madrid, Spain","Hockey on ice? American football? Soccer? Baseball? Music? Enjoy them with the house's burger or some beers. Noisy when there are games, one of the very few places where you can see real NFL Redskins and 49's helmets. Walking distance from many other places, short...More"
[English],40,21,10,3,"September 13, 2014 ",Gloria's is what we thought it was.,"Avondale, Pennsylvania",Gloria's is a fine place to grab a beer and a burger and watch some sports in Lund.  Kind of a Swedish sports bar.  Don't expect haute dining and you won't be disappointed.
[English],40,29,11,2,"July 6, 2014 ",Good burgers but pricy beer ,"Munich, Germany",We didn't get the most welcomed feeling from the waitress and the beer was quite pricy. The burgers are good though but nothing spectacular. Main downer was when the waitress pushed the bill on us when we didn't want any more beer at that point....More
[English],40,30,23,3,"July 1, 2014 ","Best fries, burgers ok","Espoo, Finland","Burgers were ok, unfortunately we ordered them medium rare and received almost rare burgers.. Fries were really good, so we ended up eating them and the more well done parts of the burgers (should have sent them back..). The place was nice, full of sports...More"
[English],40,4,1,1,"June 17, 2014 ",Awful!,"Stockholm, Sweden","At this place, as a young woman I felt incredibly offended by how the staff treated and spoke to me. All the staff acted really rude and unpleasant. The food is expensive and seemed very plain. 

I went twice during June 2014 to watch the...More"
[English],40,29,6,4,"June 5, 2014 ",food and beer,"Leicester, United Kingdom",if you want good company excellent food and good sports this is the place to visit. Would strongly recommend it to all interested parties been 3 times in 2 weeks and the food just seemed to get better. With n excellent selection of world wide...More
[English],40,7,1,3,"November 30, 2013 ",Food is just fine but beer is great,"Lund, Sweden","It's a place to be relaxed. Some beer, some snack food, burger or simple main course."
[English],40,8,2,3,"August 15, 2013 ",expensive,"Sydney, Australia","Staff were okay, pretty expensive for burgers in a sports bar though. Okay if you like hanging out with noisy locals watching football."
[English],40,9,7,4,"July 12, 2013 ",Friendly staff and good food,Winchester,"Had two meals here whilst on a short stay in Lund.  The bar staff were very accommodating and put the match we wanted to watch from Wimbledon on the tv adjacent to our table.  The food was of high quality, well presented, and the service...More"
[English],40,5,1,4,"June 24, 2013 ",Great food.,"Lund, Sweden",The Gloria's Bar and Restuarant is a sports bar with great food and atmosphere. The place inside is a bit worns down but has a great outside area to sit in when weather is good.
[English],40,49,23,4,"November 9, 2012 ",A must go in Lund,"Province of Modena, Italy","Very nice sport's bar. Good steaks and hamburgers. You have to try their nachos. 
Some tables really too small and so close to each other, but not the end of the world. 
If you are in Lund you cannot miss it."
[English],40,52,38,3,"October 7, 2012 ",Sportsbar,"Lund, Sweden","In the center of Lund close to the railwaystation only 5 minutes walk there is this sportsbar Glorias,they also have american burgers,good steaks and a good service.Just across the street is the public Library were you can go in and have a cup of good...More"
[English],40,63,18,4,"July 2, 2012 ",Large sports bar with outside seating and eating area,London,"Good bar/restaurant with multiple sports tv  viewing areas , very pleasant internal open courtyard seating area"
[English],40,113,56,4,"April 4, 2012 ",The burgers are great,Sweden,This is the place of you want a nice juicy homemade burger. You can select between lots of styles. The fries are really good too!
[English],40,23,7,3,"March 29, 2012 ","Terrible food, good selection of beers","Copenhagen, Denmark","Don't go there for the food, it's terrible. Go there for the atmosphere, beer and sports."
[English],40,215,59,2,"June 7, 2009 ","If you are going to Glorias for the food and not for the sport, you will most likely getting disappointed. Serving...","Lund, Sweden","If you are going to Glorias for the food and not for the sport, you will most likely getting disappointed. Serving extremely quickly must be a positive aspect, only if the food quality is good as well. Frying some potatoes is not an art, but...More"
[Swedish],45,5,,5,"November 7, 2018 ",Bästa hamburgaren i stan och brödet är helt underbart gott. En komplett burger/american dinner resturang,"Lund, Sweden","Tog en tjuana tezzer burgare, smakade bra allt satt som det skulle fick se min match och stämningen var på...More"
[Swedish],45,31,1,4,"August 14, 2018 ",Stort urval,,Stort urval av både öl och mat. Priserna är inte billiga men i jämförelse med resten av Lund är det...More
[Swedish],45,2,1,2,"June 18, 2018 ",Lunch + fotbolls-VM = falskt,,"Hade intet ont anande tänkt ta med min svärfar på lunch, ca en och en halv timme före avspark i...More"
[Swedish],45,16,,3,"April 19, 2018 ",maten är inte värt sina pengar !,"Lund, Sweden","Trevlig atmosfär, trevlig personal men maten är så dålig.
Sibylla kök gör godare handburgare. 
Att behöva betala nästan 200 kr...More"
[Swedish],45,77,7,5,"March 22, 2018 ",Stammisställe,,"Vi går alltid hit. Jättetrevlig personal, bra ölutbud och goda burgare. De visar sport också men det är inte därför...More"
[Swedish],45,36,1,2,"March 21, 2018 ",Pubmat,"Kavlinge, Sweden",Enklare pubrätter utan större finess. Köttet var segt och torrt. Välj hamburgare eller nachos istället. Bra utbud på öl.
[Swedish],45,47,8,3,"January 20, 2018 ",Dagens,,"Lunchen var raggmunkar och stekt fläsk med kaffe för 98kr.

Trevlig personal och bra service.

Betyget drogs ner av en...More"
[Swedish],45,38,10,3,"January 16, 2018 ",Stabil leverans år efter år,"Lund, Sweden",Detta är lite av en klassiker i Lund för sportintresserade som gillar att ta en bira och käka lite gott...More
[Swedish],45,128,33,3,"October 28, 2017 ",Ok för ”barhäng”,"Lund, Sweden","Baren ölen stämningen vid en fotbollsmatch helt okej.
Äta mat? Nej tack! Torr hamburgare.. mediokra tillbehör. Glorias= dricka ”vanlig” bira....More"
[Swedish],45,385,49,4,"September 17, 2017 ",När man är sugen på kött ... och spirt,"Lund, Sweden",Sedan många år en klassisk sportsbar tvärs emot stadsbiblioteket i centrala Lund. Faktiskt så är Glorias Lunds första sportsbar. Menyn...More
[Swedish],45,46,17,4,"April 2, 2017 ",Peppar biff eller hamburgare,"Lund, Sweden","Lunds bästa pepparbiff
God hamburgare
Och många sorters öl
Ps. Beställ bord det brukar bli fullt efter 19.00"
[Swedish],45,128,33,2,"March 19, 2017 ",Lite sunkig känsla!,"Lund, Sweden","Tycker Glorias har sjunkit rejält i nivå.
Bland annat,
Okej att det är vattenproblem i Lunds innerstad! Men man kan...More"
[Swedish],45,47,16,3,"March 12, 2017 ",Stabil sportbar,Lund,Stabil sportbar med god stämning vid större fotbollsmatcher och -turneringar. På senare tid dock svajigt både vad gäller service och...More
[Swedish],45,48,10,3,"March 4, 2017 ",Torr hamburgare ,"Malmo, Sweden",Servicen var snabb o bra. Ölutbudet är ok men burgaren var en besvikelse. Köttet var torrt trots att det bara...More
[Swedish],45,41,13,2,"February 26, 2017 ",Pris motsvarar inte kvalitet,"Malmo, Sweden","Ingen höjdare. 147 kronor för en originalburgare med torrt kött, ett sorgligt salladsblad, en tomatskiva, en fjärdedels saltgurka. När det...More"
[Swedish],45,368,138,2,"February 5, 2017 ",Ganska tråkig mat och dålig service,"Malmo, Sweden","Detta är ett ställe man ska gå till för att dricka öl, inte för att äta. Maten är väldigt överprisad...More"
[Swedish],45,77,7,4,"December 13, 2016 ",Bra ölutbud,,Det här är mitt lokala stammishak och det är en sportbar men jag och mina vänner går hit för de...More
[Swedish],45,30,9,3,"December 5, 2016 ",Helt okej. ,"Malmo, Sweden","För fem gubbar som vill äta och dricka öl en lördagskväll, är detta helt okej. Maten är vällagad köttet var...More"
[Swedish],45,18,4,5,"September 4, 2016 ",Riktigt prisvärd restaurang och pub,"Lund, Sweden",Min lokala favoritpub. Är aldrig besviken på maten som håller fantastisk hög kvalité till ett överkomligt pris. Bra utbud på...More
[Swedish],45,15,7,1,"August 31, 2016 ",Katastrof ,"Solna, Sweden",Om vi var 10 personer då skulle jag förstå att beställning va fel men jag va ensam och allt va...More
[Swedish],45,81,17,3,"June 10, 2016 ","Trevlig ställe, god hamburgare","Helsingborg, Skåne Län, Sweden","Vi satt utomhus, på innegården, riktigt mysigt men hade önskat rökförbud!
Lång, lång väntetid på maten men riktigt god hamburgare...More"
[Swedish],45,24,6,4,"December 28, 2015 ",Bästa sportbarhamburgaren i Lund,,Vi har nu provat alla sportbarerna i Lund och på Glorias finns den i särklass bästa hamburgaren. Oftast har jag...More
[Swedish],45,40,7,3,"December 24, 2015 ",Hit går man för atmosfärens skull,Linköping,Gloria's är en sportbar. Hit går man för att koppla av o se på storbilds-TV. Gillar man inte fotboll o...More
[Swedish],45,170,40,3,"November 27, 2015 ",Gammaldags sportbar,"Halmstad, Sweden","Här kan man kolla fotboll men rätt skönt att det bara finns 3-4 skärmar. Inte som exempelvis O'learys, där alla...More"
[Swedish],45,31,6,4,"October 28, 2015 ",Bra pubkrubb!,"Lund, Sweden","Helt ok ställe att äta på, helt ok priser och lagom pubkrubb. Gå inte för många bara, det blir väldigt...More"
