[English],6,31,3,1,"June 25, 2017 ",The worst experience,"Malmo, Sweden","Worst service ever. The cheese was in bad shape and the staff didnt notice, they gave advice that seemed to come read right off a paper. Bad atmosphere in the shop, something isnt right here. I dont recommend."
[English],6,129,31,5,"May 5, 2016 ",they have a great selection of wine and cheese,"Paris, France","good prices, a huge selection of cheese and o good selection of wine. always helpful and answer questions and give advice"
[English],6,34,17,2,"April 29, 2016 ",visit,lund,"What was once a great cheese shop now has snobby people behind the counter and the charm has gone. I preferred when it was a small shop on the other side of the road, which, although it was a bit of a squeeze was worth...More"
[English],6,147,42,5,"October 15, 2015 ",European-style cheese shop!,"Lausanne, Switzerland","Don't know HOW long this shop has been around, but not to miss it - cheese from all over the world, just the interior and the smells are worth a visit."
[English],6,52,38,5,"March 22, 2013 ",This is a good place for relax.,"Lund, Sweden","Just go in there to try some of their great sorts of cheese  they have sorts from all over the world,even the wines are good.Im sorry to say that its difficult for me to stand all the kinds of smell from the cheese but i...More"
[English],6,42,23,4,"January 4, 2012 ",Fantastic variety and good staff!,Melbourne,I went to Bengstons to buy some cheese. I was overwhelmed with the variety and pleasantly surprised with the helpful and cheerful help I received from the stafff. I recommend this restaurant/shop if you would like to try high quality food.
[Swedish],7,3,2,4,"April 21, 2018 ",Gott bröd!,"Falkenberg, Sweden","Mycket fin ost- och brödaffär. Köpte supergott grovt bröd och ett litet ljusare. Osten vi köpte, typ Herrgårdsost, var mycket...More"
[Swedish],7,12,,5,"January 22, 2018 ",Fina ostar,"Lund, Sweden","En ostaffär med personlig service, ett brett sortiment och kunnig personal. Även om det är fullt med folk i butiken...More"
[Swedish],7,46,17,4,"August 29, 2016 ",Ost kan de på Bengtsson's ost,"Lund, Sweden","Mat har jag aldrig ätit här
Har varit på choklad och ost provning och det var trevlig 
Men ost kan...More"
[Swedish],7,220,47,5,"August 23, 2016 ",Ostparadis,"Kavlinge, Sweden",Här hittar man det mesta man kan tänka sig i ostväg! Kunnig och serviceinriktad personal som kan ge förslag på...More
[Swedish],7,70,14,3,"May 19, 2016 ",God ost till överpriser,"Lund, Sweden",Detta osthus är kombinerat med en affär för ostar och andra delikatesser. Allt som söljs och bjuds här är av...More
[Swedish],7,20,4,5,"September 6, 2015 ",charmkurs till personalen efterlyses,"Lund, Sweden",Det här stället är toppen förutom några att de flesta i personalen  borde gått en charmkurs. Ostarna är goda o...More
[Swedish],7,158,32,5,"June 21, 2013 ",Bästa stället för ost i Lund,"Lund, Sweden","Detta är den trevligaste och bästa ostbutiken i stan, alltid med mogna ostar av alla dess sorter. Jag har inte...More"
