[English],6,1,,4,3 weeks ago ,Lunch and bar,madrid,"Nice, old people during the day and the later you get their the younger
the bar close late at night ...so great for a nightcap, good music"
[English],6,3,1,1,"August 19, 2018 ",Visitor,,Terrible waiter. Rude to everyone in the restaurant. Embarrassing to sit there. Never again that place as long as that person works there. Poor service as well.
[English],6,2,,5,"March 10, 2017 ",Genuine bar,,This is the place to go if you want a relaxed place to hang out with friends. A genuine place with the best grilled hamburgers in town.
[English],6,29,3,4,"January 20, 2017 ","Good, decent food ",,"Welcome to the eighties!
Here you will get filet Oscar and plankstek.
But it's pretty well done, the service is efficient and it's good value for money.
A fun place for an informal dinner or just drinks."
[English],6,15,3,3,"March 17, 2016 ",Nice place to dine and drink beer.,"Lund, Sweden","I was there withs some friends and hade the burger which was nice. The beer is draft and good, Starbrno is a hit."
[English],6,9,7,2,"July 12, 2013 ",Sauces a disgrace!,Winchester,"Made the mistake of eating here with a group of 5 others having had it recommended.  The steaks and fish that we ordered were reasonable but unremarkable, but the accompanying sauces?  Absolutely dreadful.  I was served fish with 'tartare' sauce - for tartare sauce they...More"
[Swedish],15,4,,1,"May 23, 2017 ",Horrible treatment of customers. ,,"Vi kom en vardagskväll klockan nio och frågade om köket var öppet, fick beskedet att det inte var det. Så...More"
[Swedish],15,95,12,4,"January 7, 2017 ",Klassiker,"Lund, Sweden","Ett lokalt ställe mitt i stan, här hänger Lundensare så vill du slippa skräniga studenter är detta rätt ställe."
[Swedish],15,4,,4,"January 4, 2017 ",Blir aldrig besviken!,"Lund, Sweden",Botulfs har mycket god pubmat samt fin och trevlig service! Ska vi på bio i Lund (Filmstaden ligger runt hörnet)...More
[Swedish],15,8,2,4,"November 29, 2016 ",Bra drinkställe,"Lund, Sweden","Hit går vi ofta för drinkar och After work. Alltid trevligt, maten ok! Glad och härlig personal, känner sig alltid...More"
[Swedish],15,26,3,5,"April 25, 2016 ",Utbudet !,"Copenhagen, Denmark",Här får man allt man vill ha hur man vill ha det och när man vill ha det. Allting minutiöst...More
[Swedish],15,7,1,5,"August 1, 2015 ","Behövde inte vänta länge på maten, vackert upplagt!! Rent o snyggt!!","Trelleborg, Sweden",Mycket trevlig och hjälpsam personal fick hjälp med att komponera rätter så att alla blev nöjda. Underbar god grillad lax...More
[Swedish],15,26,17,3,"April 24, 2015 ","Okej mat, inredning sämre","Malmo, Sweden","Maten smakade mycket bra. Jag åt ryggbiff med grönsaker, sallad (LCHF) min flickvän käkade hamburgare och pommes, sambaoelekdressing. 
Maten var...More"
[Swedish],15,31,5,4,"February 18, 2015 ",Trivsamt,,Besökte Botulfs nyligen. Sist var en dag under julhelgen. Det råder en speciell anda här .En blandning av oss alla...människor....More
[Swedish],15,3,,5,"December 18, 2014 ",Middag,"Lund, Sweden",Fantastiskt trevlig personal. Fantastiskt god mat till löjligt låga priser. Bra kvalitet och bra råvaror. Låt er inte luras av...More
[Swedish],15,342,161,2,"October 22, 2014 ",En Dive bar i Lund,Lund,Billig öl i extremt torftig miljö bland mer eller mindre utslagna ensamma existenser och grupper som sätter billig öl främst....More
[Norwegian],2,1,,5,"May 20, 2016 ","Service i særklasse, hyggelig miljø og mat i 2 klasser over hva en forventer når en ser stedet fra gata.",,"Veldig hyggelig betjening, etter stamgjesters utsagn i nær familie med hverandre. Første ankomst ble kvittert med at stamgjest nn hadde...More"
[Norwegian],2,35,12,4,"July 9, 2013 ","Overraskende god mat, drikke og service.","Stavanger, Norway","Ved første øyekast kan stedet virke litt alternativt og smålugubert, og vi lurte på hvordan det kunne ha seg at...More"
[Danish],1,108,22,4,"October 17, 2014 ",Super betjening,"Hedehusene, Denmark","Må starte med at sige de får 4 pga betjening,  hvis kun mad var vi på 3.
Men god service...More"
[Polish],1,20,3,5,"September 24, 2016 ",Super drink bar,"Lund, Sweden","Polecam jako mejsce typu after work.
Dlugie godziny owarcia.
Szeroka gama wyboru drinkow.
Kilkanascie rodzahow trunkow.
Piwa, whisky, wina, wodki...More"
