[English],4,113,8,2,"August 4, 2018 ",Pizza Salami with Swedish medwurst,"Modena, Italy",Pizza Salami with Swedish medwurst. Sorry but this pizza did not deserve to be called pizza with salami!
[English],4,138,70,4,"September 6, 2017 ",Great Kebab!,"Lund, Sweden","A great place for a lunch Kebab/Gyros, Kebarulle or Kebab plate, both are tasty. Pizzas are also good!"
[English],4,18,3,4,"November 7, 2016 ",Good pizza,,"A place for a good, typical Swedish pizza. Nothing fantastic but really great and normal pricing. Seems like a favourite pizza place of many students who live closeby."
[English],4,14,3,5,"June 23, 2015 ",Delicious pizza and kebab,"Landskrona, Sweden","We ordered tuna pizza (without kapris, but garlic instead) and kebab ""tellarik"". Both arrived after very little waiting time. Taste was fresh and delicious as always. Free water, coffee, bread and cabage salad, one soft drink / light beer per dish included. About SEK 70.-...More"
[Swedish],8,56,9,3,"August 1, 2017 ",Ett gediget pizzahak,"Lund, Sweden","Detta är ett av våra alternativa jobblunchställen. Man blir aldrig besviken, man vet vad man får. En bamseportion (tex kebabtallrik)...More"
[Swedish],8,21,,4,"February 5, 2017 ",Mycket goda pizzor,"Lund, Sweden",Mycket goda pizzor som tillreds i ett öppet kök. Serverar mat både både i sin restaurang såväl som för avhämtning....More
[Swedish],8,4,,5,"January 20, 2017 ",Kanonbra pizza,,En av de bästa standardpizzerior jag ätit på i dett alandet. Riktigt bra priser och välsmakande pizzor
[Swedish],8,47,12,3,"November 30, 2016 ",Relativ restaurang?,"Stromsnasbruk, Sweden","Allt är relativt så även Restaurang Delphi.
Man får full service men upplever det som att man tvingar fram den....More"
[Swedish],8,14,10,5,"September 11, 2016 ",Världens bästa pizza,"Lund, Sweden","De har stans godaste pizza och pizzasallad, de håller fortfarande måttet efter så många år.
Det är synd bara att...More"
[Swedish],8,8,1,5,"July 24, 2016 ",Bästa pizzerian i Lund!,"Lund, Sweden","Det naturliga valet av pizzeria. Provat ett flertal pizzor på flera pizzerior i Lund, fyra andra, och endast denna pizzeria...More"
[Swedish],8,42,5,5,"April 24, 2016 ",Den bästa kebab stället,"Cotia, SP",Den bästa kebab pizza jag har ätit i mitt liv! Jag saknar varje dag den här platsen. kebab pizza med...More
[Swedish],8,22,19,4,"March 27, 2016 ",Enkelt är bra,,Standarstället att beställa pizza från i Delphi och Kämnärs-området. Aldrig blivit besviken av denna pizzerian!
