[English],6,59,11,3,"March 16, 2017 ",Ok,"Lund, Sweden","Haven't been at eddison for a while. Their quality is still ok but also the most expensive lunch around. I think it is still worth it and the other restaurants are raising the price without adapting quality. Just a word of warning, this concept will...More"
[English],6,627,134,4,"October 27, 2016 ","If in Ideon, A Good Choice","Boston, Massachusetts","Located in Ideon industrial park.  If your working in that area, a good choice. It is self-serve/cafeteria style and there are 3 choices. A veg/gluten free, a main and a stew. Tried reindeer for the first time!  Salad bar as well with local ingredients.  Overall...More"
[English],6,338,65,3,"August 15, 2016 ",So and so,"Furulund, Sweden","I eat here when the restaurant at my job-place is closed during the summer or in some other occasions.
They are good at cooking meat, but I find everything else quite mediocre (especially italian and asian food). Sometimes  I find it the stuff too dry...More"
[English],6,1,,5,"July 12, 2016 ",Great for lunch,"Malmo, Sweden","Easily the best lunch option near Ideon, comfortable walk from Sony or from Baxter.  Salad bar is good, and there's a choice between three different mains - vegetarian, traditional and international.  Only down side is due to it's popularity it can sometimes be a little...More"
[English],6,135,34,3,"April 7, 2015 ",Good choice,"Finale Emilia, Italy","Quite good place for a work lunch break, relaxing atmosphere and good (but limited) choice of food.
Maybe too much spices and flavor surrounding every type of food."
[English],6,28,9,5,"April 5, 2015 ",Great place to have lunch,,"This lunch restaurant is probably the best it the area. You always have 3 options to choose from, of which all have good quality ingredients. It's a bit pricey perhaps, but you'll usually leave this place feeling very satisfied."
[Swedish],9,58,3,4,"October 24, 2018 ",Ok lunch,"Lund, Sweden","Helt ok lunch.
Salladsbuffén är ok och de har alltid gott bröd till.
Bästa är att man kan se maten...More"
[Swedish],9,56,9,3,"August 1, 2017 ",Jobblunch med ojämn kvalitet,"Lund, Sweden","Ett jobblunchställe. Ofta är det bra, men ibland är det ""tråkigt"" eller oinspirerat, som många ""personalrestauranger"". För samma pris kan...More"
[Swedish],9,251,51,3,"June 24, 2017 ",Lunch ok,"Loddekopinge, Sweden",Bra utbud av olika lunchrätter. Stor salladsbuffé med hembakat(?) bröd. Maten ok men inte mer. Trevlig lokal.
[Swedish],9,77,7,4,"June 23, 2017 ",Bra lunchställe,,"De serverar tre olika sorters lunch varje dag och skriver ut om maten innehåller laktos, gluten mm. Maten håller hög...More"
[Swedish],9,9,,4,"April 11, 2017 ","God mat, bra och snabb service - även vid lång kö.","Malmo, Sweden","Restaurangen erbjuder bra variation på mat, bra råvaror och god mat. Mindre grönsaksbuffé finns och oftast serveras goda grönsaker tillagade...More"
[Swedish],9,37,16,5,"September 25, 2016 ","Fantastisk lunch, varje dag ","Lund, Sweden","Alltid svenskt kött
Svensk och internationell smaksättning
Kul smakkombinationer både på salladsbord och huvudrätter"
[Swedish],9,5,,5,"August 14, 2016 ",Utmärkt lunchrestaurang ,,"Bra variation, trevliga rätter, möjlighet att köpa sallad eller sushi att ta med. Prisvärt i trevlig miljö. Rekommenderas!"
[Swedish],9,32,4,5,"June 4, 2015 ",Bästa lunchrestauranten,"Malmo, Sweden","En lunchrestaurant med kvalite långt över det vanliga, och detta till ett mycket bra pris. Serverar normalt tre olika rätter,...More"
[Swedish],9,51,20,3,"March 25, 2015 ",Okämn kvalitet,,"Chicken BBQ låter gott och vissa av smakerna är jättebra, men bara vingar? Knappt något kött och de har börjat...More"
[German],1,198,142,4,"July 13, 2016 ",Kantine - vonwegen!!,"Burglengenfeld, Germany",Bei einem Geschäftbesuch im Ideon Science Park war das Edison Ziel für die Mittagspause. Drei Gerichte zur Auswahl für je...More
