[English],7,287,100,2,"October 2, 2018 ",Vietnamese but without the taste,"Chengdu, China","Great service and a Nice place to sit down, but this was vietnamese food without taste! Too bad, I saw another review that said the same."
[English],7,97,23,4,"July 6, 2018 ",Yum,"Lund, Sweden",Went for lunch with the family and the food was fresh and looked newly made. They have yummy Vietnamese summerrolls and various other Vietnamese dishes on offer. Seating is available but you can also do take away.
[English],7,25,2,4,"December 20, 2017 ",Simple Pho,"Lund, Sweden","去市场的时候看到这家越南河粉店，就决定无论如何要试一次。

中午在那吃饭的不少，我就要了一碗Pho，鸡肉的，也可以选牛肉。上来就是一碗清汤鸡肉河粉，配豆芽和青柠。自己可以加酱油和辣椒。粉还可以，是越南的味道，鸡肉不算很理想，大还是挺大块的，口味一般。

重点是这个价格吃中饭真的有点吃不饱啊！可能对我来说，Pho只是点心了。总体性价比比较低，不做回头客。

I really like Vietnamese food, especially Pho. So the moment I saw its poster, I decided to try.

89kr for a pho with chicken, the price is a little high. The soup is decent, with an original&local flavor. You can add soybean...More"
[English],7,33,5,4,"October 28, 2017 ",Small and average ,"Lund, Sweden",They have both vegetarian and vegan options. The food is average and the staff is very friendly. It's usually not busy. Food taste good.
[English],7,140,41,3,"August 1, 2017 ",Average Vietnamese,"Kortenberg, Belgium","We like Vietnamese cuisine a lot, but this restaurant is below average. We had a pho but it absolutely lacked flavor. You will find better meals in this saluhall."
[English],7,24,40,5,"May 17, 2017 ","Great place for a quick, hearty, authentic Vietnamese lunch!","Surrey, UK","The Saluhallen is a great place to visit at lunchtime, with lots of interesting food stalls and restaurants.  We really enjoyed our Vietnamese lunch here:  great value (for Sweden!) as the portions were so huge and typically Vietnamese.  There are a few tables to sit...More"
[English],7,51,4,5,"January 22, 2017 ",A very good viet restaurant,"Pune, India",We came the day before their opening day but no problem. We got a very good and tastful lunch. Keep up the very good work and you will be sel-known.
[Swedish],7,45,4,4,"November 29, 2018 ","Nytt försök, ny rätt",,"Testade en ny varmrätt idag med räkor, grönsaker och ris, enkelt jag vet, men görs det rätt så är det...More"
[Swedish],7,45,4,3,"October 28, 2018 ",Fresh spring roll,,"Goda vietnamesiska vårrullar, jag önskar dock att priset var ca 20kr lägre samt att man hade några trevliga hemmagjorda såser...More"
[Swedish],7,21,,3,"September 1, 2018 ",God vietnamesisk mat,,"Pho:n är ganska smaklös men kycklingen med ris är sensationell. Endast sex rätter att välja mellan, vegetariskt alternativ finns."
[Swedish],7,96,29,1,"August 22, 2018 ",Dåligt!,,"Hade jag varit vegetarian så hade jag varit hyfsat nöjd med grönsakerna som var riktigt krispiga, kanske lite väl krispiga,...More"
[Swedish],7,385,49,2,"January 13, 2018 ",Föeglöst,"Lund, Sweden","Åt ris med biff till lunch men tyvärr är den färglös och ganska trist.

Känns mer som medelmåttig asiatisk än...More"
[Swedish],7,105,18,4,"November 7, 2017 ",Mycket gott och fräscht!,"Kronoberg County, Sweden",Om du gillar asiatisk mat kommer du förhoppningsvis att tycka om den här vietnamesiska lilla restaurangen i Lunds saluhall. Goda...More
[Swedish],7,19,4,4,"February 28, 2017 ",Vilken soppa!,"Gothenburg, Sweden","Nudelsoppan gillade hela familjen, både barn och vuxna. Lite extra stark krydda att blanda i för dem som vill ha...More"
[Danish],1,17,3,4,"March 8, 2017 ",God mad til en billig penge ,"Copenhagen, Denmark","Betjeningen er høflig, maden er frisk og velsmagende. 
Udvalget er begrænset, men de tre retter, som vi fik var alle...More"
[Italian],1,195,40,4,"October 12, 2017 ",Nel mercato coperto.,"Rome, Italy","Niente di speciale ma mi è piaciuta abbastanza la cucina. Il problema è che è aperto solo a pranzo, chiude...More"
