[English],10,8,2,5,5 days ago ,Great service and lovely food,"Heaton, United Kingdom","Business dinner mid week, the food was authentic and lovely, served by attentive staff and described in detail by the chef himself. A gem of a place!"
[English],10,1,,1,"May 5, 2018 ",A Notably Bad Experience,"Lund, Sweden","This place has nothing going for it except the ambiance. Everything else was bad.

The chicken tacos we ordered were a good attempt at Mexican food given that we're in Sweden. However, there was ligament and a large piece of skin mixed in with the...More"
[English],10,16,6,3,"February 24, 2018 ",Great atmosphere... order the fish tacos,"Lund, Sweden",We loved the cozy atmosphere of the restaurant! The fish tacos were GREAT... in general the tacos were our favorite dish we tried. The flan for dessert was also really good.  We also tried a mole and the quesadillas and they were just OK.
[English],10,91,18,3,"December 23, 2017 ",Ouch!,"Lund, Sweden",Went on a date with the hubby a couple of months ago and ordered the days special which was tacos and beef. Second bite in i happened to bite into a tiny piece of bone which literally broke a bit of one of my back...More
[English],10,21,,4,"June 8, 2017 ",Very nice Mexican food...,,"Nice & friendly environment...
All the food is fresh and homemade providing real taste of Mexican food. Nachos are homemade and really need your attention with a cup of guacamole!
Tacos are tasty (chicken & fish one), and team is really nice...
Enjoy"
[English],10,47,9,5,"February 18, 2017 ","Very good food, nice atmosphere, easy to talk and here each other.","Lund, Sweden","Calm atmosphere, the staff give there guests time. Genuine mexican food, to make a reservation is a must."
[English],10,97,23,3,"November 26, 2016 ",Great new restaurant ,"Lund, Sweden",I had the set menu of 4 dishes decided by the kitchen. I found all the different dishes very tasty and filling. 1 was a dessert that was also very good. Service was friendly and you could tell that they are proud of their restaurant...More
[English],10,75,24,5,"October 22, 2016 ",Amazing,"Lido di Venezia, Italy","Such a nice place. The food is beautiful and people are incredible nice. Good wine selection.
I suggest you the chili! Tasty and with really soft meat!"
[English],10,181,24,4,"October 5, 2016 ",Great new restaurant,"Lund, Sweden","First time here. Great experience with superb food and perfectly matched beverages. Very affordable prices, with quick and helpful service!"
[English],10,76,30,4,"September 24, 2016 ",One of the best latin-american in the region,"Lund, Sweden","Small and cosy restaurant where you can start your dinner with a great drink and scrumptious yuca frita or nachos. A big plus for homemade snacks. This restaurant serves a lot of the regions specilities, occasionally even the much-loved pupusas which demands a lot of...More"
[Swedish],40,64,15,2,"December 28, 2018 ",Besvikna.,"Partille, Sweden","Valde restaurangen pga fina omdömen.

Familjen åt Chilato på högrev och taco på högrev. Högreven var tyvärr helt utan smak...More"
[Swedish],40,42,1,4,"December 10, 2018 ",Latinamerikanskt på riktigt ,"Lund, Sweden",Dos Hermanos är en restaurang som håller vad den lovar! Förutom god och vällagad mat där kocken blandar gamla familjerecept...More
[Swedish],40,45,4,4,"October 28, 2018 ",God mat och goda drinkar,,Jag vill minnas att i princip alla maträtter var goda men att jag i efterhand kände att man tagit sig...More
[Swedish],40,58,3,5,"September 29, 2018 ",Mysig restaurang supergod mat,"Lund, Sweden","Riktigt mysig restaurang.
Maten är suverän. Vi alla provade på de olika tacosen och alla var supernöjda. Roligt att de...More"
[Swedish],40,25,18,5,"June 15, 2018 ",Väl värt en omväg,Lund,En ganska kort meny men personalen är lyhörd o flexibel så vi kunde få vad vi ville ha. Färgsprakande o...More
[Swedish],40,15,1,5,"June 6, 2018 ",Mysig atmosfär och genuint kök,"Lund, Sweden",Dos Hermanos är en exklusiv restaurang med genuint kärleksfullt lagade rätter från centralamerika på menyn. Rekommenderar f f a pibil...More
[Swedish],40,16,,4,"April 19, 2018 ",Mycket gott och trevligt,"Lund, Sweden","En mysig och mycket trevlig restaurang. God mat och mycket goda drinkar.
Har aldrig blivit besviken när jag har varit...More"
[Swedish],40,63,45,5,"March 14, 2018 ",Skånes bästa! ,Malmö,"Besökte Dos Hermanos för första gången idag och detta är nu min nya favoritrestaurang. Fantastiskt god mat, supertrevlig personal och...More"
[Swedish],40,10,2,5,"February 1, 2018 ",Lunds bästa!,,"Såååå trevlig personal, tillmötesgående om man önskar ändra något i menyn, väldigt mysig lokal och supergod mat!"
[Swedish],40,1,,5,"January 29, 2018 ",Roliga smaker i trevlig miljö,"Verbier, Switzerland",Trevlig lokal och minst lika trevlig personal. Åt ca 3-4 smårätter som alla var i toppklass. Bäst i Lund!
[Danish],1,43,11,4,"November 3, 2018 ",Latin og lækkert,,"Intimt og lidt indeklemt nede i en kælder, men bestemt hyggeligt. Meget venlig og opmærksom betjening, der fløj forbi i...More"
[Dutch],1,24,10,5,"January 6, 2018 ",Best mexican ever!!,"Reeuwijk, The Netherlands","Zeer authentiek, vers en bijzonder. We lieten ons adviseren door het personeel en dat was een goede beslissing. Vistaco’s vooraf...More"
[Spanish],1,16,9,5,"December 23, 2016 ",Muy bueno,"Zamora, Spain","Estuve cenando con amigos y quedamos todos muy satisfechos.
El lugar es singular y agradable. El servicio muy atento y...More"
