[English],13,357,107,4,"October 26, 2018 ",Nice food in a nice atmosphere,"Lund, Sweden","The menu is very classic with local ingredients and with a touch, for example Sten Broman s whiskey meatballs. The staff friendly"
[English],13,214,59,4,"August 17, 2018 ",Very elegant,"Lund, Sweden","It is very elegant and atmospheric to be at Gambrinus. It is clear that also the price is according to the atmosphere. The room is big, everything is taken care in details and the staff is very professional and give a touch of sophistication.
The...More"
[English],13,80,17,5,"August 7, 2018 ",Affordable luxury,"Akureyri, Iceland","Very stylish but yet classical Swedish restaurant in old setting. The menu is simple yet desirable. Prices are fair considering the quality. Service is excellent and I do recommend the whiskey meatballs, at least if you want a Swedish classic. If your not into meat...More"
[English],13,81,3,5,"May 17, 2018 ",dinner beyond good,"Lund, Sweden",a few restaurants are beyond awesome some days. Today grand hotel in Lund so much delivered an festival in spring flavors. The 4 course dinner was beautiful and so tasty and the composition on micheline star ⭐️  level. Thanks Grand Hotel for giving us this...More
[English],13,40,6,4,"April 1, 2018 ",Typical Swedish restaurant in an old setting,"Giesbeek, The Netherlands","We had lunch at Cambrinus. It is a typical Swedish family restaurant with good quality food. We ordered the shrimp sandwich and the meat balls. All was tasty and the portions were not small. The meat balls were very good! Attentive and efficient service, this...More"
[English],13,649,177,4,"January 4, 2018 ",Bistro Gambrinus  at Grand Hotel,"Pietarsaari, Finland","I was visiting my daughter, who lives in Lund and she wanted to go to Bistro Gambrinus for a dinner. The food and wine was superb and the staff friendly. My daughter ordered their famous huge shrimp sandwich, but I prefer meat, so I took...More"
[English],13,122,53,4,"October 25, 2017 ","Great atmosphere, mediocre service","Toronto, Canada",I was surprised that a quality place like this would tolerate such lacklustre service from the wait staff. We had a waiter who was very anxious to move us out of our table near the end of our meal because he had other guests with...More
[English],13,114,13,4,"June 6, 2017 ",Never disappointed!,"Miami Beach, Florida","Come here as often as I can and have done so during past many years. Never disappointed! Food is of high quality and presented without any ""fuzz"". This time I had the big shrimp sandwich together with a cold Gambrinus beer. Truly enjoyable!"
[English],13,72,17,5,"May 8, 2017 ",friendly cosy and still with ambitions,"Antibes, France","It is the perfect spot, always people there and the choice of drinks wine and beers is more than sufficient"
[English],13,35,27,4,"April 9, 2017 ",OK,"Berlin, Germany","Went last night for dinner, everything was perfect. Excellent service, great food & good wine! Beautiful restaurant, will be back!"
[Swedish],117,48,3,4,4 weeks ago ,Prisvärd och trevlig bakficka på Grand Hotel,"Lidkoping, Sweden","Trevlig miljö och bra service. Kom sent alldeles innan köket skulle stänga, men fick möjlighet att välja fritt från menyn...More"
[Swedish],117,167,44,2,4 weeks ago ,Fish and chips?,"Malmo, Sweden","Nej Grand, detta duger icke. Man kan visst skoja till det med klassiker men då får man vara betydligt tydligare...More"
[Swedish],117,214,26,5,4 weeks ago ,God mat bra service,"Sollentuna, Sweden","Det gick lätt att få ett bord trots att jag inte beställt. Maten var god, lagom innovativ och en rejäl...More"
[Swedish],117,1,,1,5 weeks ago ,Skulle aldrig gått dit,,Uppklädda och förhoppningsfulla men så besvikna - igen! A la carte i julbordstid kanske är Grand övermäktigt men ta då...More
[Swedish],117,39,4,5,"October 4, 2018 ",Klassiskt,"Jonkoping, Sweden","Trevlig, jordnära personal. Bra lounge, sittning. Perfekt service, man känner sig väl emottagen och som hemma, fast folk som ilar!...More"
[Swedish],117,75,4,4,"October 1, 2018 ",Goda drinkar och mat i klassisk miljö,"Karlstad, Sweden","Drack en variant på Tom Collins med flädertouch som fördrink, syrlig och helt i min smak.

Till varmrätt en stor...More"
[Swedish],117,10,2,4,"August 28, 2018 ","God mat, bra läge",Bjärred,"Anrikt hotell i Lund med perfekt läge. God mat, vi åt den berömda räksmörgåsen. Bra service, väl värt ett besök."
[Swedish],117,37,23,5,"August 22, 2018 ",Mycket god middag i klassisk miljö,Stockholm,"Vi bodde på Grand Hotel och lyckades boka ett bord i den klassiska matsalen Gambrinus. Miljön som i Paris.
Trevlig...More"
[Swedish],117,93,13,4,"August 18, 2018 ",Bra,"Lund, Sweden",God mat i en härlig och fin miljö. Vi var nöjda med maten och servicen de gånger som vi har...More
[Swedish],117,7,1,3,"July 27, 2018 ",Fint upplagt men ingen höjdare smakmässigt ,"Lund, Sweden",Väldigt fin restaurang med god service men hade förväntat mig mer kvalitet och mer smakupplevelse för det priset. Entrecon var...More
[Danish],2,14,1,3,"October 21, 2017 ",Ikke imponerende...,"Soborg, Denmark","Vi var der en lørdag aften, hvor vi skulle have noget godt at spise. Menukortet var ikke omfattende, men vi...More"
[Danish],2,1,,3,"September 25, 2017 ",Perfekt 3 retters nenu - serveret i larmende bistro,,"Vi fik serveret en, i alle henseender perfekt tre retters menu. Men serveringen burde foregå i madsalen og ikke i...More"
[Italian],2,42,30,4,"July 26, 2017 ",Ottima cucina tipica svedese in un ambiente accogliente con servizio eccellente,"Padua, Italy",Abbiamo cenato in tre dopo aver prenotato via web (servizio preciso e puntuale). Il locale e l'atmosfera già ci hanno...More
[Italian],2,166,14,4,"September 13, 2016 ",Cucina gustosa in ambiente elegante,"Genoa, Italy","Abbiamo assaggiato le tipiche polpette di manzo svedesi (servite con purea di patate, una piccola arbanella di cetriolini sottaceto e...More"
[Polish],1,53,11,4,"November 7, 2018 ",Godne polecenia,"Zielonka, Poland","Ciekawe zestawienie ekskluzywnie wykończonego wnętrza z jedzeniem serwowanym na desce (przynajmniej w moim przypadku). Zamówiłem steka i się nie zawiodłem,...More"
