[English],132,38,10,4,4 weeks ago ,"Nice pizza, kids love it!",,"A great Italian inspired concept with several facilitites around Skåne. The restaurant in Lund is the smaller format CASA. It serves lunch and dinner. The menu holds antipasti, pizzas, salads, pastas and desserts. Our 10 year old totally loved the pizzas! The pizzas are thin...More"
[English],132,24,3,3,"October 28, 2018 ","Good food, poor environment","Vellinge, Sweden","The food here is great, and the service is usually also very good. The problem is that the sound level is way too high due to the total lack of textiles or anything else that absorbs the sound. Another minus is that the tables are...More"
[English],132,130,68,5,"July 25, 2018 ",Great Pizza,,"If you like Italian thin base pizza, then you cannot get much better than here.

Good choice of pizza toppings. I actually had a few extras on mine.

The salads are large and very good, especially the Salmon salad.

We shared an Anti-Pasti as a...More"
[English],132,19,10,5,"July 24, 2018 ",Nice food,"Lund, Sweden",Really nice service and their Salmon salad is gorgeous. It's near the central station i Lund and on a quiet street.
[English],132,30,4,1,"June 11, 2018 ",Pricey and oily,"Lund, Sweden","I didn't enjoy the pizza here at all - it was very oily and overwhelming, felt sick after eating less than half of my portion. Prices were very high; they even charged for the water! You could get something better for 60kr in other places...More"
[English],132,1,,1,"June 9, 2018 ",Way too pricey for what you get ,,"Experience was not great at all. Charged 10 crowns per person for one jug of water and food was not the greatest given the price. A lot of better, cheaper and fairer options in Lund you can go instead."
[English],132,12,4,3,"May 17, 2018 ","Nice, crispy pizzas :)",Sweden,"Nice, crispy pizzas. There is a wide variety of pizza offer, and you can always find something for your taste. Pastas are not that creative and tasty, so I would skip them. Also I didn't like the fact that they charge for tap water and...More"
[English],132,55,8,4,"May 12, 2018 ",Pizza and pasta and good,"Stockholm, Sweden",Ate there after a whole day of traveling. Food was delicious the bruschetta entre could have had more tasting tomatoes though. My pizza was excellent and my friends pasta was also great! I really recommend going there.
[English],132,12,4,4,"April 17, 2018 ",Feel like having a tasty pizza? Go to Vespa.,"Gothenburg, Sweden","I've visited the restaurant many times during more than 3 years.
Though I had the impression the quality went down a little, I still recommend the pizza (piccante is one of my favorites) or also the special lunch options. A few times I had pasta...More"
[English],132,178,22,4,"March 14, 2018 ",Very good pizza,"Lund, Sweden","We dropped by Vespa on Monday after not visiting for some time
Pizza was excellent as I remembered, quite close to pizza I've had in Italy
Service was fast and friendly
Don't let the construction nearby put you off, still a great atmospher"
[Swedish],171,368,138,2,2 weeks ago ,Gör godare pasta själv,"Malmo, Sweden",Var här med jobbet och åt. Vi började med lite kallskuret vilket var helt okej men snålt med ost. Beställde...More
[Swedish],171,6,,4,"December 19, 2018 ",Pizza,,Kanske bästa pizzan i Lund. Prissättningen är därefter. Men med tryffelpizza på menyn tycker jag inte man ska klaga! Bra...More
[Swedish],171,66,6,4,"December 11, 2018 ",Grymt bra mat,"Lidkoping, Sweden","Gillar Italiensk mat så blev inte besviken, riktigt bra mat och bra service och alla var nöjda i vårt sällskap"
[Swedish],171,2,,4,"November 21, 2018 ",Mmm,,"Vi var fyra vänner som åt goda pizzor med salami, breasola och skaldjur och vifick bra service. Väl värt ett...More"
[Swedish],171,37,,4,"November 18, 2018 ",Bra pizza,,Första gången vi åt i restaurangen. Mycket trevlig personal med bra service. Vi blev rekommenderade dricka & båda blev nöjd...More
[Swedish],171,17,1,3,"September 24, 2018 ",Gott men saknades sälta ,"Lund, Sweden",Var här tillsammans med min partner. Det första man märker av är att det är otroligt varmt och högljutt inne...More
[Swedish],171,10,1,3,"September 17, 2018 ",Vanlig pizza,"Stockholm, Sweden",Enkelt och smidigt att beställa och betala via nätet för att sedan hämta pizzorna från restaurangen. Smaken var dock alldaglig...More
[Swedish],171,5,7,1,"September 3, 2018 ",Under all kritik ,"Akarp, Sweden",Har hämtat mat på Vespa rätt många år nu men den senaste tiden har det fallerat allt mer och idag...More
[Swedish],171,93,13,3,"August 14, 2018 ",Ok,"Lund, Sweden",Helt ok mat men ganska mycket pengar för det som serveras. Trevlig atmosfär och ett trevligt bemötande.
