a,word,n_w
[Danish],er,2
[Danish],m,2
[Danish],af,1
[Danish],anlagt,1
[Danish],bes?gte,1
[Danish],bur,1
[Danish],bypark,1
[Danish],b?rn,1
[Danish],da,1
[Danish],dejlig,1
[Danish],dog,1
[Danish],en,1
[Danish],familie,1
[Danish],familien,1
[Danish],forfriskninger,1
[Danish],i,1
[Danish],kiosker,1
[Danish],k?be,1
[Danish],legeomr?de,1
[Danish],meget,1
[Danish],muligheder,1
[Danish],oase,1
[Danish],park,1
[Danish],parken,1
[Danish],pl?ner,1
[Danish],sev?rdig,1
[Danish],skaterbaner,1
[Danish],smukt,1
[Danish],stor,1
[Danish],s?,1
[Danish],s?er,1
[Danish],temaer,1
[Danish],var,1
[Danish],vi,1
[English],park,39
[English],place,17
[English],playground,14
[English],city,11
[English],summer,8
[English],restaurant,7
[English],year,7
[English],lake,6
[English],spring,6
[English],walk,6
[English],fun,5
[English],pond,5
[English],run,5
[English],stroll,5
[English],area,4
[English],day,4
[English],april,3
[English],cafe,3
[English],caf?,3
[English],center,3
[English],equipment,3
[English],exercise,3
[English],gym,3
[English],sit,3
[English],time,3
[English],town,3
[English],weather,3
[English],bit,2
[English],blanket,2
[English],boulder,2
[English],child,2
[English],climbing,2
[English],coffee,2
[English],environment,2
[English],family,2
[English],fountain,2
[English],garden,2
[English],nature,2
[English],nothing,2
[English],oasis,2
[English],picnic,2
[English],play,2
[English],pool,2
[English],project,2
[English],relaxing,2
[English],right,2
[English],rock,2
[English],running,2
[English],season,2
[English],side,2
[English],skatepark,2
[English],space,2
[English],visit,2
[English],wall,2
[English],abound,1
[English],absolute,1
[English],abundance,1
[English],accident,1
[English],adventure,1
[English],air,1
[English],alot,1
[English],avoid,1
[English],bar,1
[English],basis,1
[English],beach,1
[English],beachvolleyball,1
[English],beauty,1
[English],bench,1
[English],bike,1
[English],bird,1
[English],birdlife,1
[English],bottle,1
[English],boule,1
[English],calm,1
[English],care,1
[English],centralstation,1
[English],centre,1
[English],century,1
[English],chance,1
[English],cheese,1
[English],coffe,1
[English],color,1
[English],concert,1
[English],congregate,1
[English],cos,1
[English],couple,1
[English],crazy,1
[English],cream,1
[English],cup,1
[English],destination,1
[English],dinner,1
[English],display,1
[English],diversity,1
[English],end,1
[English],evening,1
[English],everyone,1
[English],everything,1
[English],excercise,1
[English],exotic,1
[English],experiance,1
[English],experience,1
[English],fall,1
[English],field,1
[English],fish,1
[English],fo,1
[English],food,1
[English],friend,1
[English],good,1
[English],graduate,1
[English],grass,1
[English],greenery,1
[English],heart,1
[English],hour,1
[English],ice,1
[English],icecream,1
[English],illumination,1
[English],jog,1
[English],king,1
[English],lawns,1
[English],life,1
[English],location,1
[English],lot,1
[English],lunch,1
[English],lund,1
[English],mating,1
[English],meter,1
[English],morning,1
