left,top,right,bottom,,fishnet-ID,building-area-sum,building_density,building_type,bu-sum-in-block,block area
856863.0751,-3665328.706,857063.0751,-3665528.706,0,1,0,0,,,
856863.0751,-3665528.706,857063.0751,-3665728.706,1,2,0,0,,,
856863.0751,-3665728.706,857063.0751,-3665928.706,2,3,0,0,,,
856863.0751,-3665928.706,857063.0751,-3666128.706,3,4,0,0,,,
856863.0751,-3666128.706,857063.0751,-3666328.706,4,5,0,0,,,
856863.0751,-3666328.706,857063.0751,-3666528.706,5,6,0,0,,,
856863.0751,-3666528.706,857063.0751,-3666728.706,6,7,0,0,,,
856863.0751,-3666728.706,857063.0751,-3666928.706,7,8,0,0,,,
856863.0751,-3666928.706,857063.0751,-3667128.706,8,9,0,0,,,
856863.0751,-3667128.706,857063.0751,-3667328.706,9,10,0,0,,,
856863.0751,-3667328.706,857063.0751,-3667528.706,10,11,0,0,,,
856863.0751,-3667528.706,857063.0751,-3667728.706,11,12,0,0,,,
856863.0751,-3667728.706,857063.0751,-3667928.706,12,13,0,0,,,
856863.0751,-3667928.706,857063.0751,-3668128.706,13,14,0,0,,,
856863.0751,-3668128.706,857063.0751,-3668328.706,14,15,0,0,,1,254144
856863.0751,-3668328.706,857063.0751,-3668528.706,15,16,0,0,,1,254144
856863.0751,-3668528.706,857063.0751,-3668728.706,16,17,0,0,,,
856863.0751,-3668728.706,857063.0751,-3668928.706,17,18,0,0,,,
856863.0751,-3668928.706,857063.0751,-3669128.706,18,19,0,0,,,
856863.0751,-3669128.706,857063.0751,-3669328.706,19,20,0,0,,,
856863.0751,-3669328.706,857063.0751,-3669528.706,20,21,0,0,,,
856863.0751,-3669528.706,857063.0751,-3669728.706,21,22,0,0,,,
856863.0751,-3669728.706,857063.0751,-3669928.706,22,23,0,0,,,
856863.0751,-3669928.706,857063.0751,-3670128.706,23,24,0,0,,,
856863.0751,-3670128.706,857063.0751,-3670328.706,24,25,0,0,,,
856863.0751,-3670328.706,857063.0751,-3670528.706,25,26,0,0,,,
856863.0751,-3670528.706,857063.0751,-3670728.706,26,27,0,0,,,
856863.0751,-3670728.706,857063.0751,-3670928.706,27,28,0,0,,,
856863.0751,-3670928.706,857063.0751,-3671128.706,28,29,0,0,,,
856863.0751,-3671128.706,857063.0751,-3671328.706,29,30,0,0,,,
856863.0751,-3671328.706,857063.0751,-3671528.706,30,31,0,0,,,
856863.0751,-3671528.706,857063.0751,-3671728.706,31,32,0,0,,,
856863.0751,-3671728.706,857063.0751,-3671928.706,32,33,0,0,,,
856863.0751,-3671928.706,857063.0751,-3672128.706,33,34,0,0,,,
856863.0751,-3672128.706,857063.0751,-3672328.706,34,35,0,0,,,
856863.0751,-3672328.706,857063.0751,-3672528.706,35,36,0,0,,,
856863.0751,-3672528.706,857063.0751,-3672728.706,36,37,0,0,,,
856863.0751,-3672728.706,857063.0751,-3672928.706,37,38,0,0,,,
857063.0751,-3665328.706,857263.0751,-3665528.706,38,39,0,0,,,
857063.0751,-3665528.706,857263.0751,-3665728.706,39,40,0,0,,,
857063.0751,-3665728.706,857263.0751,-3665928.706,40,41,0,0,,,
857063.0751,-3665928.706,857263.0751,-3666128.706,41,42,0,0,,,
857063.0751,-3666128.706,857263.0751,-3666328.706,42,43,0,0,,,
857063.0751,-3666328.706,857263.0751,-3666528.706,43,44,0,0,,,
857063.0751,-3666528.706,857263.0751,-3666728.706,44,45,0,0,,,
857063.0751,-3666728.706,857263.0751,-3666928.706,45,46,0,0,,,
857063.0751,-3666928.706,857263.0751,-3667128.706,46,47,0,0,,,
857063.0751,-3667128.706,857263.0751,-3667328.706,47,48,0,0,,,
857063.0751,-3667328.706,857263.0751,-3667528.706,48,49,0,0,,,
857063.0751,-3667528.706,857263.0751,-3667728.706,49,50,0,0,,,
857063.0751,-3667728.706,857263.0751,-3667928.706,50,51,0,0,,,
857063.0751,-3667928.706,857263.0751,-3668128.706,51,52,1402,0.03505,1,,
857063.0751,-3668128.706,857263.0751,-3668328.706,52,53,0,0,,1,254144
857063.0751,-3668328.706,857263.0751,-3668528.706,53,54,14985,0.374625,1,1,254144
857063.0751,-3668528.706,857263.0751,-3668728.706,54,55,4096,0.1024,1,1,254144
857063.0751,-3668728.706,857263.0751,-3668928.706,55,56,2574,0.06435,1,3,123418
857063.0751,-3668928.706,857263.0751,-3669128.706,56,57,1532,0.0383,1,1,19725
857063.0751,-3669128.706,857263.0751,-3669328.706,57,58,0,0,,,
857063.0751,-3669328.706,857263.0751,-3669528.706,58,59,0,0,,,
857063.0751,-3669528.706,857263.0751,-3669728.706,59,60,0,0,,,
857063.0751,-3669728.706,857263.0751,-3669928.706,60,61,0,0,,,
857063.0751,-3669928.706,857263.0751,-3670128.706,61,62,0,0,,,
857063.0751,-3670128.706,857263.0751,-3670328.706,62,63,0,0,,,
857063.0751,-3670328.706,857263.0751,-3670528.706,63,64,0,0,,,
857063.0751,-3670528.706,857263.0751,-3670728.706,64,65,0,0,,,
857063.0751,-3670728.706,857263.0751,-3670928.706,65,66,0,0,,,
857063.0751,-3670928.706,857263.0751,-3671128.706,66,67,0,0,,,
857063.0751,-3671128.706,857263.0751,-3671328.706,67,68,0,0,,,
857063.0751,-3671328.706,857263.0751,-3671528.706,68,69,0,0,,,
857063.0751,-3671528.706,857263.0751,-3671728.706,69,70,0,0,,,
857063.0751,-3671728.706,857263.0751,-3671928.706,70,71,0,0,,,
857063.0751,-3671928.706,857263.0751,-3672128.706,71,72,0,0,,,
857063.0751,-3672128.706,857263.0751,-3672328.706,72,73,0,0,,,
857063.0751,-3672328.706,857263.0751,-3672528.706,73,74,0,0,,,
857063.0751,-3672528.706,857263.0751,-3672728.706,74,75,0,0,,,
857063.0751,-3672728.706,857263.0751,-3672928.706,75,76,0,0,,,
857263.0751,-3665328.706,857463.0751,-3665528.706,76,77,0,0,,,
857263.0751,-3665528.706,857463.0751,-3665728.706,77,78,0,0,,,
857263.0751,-3665728.706,857463.0751,-3665928.706,78,79,0,0,,,
857263.0751,-3665928.706,857463.0751,-3666128.706,79,80,0,0,,,
857263.0751,-3666128.706,857463.0751,-3666328.706,80,81,0,0,,,
857263.0751,-3666328.706,857463.0751,-3666528.706,81,82,0,0,,,
857263.0751,-3666528.706,857463.0751,-3666728.706,82,83,0,0,,,
857263.0751,-3666728.706,857463.0751,-3666928.706,83,84,0,0,,,
857263.0751,-3666928.706,857463.0751,-3667128.706,84,85,0,0,,,
857263.0751,-3667128.706,857463.0751,-3667328.706,85,86,0,0,,,
857263.0751,-3667328.706,857463.0751,-3667528.706,86,87,0,0,,,
857263.0751,-3667528.706,857463.0751,-3667728.706,87,88,0,0,,,
857263.0751,-3667728.706,857463.0751,-3667928.706,88,89,3067,0.076675,1,1,46955
857263.0751,-3667928.706,857463.0751,-3668128.706,89,90,5707,0.142675,1,2,56821
857263.0751,-3668128.706,857463.0751,-3668328.706,90,91,4305,0.107625,1,2,160416
857263.0751,-3668328.706,857463.0751,-3668528.706,91,92,31087,0.777175,1,3,118188
857263.0751,-3668528.706,857463.0751,-3668728.706,92,93,21158,0.52895,1,1,254144
857263.0751,-3668728.706,857463.0751,-3668928.706,93,94,6293,0.157325,1,3,123418
857263.0751,-3668928.706,857463.0751,-3669128.706,94,95,4455,0.111375,1,3,53411
857263.0751,-3669128.706,857463.0751,-3669328.706,95,96,755,0.018875,1,1,116870
857263.0751,-3669328.706,857463.0751,-3669528.706,96,97,14369,0.359225,1,2,80884
857263.0751,-3669528.706,857463.0751,-3669728.706,97,98,19888,0.4972,1,2,80884
857263.0751,-3669728.706,857463.0751,-3669928.706,98,99,4435,0.110875,1,1,116870
857263.0751,-3669928.706,857463.0751,-3670128.706,99,100,0,0,,,
857263.0751,-3670128.706,857463.0751,-3670328.706,100,101,0,0,,,
857263.0751,-3670328.706,857463.0751,-3670528.706,101,102,1464,0.0366,1,,
857263.0751,-3670528.706,857463.0751,-3670728.706,102,103,2028,0.0507,1,,
857263.0751,-3670728.706,857463.0751,-3670928.706,103,104,3067,0.076675,1,,
857263.0751,-3670928.706,857463.0751,-3671128.706,104,105,0,0,,,
857263.0751,-3671128.706,857463.0751,-3671328.706,105,106,0,0,,,
857263.0751,-3671328.706,857463.0751,-3671528.706,106,107,0,0,,,
857263.0751,-3671528.706,857463.0751,-3671728.706,107,108,0,0,,,
857263.0751,-3671728.706,857463.0751,-3671928.706,108,109,0,0,,,
857263.0751,-3671928.706,857463.0751,-3672128.706,109,110,0,0,,,
