,fishnet-ID,full_id,fishnet-ID,block area
0,15,1,15,254144
1,16,1,16,254144
2,53,1,53,254144
3,54,1,54,254144
4,55,1,55,254144
5,56,3,56,123418
6,57,1,57,19725
7,89,1,89,46955
8,90,2,90,56821
9,91,2,91,160416
10,92,3,92,118188
11,93,1,93,254144
12,94,3,94,123418
13,95,3,95,53411
14,96,1,96,116870
15,97,2,97,80884
16,98,2,98,80884
17,99,1,99,116870
18,126,1,126,47745
19,127,2,127,47350
20,128,4,128,51379
21,129,2,129,55409
22,130,4,130,99318
23,131,2,131,148426
24,132,2,132,175265
25,133,3,133,54185
26,134,3,134,61013
27,135,3,135,95761
28,136,3,136,95761
29,137,1,137,116870
30,164,1,164,47745
31,165,4,165,29690
32,166,4,166,38253
33,167,1,167,44130
34,168,3,168,35147
35,169,4,169,81953
36,170,5,170,93034
37,171,4,171,70494
38,172,6,172,73793
39,173,2,173,121192
40,174,3,174,95761
41,175,1,175,116870
42,177,1,177,28220
43,178,2,178,24820
44,179,5,179,13841
45,180,4,180,5090
46,202,5,202,6412
47,203,6,203,9898
48,204,3,204,35088
49,205,3,205,32800
50,206,4,206,23458
51,207,6,207,18897
52,208,4,208,30811
53,209,2,209,70735
54,210,2,210,67104
55,211,2,211,100968
56,212,1,212,125514
57,215,3,215,35729
58,216,4,216,33815
59,217,7,217,10200
60,218,8,218,4503
61,239,1,239,44553
62,240,7,240,9480
63,241,12,241,8251
64,242,6,242,17034
65,243,4,243,17939
66,244,4,244,22041
67,245,5,245,22121
68,246,5,246,32633
69,247,5,247,51239
70,248,3,248,74307
71,249,4,249,78651
72,250,2,250,74734
73,252,1,252,12950
74,253,3,253,29168
75,254,3,254,27598
76,255,3,255,30491
77,256,5,256,4085
78,276,2,276,8371
79,277,5,277,15469
80,278,4,278,28628
81,279,5,279,13557
82,280,4,280,12458
83,281,8,281,6330
84,282,3,282,17731
85,283,3,283,26978
86,284,4,284,23129
87,285,3,285,60450
88,286,2,286,82568
89,287,2,287,56334
90,288,2,288,47042
91,289,1,289,70129
92,290,2,290,65517
93,291,2,291,44442
94,292,4,292,39079
95,293,2,293,45298
96,294,3,294,10815
97,295,1,295,5074
98,314,2,314,8371
99,315,5,315,14220
100,316,2,316,27008
101,317,3,317,59933
102,318,5,318,26963
103,319,9,319,5856
104,320,7,320,10870
105,321,2,321,16529
106,322,6,322,7941
107,323,7,323,5149
108,324,3,324,31885
109,326,4,326,28049
110,327,4,327,35938
111,328,3,328,30475
112,329,4,329,29851
113,330,3,330,31806
114,331,7,331,14086
115,332,12,332,7312
116,333,2,333,91022
117,354,1,354,36160
118,355,3,355,59933
119,356,2,356,71820
120,357,4,357,34350
121,358,6,358,7136
122,359,4,359,6851
123,360,7,360,5671
124,361,12,361,5822
125,362,7,362,19275
126,364,2,364,20469
127,365,5,365,34286
128,366,5,366,42945
129,367,3,367,34813
130,368,4,368,26561
131,369,4,369,15227
132,370,11,370,5657
133,371,1,371,176970
134,372,1,372,176970
135,373,1,373,176970
136,393,1,393,120745
137,394,1,394,120745
138,395,7,395,22952
139,396,10,396,6898
140,397,7,397,6642
141,398,8,398,7434
142,399,9,399,9646
143,400,4,400,31714
144,401,1,401,88713
145,402,3,402,16537
146,403,5,403,22783
147,404,4,404,23329
148,405,5,405,37892
149,406,8,406,25642
150,407,7,407,13621
151,408,9,408,4102
152,409,1,409,176970
153,410,1,410,176970
154,411,1,411,176970
155,412,1,412,176970
156,429,2,429,9401
157,432,1,432,9458
158,433,5,433,7003
159,434,8,434,6073
160,435,9,435,9027
161,436,8,436,9962
162,437,4,437,10800
163,438,1,438,5532
164,440,4,440,11174
165,441,6,441,13180
166,442,13,442,15212
167,443,6,443,14136
168,444,6,444,22305
169,445,7,445,13324
170,446,9,446,6421
171,447,2,447,91950
172,448,1,448,176970
173,449,1,449,176970
174,450,1,450,3487
175,466,3,466,10019
176,467,8,467,15669
177,468,3,468,19144
178,469,1,469,42084
179,473,4,473,11108
180,474,8,474,7310
181,475,4,475,6051
182,477,2,477,18346
183,478,6,478,10663
184,479,8,479,12509
185,480,10,480,12480
186,481,5,481,11497
187,482,5,482,11612
188,483,4,483,13352
189,484,7,484,9923
190,485,3,485,8440
191,486,1,486,26388
192,487,2,487,9726
193,488,4,488,9289
194,489,2,489,40679
195,490,1,490,35435
196,492,1,492,78935
197,504,7,504,10103
198,505,8,505,13770
199,506,5,506,23264
200,507,6,507,15238
201,508,2,508,3564
202,510,1,510,21390
203,511,3,511,18050
204,512,4,512,11992
205,513,5,513,7776
206,514,1,514,15616
207,515,2,515,18346
208,516,7,516,11433
209,517,8,517,10276
210,518,9,518,10719
211,519,6,519,16135
212,520,8,520,9991
213,521,3,521,10453
214,522,1,522,20337
215,524,1,524,26388
216,525,2,525,10015
217,526,4,526,12109
218,527,3,527,33346
219,528,2,528,27070
220,529,1,529,78935
221,530,2,530,47829
222,531,2,531,47829
223,541,1,541,5581
224,542,5,542,22983
225,543,3,543,19410
226,544,5,544,14756
227,545,8,545,11157
228,546,2,546,8200
229,548,2,548,79995
230,549,3,549,57120
231,550,3,550,58803
232,551,3,551,26463
233,552,4,552,25545
234,553,7,553,14764
235,554,6,554,13387
236,555,4,555,8393
237,556,8,556,9182
238,557,5,557,16078
239,558,3,558,14730
240,559,1,559,5123
241,560,1,560,32277
242,561,1,561,32277
243,562,3,562,22192
244,563,4,563,11451
245,564,5,564,23030
246,565,3,565,33281
247,566,2,566,27070
248,568,2,568,47829
249,569,3,569,37576
250,579,1,579,50735
251,580,3,580,26256
252,581,4,581,39735
253,582,3,582,54441
254,583,3,583,54441
255,584,1,584,64388
256,586,1,586,138600
257,587,1,587,138600
258,588,1,588,138600
259,589,1,589,50725
260,590,4,590,23435
261,591,7,591,18228
262,592,6,592,24376
263,593,5,593,32766
264,594,4,594,17603
265,595,8,595,12852
266,596,7,596,13994
267,599,4,599,15334
268,600,5,600,13844
269,601,4,601,11228
270,602,5,602,25447
271,603,2,603,37541
272,606,2,606,48004
273,607,3,607,37576
274,617,2,617,31831
275,618,4,618,23987
276,619,5,619,42785
277,620,1,620,110848
278,621,1,621,110848
279,622,1,622,64388
280,623,1,623,64388
281,624,3,624,58450
282,625,5,625,37820
283,628,2,628,32259
284,629,3,629,25930
285,630,4,630,32281
286,631,4,631,28985
287,632,7,632,14842
288,633,8,633,14524
289,634,4,634,17833
290,635,3,635,23749
291,636,2,636,20224
292,637,5,637,11371
293,638,9,638,8997
294,639,6,639,8173
295,640,3,640,12513
296,641,3,641,10888
297,655,1,655,12927
298,656,3,656,27030
299,657,4,657,54662
300,658,2,658,75243
301,659,1,659,110848
302,660,1,660,64388
303,661,1,661,64388
304,662,1,662,24463
305,663,3,663,17020
306,664,1,664,14571
307,668,3,668,14328
308,669,4,669,16488
309,670,6,670,10367
310,671,10,671,10373
311,672,7,672,10382
312,673,6,673,17622
313,674,6,674,17680
314,675,6,675,17753
315,676,4,676,20100
316,677,3,677,117237
317,678,3,678,113158
318,679,3,679,112582
319,680,2,680,13339
320,681,5,681,12863
321,682,1,682,25791
322,694,1,694,51819
323,695,4,695,27002
324,696,4,696,15327
325,697,3,697,20224
326,698,4,698,46322
327,699,2,699,82127
328,700,1,700,12948
329,701,1,701,12948
330,702,2,702,12048
331,705,2,705,18305
332,706,5,706,21931
333,707,5,707,16816
334,708,8,708,9072
335,709,7,709,13136
336,710,8,710,12654
337,711,12,711,12865
338,712,11,712,12698
339,713,5,713,16280
340,714,3,714,31495
341,715,3,715,129969
342,716,1,716,314750
343,717,1,717,314750
344,718,5,718,73151
345,719,6,719,64784
346,720,1,720,25791
347,731,1,731,53791
348,732,1,732,53791
349,733,5,733,9758
350,734,6,734,8870
351,735,1,735,5671
352,736,2,736,52768
353,737,1,737,99865
354,739,1,739,39306
355,740,2,740,25227
356,742,1,742,50174
357,743,6,743,21769
358,744,5,744,21950
359,745,9,745,23259
360,746,8,746,10370
361,747,6,747,14214
362,748,8,748,15901
363,749,7,749,16554
364,750,6,750,15637
365,751,2,751,19218
366,752,9,752,13767
367,753,8,753,59834
368,754,4,754,101923
369,755,1,755,314750
370,756,1,756,314750
371,757,1,757,314750
372,769,2,769,33529
373,770,3,770,25108
374,771,4,771,6851
375,772,7,772,15969
376,773,3,773,59987
377,774,2,774,87090
378,775,1,775,99865
379,777,1,777,39306
380,778,1,778,39306
381,779,1,779,50174
382,780,4,780,22103
383,781,6,781,18500
384,782,9,782,24593
385,783,4,783,34342
386,784,5,784,39831
387,785,5,785,30110
388,786,8,786,17762
389,787,8,787,16941
390,788,7,788,21768
391,789,6,789,19243
392,790,9,790,12210
393,791,5,791,24979
394,792,3,792,134866
395,793,1,793,314750
396,794,1,794,314750
397,807,2,807,11286
398,808,7,808,7103
399,809,8,809,6805
400,810,9,810,13752
401,811,2,811,83657
402,812,3,812,73513
403,818,3,818,15231
404,819,7,819,14418
405,820,7,820,12834
406,821,8,821,21726
407,822,5,822,37891
408,823,2,823,53754
409,824,5,824,23391
410,825,5,825,18345
411,826,4,826,28521
412,827,8,827,14989
413,828,6,828,13568
414,829,7,829,17498
415,830,2,830,193730
416,831,2,831,193730
417,845,2,845,17549
418,846,5,846,10186
419,847,9,847,6207
420,848,8,848,21203
421,849,3,849,38959
422,850,3,850,25701
423,851,3,851,59902
424,852,1,852,52100
425,853,2,853,49082
426,854,2,854,67236
427,855,1,855,88408
428,856,3,856,37006
429,857,2,857,16560
430,858,6,858,10974
431,859,9,859,11695
432,860,6,860,19458
433,861,8,861,21588
434,862,8,862,10934
435,863,9,863,9783
436,864,8,864,23558
437,865,10,865,13276
438,866,8,866,8144
439,867,4,867,24117
440,868,1,868,72709
441,883,1,883,25791
442,884,4,884,10533
443,885,8,885,7860
444,886,5,886,34177
445,887,3,887,38957
446,888,4,888,37870
447,889,3,889,69946
448,890,4,890,94984
449,891,2,891,122238
450,892,3,892,110961
451,893,2,893,61767
452,894,6,894,34007
453,895,3,895,21876
454,896,7,896,10017
455,897,9,897,10310
456,898,10,898,7186
457,899,8,899,6613
458,900,11,900,5877
459,901,12,901,5839
460,902,5,902,22452
461,903,4,903,26775
462,904,2,904,7013
463,922,1,922,5960
464,923,4,923,10902
465,924,6,924,31313
466,925,3,925,40647
467,926,3,926,45688
468,927,2,927,78870
469,928,2,928,140886
470,929,1,929,198412
471,930,1,930,198412
472,931,4,931,85614
473,932,3,932,31009
474,933,5,933,12901
475,934,10,934,7356
476,935,6,935,9235
477,936,8,936,6222
478,937,5,937,10115
479,938,12,938,5267
480,939,10,939,4141
481,940,4,940,38671
482,941,2,941,72286
483,942,3,942,42604
484,943,1,943,18922
485,961,1,961,17887
486,962,2,962,18686
487,963,1,963,19485
488,965,2,965,78870
489,966,3,966,119802
490,967,3,967,109125
491,968,2,968,124871
492,969,2,969,109462
493,970,2,970,109462
494,971,4,971,8729
495,972,6,972,6878
496,973,4,973,9823
497,974,3,974,12227
498,975,1,975,21522
499,976,3,976,34742
500,977,4,977,54472
501,978,2,978,95926
502,979,2,979,95926
503,980,6,980,48098
504,981,2,981,23213
505,1004,1,1004,77635
506,1005,2,1005,64482
507,1006,3,1006,28848
508,1007,3,1007,16454
509,1008,4,1008,15594
510,1009,2,1009,40441
511,1010,1,1010,68906
512,1011,1,1011,16157
513,1012,6,1012,7095
514,1013,6,1013,5518
515,1014,1,1014,76390
516,1015,2,1015,64798
517,1016,3,1016,81686
