1949,1,Correlation and integration: A study in city building,"AJ Dickson - New Zealand Engineering, 1949 - search.informit.com.au","… They contained slums or advanced decadence, and over wide areas obsolescence was rife.
On main traffic routes congestion frequently was so great as to sap the city's vitality by strangulation.
Authorities seemed to be fighting a losing battle with dis- integrating forces … 
",   
1957,1,The Reconstruction of Warsaw,"S Dziewulski, S Jankowski - Town …, 1957 - online.liverpooluniversitypress.co.uk","… Copyright (c) Liverpool University Press Page 2. 210 THE RECONSTRUCTION OF WARSAW
OCTOBI R of the former population remained. However, the city's vitality gave impetus to
reconstruction. The National Assembly of 165""9 appointed a commission … 
",  Cited by 4 Related articles All 3 versions  
1962,2,Panning the Planners,PA Pfretzschner - 1962 - JSTOR,"… Why, through plan- ning, of course. The sober truth is that Jane Jacobs is a city planner after all.
Only she would do it differently. ""Consider,"" she asks us, ""the kind of goals at which city planning
must begin to aim, if the object is to plan for city vitality."" What are the goals … 
",  Cited by 2 Related articles  
1962,2,The amplitude of design,"EW Strong - Journal of the American Institute of Planners, 1962 - Taylor & Francis","… metropolitan areas. Today we are not competent to do so'' (p. 427). To plan for city vitality
including the “clarifying the visual order of cities,” the planners need to have precise
and thorough knowledge of specific places. “Only supermen … 
",  Cited by 3 Related articles  Library Search 
1964,1,[PDF][PDF] The relationship of traffic attracted to zones in a city's central business district to intrazonal floor space use,PH Wright - 1964 - smartech.gatech.edu,"Page 1. ""In presenting the dissertation as a partial fulfillment of the requirements
for an advanced degree from the Georgia Institute of Technology, I agree that the
Library of the Insti- tution shall make it available for inspection … 
",  Cited by 2 Related articles All 2 versions  View as HTML 
1965,1,[PDF][PDF] Relationships of Traffic and Floor Space Use in the Central Business District,"PH Wright - Highway Research Record, 1965 - onlinepubs.trb.org","… METROPOLITAN POPULATION, THOUSANDS Figure 1. Relationship of retail coefficients
to city population. 4000 Page 7. 160 size. A comparison of certain economic measures of
city vitality seems to mirror the differences noted in the traffic models … 
",  Cited by 3 Related articles All 2 versions  View as HTML 
1970,1,Poetry for Urban Youth: A Selected Booklist of Individual Collections And Anthologies of the 1960's,"LB Hopkins - Elementary English, 1970 - JSTOR","… of the future. Because of my own love for the city, I have cast my vote for revitalizing
these centers of life and growth. Leťs allow young people to catch and appreciate
the city's vitality, spirit, and many moods. Read them a poem … 
",  Cited by 1 Related articles All 2 versions  
1971,1,[BOOK][B] A Selection of Views on the Reorganization of Government in Greater Winnipeg,"L Axworthy, J McNiven, P Wichern, J Cassidy… - 1971 - winnspace.uwinnipeg.ca","… These are the kinds of places that give a city vitality and color. The list could be extended. What
is important is that the above priorities show that a very different kind of local government is
needed in order to give leadership to this community in finding answers for the future … 
",  Cited by 2 Related articles All 2 versions  View as HTML 
1972,2,Urban Dynamics and public policy,"MH Whithed - IEEE Transactions on Systems, Man, and …, 1972 - ieeexplore.ieee.org","… The analysis Banfield develops correlates rather well with that of Forrester in Urban Dynamics
when he suggests that public housing programs for the underemployed only lead to a deterioration
of the city's vitality for all classes, includ- ing the underemployed who were … 
",  Cited by 5 Related articles All 2 versions  
1972,2,[PDF][PDF] Lowell dynamics: preliminary applications of the theory of urban dynamics.,WW Schroeder - 1972 - dspace.mit.edu,"… (7) Toward the end of the nineteenth century, however, the city's vitality, as measured
by the growth in population (Figure 2) began to falter. Even before growth actually
stopped, people in the city were aware that their city was changing … 
",  Cited by 6 Related articles  
