1953,1,[BOOK][B] The Renaissance: a history of civilization in Italy from 1304-1576 AD,"W Durant, A Durant - 1953 - books.google.com","Page 1. THE STORY OF CIVILIZATION THE RENAISSANCE DURANT Page 2. DUCH 7 i> AY
O Y1 xS/wtf** vr • . , Turin, » Tkt^* Cremcnm MAnhuv Uty DUC HI 17/ Cc'rr.V^' """"^ 0-7* - «"" "" T*
TMr. MODENA Fistvut* ^ -7 V « (tu2 Central ITALY in Hit XTariJ&l (jnturks Page 3 … 
",  Cited by 81 Related articles All 3 versions  Other options 
1963,1,[HTML][HTML] Towards a positive local government policy for residential rehabilitation,GW Fitzpatrick - 1963 - open.library.ubc.ca,"Learning, knowledge, research, insight: welcome to the world of UBC Library,
the second-largest academic research library in Canada.
",  All 2 versions  Other options Cached 
1966,1,[PDF][PDF] Systems of urban growth.,NP Negroponte - 1966 - dspace.mit.edu,"Page 1. SYSTEMS OF URBAN GROWTH by NICHOLAS NEGROPONTE Submitted in Partial
Fulfillment of the Requirements for the Degree of Bachelor of Architecture at the
MASSACHUSETTS INSTITUTE OF TECHNOLOGY September, 1965 A Signature of Author ' … 
",  Cited by 5 Related articles All 2 versions  View as HTML 
1967,2,Central-City Ghettos Need An Operation Urban Survival,"WM Young Jr - Business Economics, 1967 - JSTOR","… in the community. Opera tion Urban Survival would put the ghetto back into the city,
make it a living part of the city, a symbol of urban vitality and strength, not a showcase
of weak ness and brutality. ► Operation Urban Survival … 
",  Cited by 1 Related articles  Other options 
1967,2,[PDF][PDF] A new town.,HG Zeller - 1967 - dspace.mit.edu,"… service accessibility for all uses within the city. A con- stant awareness of the importance of
transportation as the generator of urban vitality, as patterning new forms of so- cial interaction,
as a structuring element for urban develop- 13. Page 15. ment is paramount to city design … 
",  All 2 versions  View as HTML 
1968,1,Cultural centers in the urban structure,DB Hebert - 1968 - scholarship.rice.edu,"Page 1. RICE UNIVERSITY CULTURAL CENTERS IN THE URBAN STRUCTURE by Donald
B. Hebert A THESIS SUBMITTED IN PARTIAL FULFILLMENT OF TEE REQUIREMENTS FOR
TEE DEGREE OF MASTER OF ARCHITECTURE O. L^Ocis Houston, Texas May 1968 … 
",   View as HTML 
1970,4,Urban compactness and its progress towards sustainability: the Hong Kong scenario,"SBA Coorey, SSY Lau - WIT Transactions on Ecology and the …, 1970 - witpress.com","… High densities are seen to be fundamental to urban vitality and creativity (Burton [1]) but increase
in development pressure and demand for uses with high value addition to land can also destroy
diversity (Jacobs [8]). It is suggested that a combination of high density and mix use … 
",  Cited by 5 Related articles All 2 versions  Other options View as HTML 
1970,4,New Urban Colleges for the Seventies,"WF Brazziel - The Journal of Higher Education, 1970 - Taylor & Francis","… A course in urban political processes should develop the informed city councilmen, mayors,
and school board and planning commission members so important to urban vitality. Humanities
courses would be frank about the dehumanizing aspects of the city … 
",  Cited by 2 Related articles All 3 versions Web of Science: 1  
1970,4,Transformations in the night-time economy in English town centres: challenges to management,"M Roberts - WIT Transactions on Ecology and the Environment, 1970 - witpress.com","… www.civictrust.org.uk/evening/survey.shtml [10] Tiesdell, S. & Slater, AM Managing Urban Vitality:
Spatial and Temporal Control in the Evening and Night-Time Economy Report for the RICS
Foundation December 2003, Aberdeen: University of Aberdeen, 2003 … 
",  Cited by 4 Related articles All 3 versions  Other options View as HTML 
1970,4,[PDF][PDF] The Press and the Sword: Armenian Journalism Since 1512,"K Mooradian - Journalism Quarterly, 1970 - journals.sagepub.com","… grazing lands through destruction. While the West experienced economic and scien-
tific advances, Armenia under the Turks was pushed back into a retrogressive
feudalism which sapped urban vitality. Under such conditions … 
",  Cited by 2 Related articles All 3 versions  
1972,1,Housing the elderly in new communities,CC Kwan - 1972 - scholarship.rice.edu,"Page 1. HICE UNIVERSITY HOUSING THE ELDERLY IN NEW COMMUNITIES by Chun Chuen
Kwan A THESIS SUBMITTED IN PARTIAL FULFILLMENT OF THE REQUIREMENTS FOR THE
DEGREE OF MASTER IN ARCHITECTURE Thesis Director: Houston, Teras … 
",  Related articles  View as HTML 
1973,3,IgA synthesis by jejunal biopsies from patients with cystic fibrosis and hereditary pancreatitis,"ZM Falchuk, LM Taussig - Pediatrics, 1973 - Am Acad Pediatrics","Page 1. this IgA with and Abbreviations CF: Cystic fibrosis BAC: Bromacetyl cellulose
HP: Hereditary pancreatitis (Received May 22; revision accepted for publication
July 20, 1972.) Presente(l in part at the Annual Meeting of … 
",  Cited by 7 Related articles All 3 versions Web of Science: 7  
1973,3,Approaches to Community: Conflicts and Complmentarities,"MP Effrat - Sociological Inquiry, 1973 - Wiley Online Library","Page 1. Approaches to Community: Conflicts and Com pl em en ta r i t i es * MARCIA
PELLY EFFRAT York University, Toronto Two main controversies-over territorial
grounding and over the range of functions-have divided theoretical … 
",  Cited by 65 Related articles Web of Science: 14  
1973,3,[PDF][PDF] American painting during the Cold War,"M Kozloff - Artforum, 1973 - timothyquigley.net","… Where artists like Léger and Mondrian deeply sympathized with the urban vitality of America,
this was precisley the motif— especially in its accent on machined rhythms—that the Abstract
Expressionists thought deadening to the human soul and had to escape … 
",  Cited by 173 Related articles  View as HTML 
1974,4,Urban papers under pressure,"L Bogart - Columbia Journalism Review, 1974 - search.proquest.com","… How this dilemma should be resolved, if it can be, is be- yond the scope of this article.
I can merely argue that the metropolitan press must give high pri- ority to the public
issues that relate to the main- tenance of urban vitality … 
",  Cited by 5 Related articles  
1974,4,Crime prevention by urban design,"HL Nieburg - Society, 1974 - Springer","… increasing pathology of the whole mode of life in the great metropolis, pathology that is directly
proportionate to its overgrowth, purpose- less materialism, congestion, and insensate disorder--
the very conditions she vehemently upholds as marks of urban vitality."" He ascribed … 
",  Cited by 9 Related articles All 2 versions  
1974,4,[PDF][PDF] Urban homesteading: once more down the yellow brick road,"MJ Akre - Envtl. Aff., 1974 - HeinOnline","… buildings. This process of demoli- tion has been the traditional governmental
approach to the eradica- tion of slum housing.2' Further, the program performs the
function of maintaining urban vitality by removing housing waste … 
",  Cited by 3 Related articles All 3 versions  
1974,4,Musings in Munich,"R GAY, P GAY - The American Scholar, 1974 - JSTOR","… exercise in traditionalism th experiments with the good and the bad alike. And this
sense o urban vitality, which is so often a blight on the imagination, h served Munich
well. It has led the city administration to ra only what could … 
",   Other options 
1975,2,The Encroaching Sodom: Melville's Urban Fiction,"JP Stout - Texas Studies in Literature and Language, 1975 - JSTOR","… 375-76) . Only twice in the book does Melville suggest a positive view of urban vitality, and in
both instances the effect is ironic. Jack Chase, com- paring the ship to a ""metropolis,"" says, ""Here's
the place for life and commotion; here's the place to be gentlemanly and jolly"" (p. 16) … 
",  Cited by 3 Related articles All 2 versions Web of Science: 1  Other options 
1975,2,Cumae in the Roman Imperial Age,"JR Fears - Vergilius (1959-), 1975 - JSTOR","Page 1. CUMAE IN THE ROMAN IMPERIAL AGE* The oldest of all Sicilian and Italian
colonies according to Strabo, Cumae was once proud mistress of its bay and mother
city to Zancle, Parthenope, and Dicaearchia.1 Cumae … 
",  Cited by 8 Related articles All 2 versions  
1976,3,Problems of Long-Range Travel Behaviour Forecasts in Developing Countries,"M Ueberschaer - Transportation Planning for a Better Environment, 1976 - Springer","… land-uses. The longer travel- times caused by these facts can only be stopped by
an improved transportation network. Otherwise the urban vitality and economic
development of these cities will stagnate and decay. Generally, it … 
",   Other options 
1976,3,Not All Jewish Families Are Alike--A Story,"J Kaplan - Commentary, 1976 - search.proquest.com","… And to a remote and isolated place in the country at that. What about urban vitality? The streets
and neighborlhoods teeming witli real life, the com- mutnity of men? Slaviin-Ezra Benjamin.
Suddenly, in New Yor' City on March 12, 1974. Husband of Georgeanne … 
",   Other options 
1976,3,"[PDF][PDF] Humphrey Rivulet, Glenorchy: proposal for an open space system","M Clark, JA Russell - 1976 - eprints.utas.edu.au","Page 1. HUMPHREY RIVULET, GLENORCHY Proposal for an open space system
04. c ft env, St, EAvattlat' 04-,t4 5 Malcolm Clark; MIE Aust., M,RAPI Jim Russell,
BA (Psych. Hons.), Dip.Ed. Being a Thesis Submitted in Part … 
",  Related articles  View as HTML 
1977,5,"[PDF][PDF] Housing for the historical district Charleston, South Carolina",RE Epps - 1977 - tigerprints.clemson.edu,"… recognize the importance of nucleus of urban vitality . must extend beyond the 9-5 the residential
environ as the … Renewed interest in urban residential develop- ment offers not only opportunities
for new urban vitality but a sense of community and responsibility for the well … 
",  Related articles All 2 versions  
1977,5,Computer Chess Champi,CD Levy - 1977 - ieeexplore.ieee.org,"… found. For new industrial fact book, write or call: David Richmond, ClD Dir., Economic
Development Board PO Box 29, 500 Franklin Street Columbus, IN 47201 TEL: (812)
3794457 Urban Vitality In A Small Town Setting scripts … 
",  All 2 versions  
1977,5,Microsystems Personal Computing Dissected (there's a Piece for Everyone),"P Isaacson - Computer, 1977 - ieeexplore.ieee.org","… not just bigger. For new industrial fact book, write or call: David Richmond, CID Dir., Economic
Development Board PO Box 29, 500 Franklin Street Columbus, IN 47201 TEL: (812) 3794457
Urban Vitality In A Small Town Setting Reader Service Number 11 OBJECTIVE … 
",  Cited by 8 Related articles All 4 versions Web of Science: 3  
1977,5,High-rise habitat,"LS Beedle - The Many Facets of Human Settlements, 1977 - Elsevier","… In support of that definition we speak now to the High-rise Habitat, that ""place of living"" in
a settlement that is a cluster of tall buildings mixed with other structures which contribute to
the physical source of urban vitality. First of all, what is a tall building … 
",  Cited by 6 Related articles All 3 versions Web of Science: 1  Other options 
1977,5,The English Fishing Industry in the Sixteenth Century: The Case of Great Yarmouth,"R Tittler - Albion, 1977 - cambridge.org","… Yarmouth had long been closely linked, as an emerging London in miniature, and further attests
to the urban vitality of Yarmouth itself."" Below the lofty ranks of the owners, the common fishermen
and mariners were the backbone of the industry and, as is so often the case with … 
",  Cited by 15 Related articles All 4 versions Web of Science: 5  
1978,7,The architecture of urban housing in the United States during the early 1930s,"R Pommer - Journal of the Society of Architectural Historians, 1978 - jsah.ucpress.edu","Page 1. The Architecture of Urban Housing in the United States during the Early I930S
RICHARD POMMER Art Department, Vassar College The housing programs
undertaken by the federal govern- ment in 1932-1934 through … 
",  Cited by 55 Related articles All 5 versions Web of Science: 18  
1978,7,[PDF][PDF] Prophets,K Browne - 1978 - sinolord.com,"… innovative cultural institutions. They are now not merely symbols of success and
civic sophistication, as they were assumed to be in the 20th century, but are in fact
the reasons for urban vitality in the 21st century. The best cities … 
",  Cited by 8 Related articles All 10 versions  View as HTML 
1978,7,"Review of: Jean-Claude Garcin,"" Un centre Musulman de la Haute-Egypte Médiévale: Qus""","I Lapidus - Journal of the Economic and Social History of the …, 1978 - search.proquest.com","… presentation. Rarely is the rela- tionship between bedouins and states—not just
between bedouins and settled peoples –so fully appreciated. Rarely are the forces
which make for urban vitality and decline so precisely noted. Since … 
",  Cited by 1 Related articles  
1978,7,"[HTML][HTML] Housing prices, government policy, and urban decay: a tentative hypothesis, a possible connection, and a policy suggestion",JC Cox - 1978 - open.library.ubc.ca,"Learning, knowledge, research, insight: welcome to the world of UBC Library,
the second-largest academic research library in Canada.
",  All 2 versions  Other options Cached 
