cities,30
sustainability,29
urban studies,25
journal of urban design,22
international journal of,20
新建筑,14
city,13
applied mechanics and materials,13
urban design international,13
land use policy,12
built environment,12
journal of landscape research,11
advanced materials research,11
european planning studies,10
journal of urban history,10
town planning review,10
journal of the american planning association,9
urban geography,9
sustainable cities and society,8
journal of architectural education,7
journal of planning education and research,7
architecture culture,6
china city planning review,5
huazhong architecture,5
geography compass,5
australian planner,4
journal of roman archaeology,4
the urban wisdom of jane jacobs,4
国际城市规划,4
housing policy debate,4
social indicators research,4
perspectives on jane jacobs reassessing the,4
international journal of cultural policy,4
isprs international journal of geo,4
transport policy,4
urban policy and research,4
urban affairs review,4
territorio,4
transportation,4
mapping urbanities,4
proceedings of the,4
space and culture,4
open house international,4
the past and future city,4
planning perspectives,4
annals of the american association of geographers,4
地球信息科学学报,3
canadian public policy analyse de politiques,3
society,3
media international australia incorporating,3
journal of planning history,3
the journal of space syntax,3
한국생태환경건축학회 논문집,3
planning theory practice,3
ekistics,3
nakhara journal of environmental design and,3
european journal of,3
wit transactions on ecology and the environment,3
international journal of environmental,3
energy procedia,3
landscape and urban planning,3
environment and planning b planning and,3
tema journal of land use,3
fordham urb lj,3
state of australian cities soac conference,3
antipode,3
urban science,3
journal of transport health,3
local environment,3
journal of urbanism international,3
international planning studies,3
landscape architecture frontiers,3
regional studies,3
journal of urban,3
frontiers of architectural research,3
journal of urbanism,3
urban planning,3
current urban studies,3
procedia engineering,3
the social fabric of cities,3
journal of urbanism international research on,3
planners,3
and planning a,3
,3
transportation research procedia,3
town,3
planning practice research,3
journal of architectural and planning research,3
journal of planning education and,3
urban planning international,3
the classical review,3
the 2nd international symposium on rail transit,3
change over time,3
international journal of urban,3
cultural geographies,3
environment and planning c government and,3
transportation research record,3
sustainable innovation and regional development,2
journal of human settlements in west china,2
current world environment,2
the town planning review,2
contour journal,2
lives,2
state of australian cities national conference,2
city planning review,2
proceedings,2
mayor,2
journal of property,2
canadian journal of communication,2
s cal interdisc lj,2
chinese landscape architecture,2
town and regional planning,2
international journal of sustainable development,2
international journal of urban and regional,2
international journal,2
megacities,2
review of middle east studies,2
journal of the american planning,2
alternatives journal,2
ann arbor,2
the environmental performance of tall,2
online journal of design art and,2
emerging urbanity,2
tema journal of land,2
economic development quarterly,2
women in the city on violence and rights,2
interior design,2
canadian journal of regional science,2
ekoloji dergisi,2
space,2
how to enhance inclusiveness for international,2
china city planning,2
modern urban research,2
journal of anhui agricultural sciences,2
local economy,2
