,a,b,c,d,e,f,cite
2850,2017,369,[BOOK][B] The death and life of great American cities,"M Fuller, R Moore - 2017 - taylorfrancis.com","… But a truly visionary approach to urban planning should incorporate spaces with mixed
uses, together with short, walkable blocks, large concentrations of people, and a mix
of new and old buildings. This creates true urban vitality. Page 7 … 
",  Cited by 23830 Related articles All 18 versions  Library Search View as HTML ,23830
826,2007,146,[BOOK][B] Urban fortunes: The political economy of place,"JR Logan, HL Molotch - 2007 - books.google.com","… Growth somehow signals urban “vitality” and accomplishment in the “global age.” More
concretely, the European Union restricts the mechanisms that member states tra-
ditionally used to support certain cities, especially their capitals … 
",  Cited by 6583 Related articles All 6 versions  ,6583
1504,2012,223,[BOOK][B] The creative city: A toolkit for urban innovators,C Landry - 2012 - content.taylorfrancis.com,"Page 1. Page 2. The Creative City Page 3. Page 4. The Creative City A Toolkit for Urban
Innovators SECOND EDITION Charles Landry London • Sterling, VA Page 5. First
edition published by Earthscan in the UK and USA in 2000 … 
",  Cited by 5280 Related articles All 11 versions  ,5280
1947,2013,279,[BOOK][B] Lineages of the Absolutist State (Verso World History Series),P Anderson - 2013 - books.google.com,"Page 1. VERSO WORLD HISTORY SERIES Perry Anderson Lineages of the Absolutist
State Page 2. The political nature of Absolutism has long been a subject of controversy
within historical materialism. Developing considerations … 
",  Cited by 3898 Related articles All 3 versions  ,3898
327,1999,36,[BOOK][B] Sustainability and cities: overcoming automobile dependence,"P Newman, J Kenworthy - 1999 - books.google.com","Page 1. Automobile *1 5 -^ . '•7 PETEll HfEWMAK & JEFFREY REPYOlllY Page 2.
Page 3. Page 4. About Island Press Island Press is the only nonprofit organization
in the United States whose prin- cipal purpose is the publication … 
",  Cited by 3193 Related articles All 4 versions  Other options Library Search (Sweden) ,3193
490,2003,73,[BOOK][B] The compact city: a sustainable urban form?,"E Burton, M Jenks, K Williams - 2003 - content.taylorfrancis.com","Page 1. Page 2. The Compact City Page 3. The Compact City: A Sustainable Urban
Form? Edited by Mike Jenks, Elizabeth Burton and Katie Williams Oxford Brookes
University, Oxford, UK Page 4. First published 1996 by E & … 
",  Cited by 1390 Related articles All 5 versions  Library Search (Sweden) ,1390
334,1999,36,[BOOK][B] Still the promised city?: African-Americans and new immigrants in postindustrial New York,RD Waldinger - 1999 - books.google.com,"… based. And their dynamism has yanked these largest cities out of the eco- nomic torpor
into which they had sunk. The new urban vitality notwithstanding, cities remain deeply
trou- bled—perhaps more so than before. The paradox … 
",  Cited by 1330 Related articles  Other options ,1330
694,2005,83,[BOOK][B] American Babylon: Race and the struggle for postwar Oakland,RO Self - 2005 - books.google.com,"… politics among whites. In 1945 boosters in Oak- land envisioned their metropolis
in the tradition of California urbanism as a verdant, interconnected garden that
combined suburban growth and urban vitality. Thirty years later … 
",  Cited by 895 Related articles All 2 versions  Library Search (Sweden) ,895
427,2001,47,[BOOK][B] The fourth pillar of sustainability: Culture's essential role in public planning,Jon Hawkes - 2001 - books.google.com,"Page 1. THE FOURTH PILLAR OF SUSTAIN ABILITY Culture's essential role in public
planning By Jon Hawfces for the Cultural Development Network (Vic) Page 2. THE
FOURTH PILLAR OF SUSTAINABILITY Culture's essential … 
",  Cited by 795 Related articles All 7 versions  Other options ,795
1697,2012,234,[BOOK][B] Th e making of economic society,"RL Heilbroner, W Milberg - 2012 - tiberiumwars.com","Page 1. Page 2. THE PEARSON SERIES IN ECONOMICS Abel/Bernanke/Croushore
Macroeconomics* Bade/Parkin Foundations of Economics* Berck/Helfand The Economics of
the Environment Bierman/Fernandez Game Theory with Economic Applications … 
",  Cited by 686 Related articles All 10 versions  View as HTML ,686
2161,2014,238,[BOOK][B] Social geographies: space and society,G Valentine - 2014 - taylorfrancis.com,"Page 1. Page 2. ss Social Geographies Page 3. This page intentionally left blank
Page 4. Social Geographies Space and society Gill Valentine ss Page 5. First edition
2001 The right of Gill Valentine to be identified as the author … 
",  Cited by 645 Related articles All 3 versions  View as HTML ,645
642,2005,83,[BOOK][B] The making of urban Japan: cities and planning from Edo to the twenty first century,A Sorensen - 2005 - content.taylorfrancis.com,"… The extent of unplanned development is most striking on the urban fringe, where the weakness
of land development controls and the mixture of land uses that contribute so positively to the urban
vitality of central city areas con- tribute more problematically to this decidedly less … 
",  Cited by 446 Related articles All 6 versions  ,446
1736,2013,282,[BOOK][B] Revitalising historic urban quarters,"T Heath, T Oc, S Tiesdell - 2013 - taylorfrancis.com","Page 1. Page 2. Revitalizing Historic Urban Quarters Page 3. Revitalizing Historic
Urban Quarters Steven Tiesdell Taner Oc Tim Heath Page 4. Architectural Press is
an imprint of Routledge 2 Park Square, Milton Park, Abingdon … 
",  Cited by 429 Related articles All 7 versions  View as HTML ,429
1173,2010,156,[BOOK][B] Neighborhoods and urban development,A Downs - 2010 - books.google.com,"Page 1. and Urban Development NTHONY DOWNS Brookings Institution Page 2.
Page 3. NEIGHBORHOODS and Urban Development This One 4AHR-73F-DR2B
Page 4. Page 5. ANTHONY DOWNS NEIGHBORHOODS and … 
",  Cited by 398 Related articles  ,398
479,2002,54,"[BOOK][B] Agrarian Change in Late Antiquity: Gold, Labour, and Aristocratic Dominance: Gold, Labour, and Aristocratic Dominance",J Banaji - 2002 - books.google.com,"Page 1. AGRARIAN CHANGE IN LATE ANTIQUITY GOLD, LABOUR, AND
ARISTOCRATIC DOMINANCE Jairus Banaji OXFORD CLASSICAL MONOGRAPHS
Page 2. AGRARIAN CHANGE IN LATE ANTIQUITY GOLD, LABOUR … 
",  Cited by 387 Related articles All 7 versions  ,387
1351,2011,169,[BOOK][B] Cinema and the city: film and urban societies in a global context,"M Shiel, T Fitzmaurice - 2011 - books.google.com","Page 1. Mark Shieﬁ and Tony Fitzmaurice Page 2. Contents List of Illustrations
Illustrations Acknowledgments List of Contributors Series Editors' Preface Preface
1 Cinema and the City in History and Theory Cinema and the City … 
",  Cited by 335 Related articles All 2 versions  Library Search (Sweden) ,335
338,1999,36,"[BOOK][B] Recorded music in American life: The phonograph and popular memory, 1890-1945","WH Kenney, WH Kenney - 1999 - books.google.com","Page 1. Recorded Music in American Life: The Phonograph and Popular Memory,
1890–1945 William Howland Kenney OXFORD UNIVERSITY PRESS Page 2. recorded
music in american life Page 3. This page intentionally left blank Page 4 … 
",  Cited by 332 Related articles All 6 versions  Other options ,332
447,2002,55,Measuring urban compactness in UK towns and cities,"E Burton - Environment and planning B: Planning and …, 2002 - journals.sagepub.com","… High densities are seen to be fundamental to urban vitality and creativity (Haughton and Hunter,
1994): as Sherlock (1991) writes, ``take away the high concentration of people and activities,
together with the diversity and vitality which go with them, and there is no longer any … 
",  Cited by 321 Related articles All 8 versions Web of Science: 113  ,321
441,2001,48,[BOOK][B] Olympic dreams: The impact of mega-events on local politics,"M Burbank, G Andranovich, GD Andranovich… - 2001 - books.google.com","Page 1. OLYMPIC THE IMPACT OF MEGA-EVENTS ON LOCAL POLITICS DREAMS
Matthew J. Burbank, Gregory D. Andranovich, and Charles H. Heying Page 2. Page
3. OLYMPIC DREAMS This One W2QS-37Z-LAFG Page 4 … 
",  Cited by 318 Related articles All 2 versions  Other options ,318
818,2007,146,[BOOK][B] Urban design reader,"M Carmona, S Tiesdell - 2007 - books.google.com","Page 1. 4 v' l 1?'? BARON'ﬁEDé E ' A m""? i Page 2. it!' 7 f _ “in, i _j. - i ? QM”; - .
qmmsmicmmou ' 8F ' V .'_ ____~ -' —' vh_ _ Page 3. Urban Design Reader Page
4. Urban Design Reader Edited by Matthew Carmona and Steve … 
",  Cited by 264 Related articles All 3 versions  ,264
1444,2011,192,[BOOK][B] City of extremes: The spatial politics of Johannesburg,MJ Murray - 2011 - books.google.com,,  Cited by 259 Related articles All 3 versions  ,259
508,2003,73,Operationalizing neighborhood accessibility for land use-travel behavior research and regional modeling,"KJ Krizek - Journal of Planning Education and Research, 2003 - journals.sagepub.com","Page 1. 10.1177/0739456X02250315 ARTICLE Operationalizing Neighborhood Accessibility
Krizek Operationalizing Neighborhood Accessibility for Land Use–Travel Behavior Research
and Regional Modeling Kevin J. Krizek Planning and Policy Context … 
",  Cited by 255 Related articles All 6 versions  ,255
485,2002,54,[BOOK][B] Arts of the possible: Essays and conversations,A Rich - 2002 - books.google.com,"Page 1. ESSAYS AND CONVERSATIONS ARTS OF THE POSSIBLE AD RIE NNE
RICH Adrienne Rich's new prose collection could have been |-| || Women's R-1, of
BE Page 2. Arts of the Possible ESSAYS AND CONVERSATIONS … 
",  Cited by 245 Related articles  ,245
492,2003,73,[BOOK][B] Towards an urban renaissance,The Urban Task Force - 2003 - books.google.com,"The Urban Task Force, headed by Lord Rogers, one of the UK's leading architects, was established by the Department of Environment, Transport and Regions (DETR) to stimulate debate about our urban environment and to identify ways of creating urban areas in direct …",  Cited by 245 Related articles  ,245
2849,2017,369,[BOOK][B] City of quarters: urban villages in the contemporary city,M Jayne - 2017 - content.taylorfrancis.com,"Page 1. Page 2. CITY OF QUARTERS Page 3. This page intentionally left blank Page 4.
City of Quarters Urban Villages in the Contemporary City Edited by DAVID BELL and MARK
JAYNE Cultural Trends Unit Staffordshire University Routledge … 
",  Cited by 239 Related articles All 4 versions  Library Search ,239
1778,2013,282,[BOOK][B] Integral urbanism,N Ellin - 2013 - content.taylorfrancis.com,"… This book shares her premise in The Death and Life of Great American Cities (1961) that urban
vitality and public safety are complementary — not contradictory — features of a city, achieved
through adjacencies of uses and people along with other “generators of diversity.” I … 
",  Cited by 236 Related articles All 7 versions  ,236
1026,2008,88,"[BOOK][B] Greenfields, brownfields and housing development","D Adams, C Watkins - 2008 - books.google.com","Page 1. H ESTAITEISUESr David Adams and Craig Walkins llKl-qll T Page 2.
Greenfields, Brownfields and Housing Development David Adams and Craig Watkins
European Urban and Regional Research Centre Department … 
",  Cited by 234 Related articles All 3 versions  ,234
439,2001,48,[BOOK][B] Reflections on regionalism,A Gore - 2001 - books.google.com,"Page 1. Bruce Katz, Editor egionaiism Foreword by Vice President Al Gore Page
2. Page 3. Reflections on Regionalism This One QRT7-K12-JJFY Page 4.
BROOKINGS METRO SERIES The Center on Urban and Metropolitan … 
",  Cited by 210 Related articles  Other options ,210
549,2003,73,"[BOOK][B] Economic expansion in the Byzantine Empire, 900-1200",A Harvey - 2003 - books.google.com,"Page 1. Economic expansion inthe Byzantine empire 900-1200 ALAN HARVEY Page
2. Page 3. Economic expansion in the Byzantine empire In this book Dr Harvey shows
that, if we adopt a broader definition of feudalism, the … 
",  Cited by 205 Related articles All 5 versions  ,205
1748,2013,282,[BOOK][B] Whose Urban Renaissance?: An international comparison of urban regeneration strategies,"L Porter, K Shaw - 2013 - books.google.com","… Illustrations Figures 4.1 4.2 5.1 6.1 6.2 7.1 7.2 8.1 10.1 10.2 11.1 11.2 12.1 12.2 13.1 13.2 14.1
15.1 15.2 16.1 16.2 18.1 18.2 19.1 19.2 20.1 21.1 Map of inner city Riyadh, showing Dhaheera
Quarter Urban vitality in central Riyadh Map of Mexico City metropolitan area Florence … 
",  Cited by 205 Related articles All 3 versions  ,205
724,2006,96,"Living with difference? The'cosmopolitan city'and urban reimaging in Manchester, UK","C Young, M Diep, S Drabble - Urban Studies, 2006 - journals.sagepub.com","Page 1. Living with Difference? The 'Cosmopolitan City' and Urban Reimaging in
Manchester, UK Craig Young, Martina Diep and Stephanie Drabble [Paper first
received, November 2004; in final form, November 2005] Summary … 
",  Cited by 205 Related articles All 5 versions  ,205
