,,,,city vitality,
a,b,,,,
1953,1,,,,
1963,1,,,,
1966,1,,,,
1967,2,,,,
1968,1,,,,
1970,4,,,1970,1600
1972,1,,,1971,1640
1973,3,,,1972,1820
1974,4,,,1973,1950
1975,2,,,1974,1960
1976,3,,,1975,2130
1977,5,,,1976,2120
1978,7,,,1977,2260
1979,7,,,1978,2380
1980,9,,,1979,2260
1981,4,,,1980,2370
1982,4,,,1981,2670
1983,8,,,1982,2870
1984,9,,,1983,2360
1985,10,,,1984,2920
1986,5,,,1985,3170
1987,10,,,1986,2990
1988,12,,,1987,3370
1989,10,,,1988,3870
1990,7,,,1989,3900
1991,15,,,1990,4260
1992,16,,,1991,4440
1993,10,,,1992,4410
1994,17,,,1993,4600
1995,26,,,1994,5140
1996,28,,,1995,6490
1997,32,,,1996,5770
1998,34,,,1997,6680
1999,37,,,1998,8340
2000,58,,,1999,8030
2001,48,,,2000,8380
2002,55,,,2001,9440
2003,73,,,2002,11000
2004,78,,,2003,12600
2005,83,,,2004,13900
2006,96,,,2005,14600
2007,146,,,2006,15400
2008,89,,,2007,15200
2009,123,,,2008,16600
2010,156,,,2009,19800
2011,193,,,2010,21500
2012,240,,,2011,21000
2013,282,,,2012,25000
2014,249,,,2013,26200
2015,283,,,2014,25800
2016,330,,,2015,24800
2017,369,,,2016,24400
2018,367,,,2017,23400
2019,200,,,2018,22000
,,,,2019,11200
