a,b
1900,554
1901,539
1902,494
1903,573
1904,609
1905,547
1906,675
1907,695
1908,677
1909,637
1910,599
1911,686
1912,762
1913,741
1914,777
1915,706
1916,632
1917,659
1918,690
1919,702
1920,924
1921,706
1922,735
1923,808
1924,303
1925,320
1926,357
1927,335
1928,366
1929,326
1930,391
1931,369
1932,433
1933,361
1934,325
1935,402
1936,471
1937,396
1938,480
1939,440
1940,436
1941,411
1942,389
1943,368
1944,372
1945,367
1946,414
1947,469
1948,457
1949,450
1950,542
1951,507
1952,526
1953,555
1954,554
1955,612
1956,569
1957,631
1958,681
1959,714
1960,787
1961,819
1962,892
1963,979
1964,1010
1965,1140
1966,1260
1967,1310
1968,1460
1969,1480
1970,1600
1971,1640
1972,1820
1973,1950
1974,1960
1975,2130
1976,2120
1977,2260
1978,2380
1979,2260
1980,2370
1981,2670
1982,2870
1983,2360
1984,2920
1985,3170
1986,2990
1987,3370
1988,3870
1989,3900
1990,4260
1991,4440
1992,4410
1993,4600
1994,5140
1995,6490
1996,5770
1997,6680
1998,8340
1999,8030
2000,8380
2001,9440
2002,11000
2003,12600
2004,13900
2005,14600
2006,15400
2007,15200
2008,16600
2009,19800
2010,21500
2011,21000
2012,25000
2013,26200
2014,25800
2015,24800
2016,24400
2017,23400
2018,22000
2019,11200
