a,b
1901,18
1902,23
1903,37
1904,29
1905,47
1906,25
1907,22
1908,33
1909,27
1910,83
1911,32
1912,129
1913,96
1914,126
1915,46
1916,40
1917,104
1918,113
1919,51
1920,60
1921,50
1922,50
1923,128
1924,49
1925,59
1926,76
1927,58
1928,91
1929,62
1930,96
1931,82
1932,99
1933,84
1934,84
1935,129
1936,112
1937,99
1938,151
1939,113
1940,163
1941,116
1942,99
1943,114
1944,99
1945,97
1946,108
1947,133
1948,118
1949,115
1950,200
1951,135
1952,129
1953,165
1954,157
1955,188
1956,153
1957,175
1958,250
1959,269
1960,316
1961,310
1962,363
1963,353
1964,373
1965,476
1966,531
1967,646
1968,674
1969,703
1970,862
1971,860
1972,938
1973,1010
1974,995
1975,1080
1976,1060
1977,1140
1978,1100
1979,1260
1980,1340
1981,1430
1982,1560
1983,1400
1984,1620
1985,1720
1986,1830
1987,2110
1988,2290
1989,2300
1990,2630
1991,2690
1992,2860
1993,3140
1994,2910
1995,3500
1996,3590
1997,4420
1998,4650
1999,5360
2000,6120
2001,5940
2002,7550
2003,8420
2004,9800
2005,10400
2006,10900
2007,11500
2008,12400
2009,13500
2010,13900
2011,16000
2012,17800
2013,19200
2014,19600
2015,19200
2016,19700
2017,19400
2018,18600
2019,9750
