Authors	records	% of 829
URBAN J	14	1.689
GEBAUER R	9	1.086
LOPPI S	6	0.724
VOLARIK D	6	0.724
ADAMO P	5	0.603
GIORDANO S	5	0.603
LINDAU ST	5	0.603
PAOLI L	5	0.603
BORJA I	4	0.483
ELDHUSET TD	4	0.483
KORPELA K	4	0.483
KROKENE P	4	0.483
LI Q	4	0.483
MAKELARSKI JA	4	0.483
MARTINEZ-TRINIDAD T	4	0.483
MIRALLES-GUASCH C	4	0.483
NAGY NE	4	0.483
NIJKAMP P	4	0.483
PAULEIT S	4	0.483
PLICHTA R	4	0.483
PRETZSCH H	4	0.483
ROTZER T	4	0.483
TAKAYAMA N	4	0.483
TYRVAINEN L	4	0.483
VISSER B	4	0.483
ZHAO J	4	0.483
BARGAGLI R	3	0.362
BIELINIS E	3	0.362
BRYCESON DF	3	0.362
CHHATRE S	3	0.362
DADEMA T	3	0.362
DONG J	3	0.362
ENGELBERT RHH	3	0.362
FARAHANI LM	3	0.362
GUTTOVA A	3	0.362
HO KC	3	0.362
JAYADEVAPPA R	3	0.362
KOURTIT K	3	0.362
KROSE B	3	0.362
KROSE BJA	3	0.362
LAU SSY	3	0.362
LI X	3	0.362
LIN J	3	0.362
MALKOWICZ SB	3	0.362
MARQUET O	3	0.362
MEHRA S	3	0.362
MODENESI P	3	0.362
PERCIVAL GC	3	0.362
SHIFTAN Y	3	0.362
SONG Y	3	0.362
SUN L	3	0.362
VAN DEN HELDER J	3	0.362
VANNINI A	3	0.362
WANG W	3	0.362
WATSON WT	3	0.362
WEIJS PJM	3	0.362
WEIN AJ	3	0.362
WITTEN K	3	0.362
WU JY	3	0.362
YANG JY	3	0.362
YU Y	3	0.362
ZHANG CY	3	0.362
ZHANG Y	3	0.362
ALMEIDA SM	2	0.241
ARNOLD MA	2	0.241
AZERI ARK	2	0.241
BASILE A	2	0.241
BATTY M	2	0.241
BENDOR TK	2	0.241
BERKMAN LF	2	0.241
BEYNON D	2	0.241
BIELINIS L	2	0.241
BINGHAM RD	2	0.241
CACHINHO H	2	0.241
CAMERON R	2	0.241
CANHA N	2	0.241
CASSARINO M	2	0.241
CEKSTERE G	2	0.241
CERMAK V	2	0.241
CHAI YW	2	0.241
CHAPMAN R	2	0.241
