Book Series Titles	records	% of 829
APPLIED MECHANICS AND MATERIALS	12	1.448
ACTA HORTICULTURAE	10	1.206
ADVANCES IN SOCIAL SCIENCE EDUCATION AND HUMANITIES RESEARCH	10	1.206
ADVANCED MATERIALS RESEARCH	9	1.086
PROCEDIA SOCIAL AND BEHAVIORAL SCIENCES	9	1.086
WIT TRANSACTIONS ON ECOLOGY AND THE ENVIRONMENT	8	0.965
AER ADVANCES IN ENGINEERING RESEARCH	4	0.483
IOP CONFERENCE SERIES MATERIALS SCIENCE AND ENGINEERING	4	0.483
PROCEDIA ENGINEERING	4	0.483
LECTURE NOTES IN COMPUTER SCIENCE	3	0.362
TRANSPORTATION RESEARCH RECORD	3	0.362
ACSR ADVANCES IN COMPTUER SCIENCE RESEARCH	2	0.241
ADVANCES IN INTELLIGENT SYSTEMS RESEARCH	2	0.241
ENERGY AND ENVIRONMENTAL ENGINEERING SERIES	2	0.241
ENERGY PROCEDIA	2	0.241
FABBRICA DELLA CONOSCENZA	2	0.241
IEEE INTERNATIONAL CONFERENCE ON SYSTEMS MAN AND CYBERNETICS CONFERENCE PROCEEDINGS	2	0.241
INTERNATIONAL CONFERENCE ON COMPUTER AIDED DESIGN CONCEPTUAL DESIGN	2	0.241
INTERNATIONAL CONFERENCE ON COMPUTER AIDED INDUSTRIAL DESIGN AND CONCEPTUAL DESIGN CAID CD	2	0.241
IOP CONFERENCE SERIES EARTH AND ENVIRONMENTAL SCIENCE	2	0.241
MATEC WEB OF CONFERENCES	2	0.241
TRANSPORTATION RESEARCH PROCEDIA	2	0.241
ADVANCES IN ARCHITECTURE SERIES	1	0.121
ADVANCES IN EDUCATION RESEARCH	1	0.121
ADVANCES IN TRANSPORT	1	0.121
AEBMR ADVANCES IN ECONOMICS BUSINESS AND MANAGEMENT RESEARCH	1	0.121
AIP CONFERENCE PROCEEDINGS	1	0.121
ALLIANCE FOR GLOBAL SUSTAINABILITY	1	0.121
BRITISH ARCHAEOLOGICAL ASSOCIATION CONFERENCE TRANSACTIONS	1	0.121
CHINESE CONTROL CONFERENCE	1	0.121
ECONOMIC SCIENCE FOR RURAL DEVELOPMENT	1	0.121
HRADEC ECONOMIC DAYS	1	0.121
IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES	1	0.121
IEEE INTERNATIONAL CONFERENCE ON INTELLIGENT TRANSPORTATION SYSTEMS ITSC	1	0.121
INTERNATIONAL ARCHIVES OF THE PHOTOGRAMMETRY REMOTE SENSING AND SPATIAL INFORMATION SCIENCES	1	0.121
INTERNATIONAL CONFERENCE ON GEOINFORMATICS	1	0.121
INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTATION TECHNOLOGY AND AUTOMATION	1	0.121
INTERNATIONAL PROCEEDINGS OF ECONOMICS DEVELOPMENT AND RESEARCH	1	0.121
JOURNAL OF PHYSICS CONFERENCE SERIES	1	0.121
LECTURE NOTES IN CIVIL ENGINEERING	1	0.121
LECTURE NOTES IN INFORMATION TECHNOLOGY	1	0.121
LECTURE NOTES IN MANAGEMENT SCIENCE	1	0.121
MITTEILUNGEN DER DEUTSCHEN GESELLSCHAFT FUR ALLGEMEINE UND ANGEWANDTE ENTOMOLOGIE	1	0.121
PROCEDIA COMPUTER SCIENCE	1	0.121
PROCEDIA ENVIRONMENTAL SCIENCES	1	0.121
PROCEEDINGS FRONTIERS IN EDUCATION CONFERENCE	1	0.121
PROCEEDINGS OF THE EUROPEAN CONFERENCE ON KNOWLEDGE MANAGEMENT	1	0.121
PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON DATA SCIENCE AND ADVANCED ANALYTICS	1	0.121
SUSTAINABILITY IN PLANT AND CROP PROTECTION	1	0.121
SUSTAINABLE WORLD	1	0.121
(703 records (84.801%) do not contain data in the field being analyzed.)
