Editors	records	% of 829
BRYCESON DF	14	1.689
POTTS D	14	1.689
BREBBIA CA	11	1.327
ZHANG Y	6	0.724
ABBAS MY	5	0.603
KUNGOLOS A	5	0.603
BERIATOS E	4	0.483
GIANQUINTO GP	4	0.483
LI X	4	0.483
MCANALLY E	4	0.483
ORSINI F	4	0.483
USLU F	4	0.483
ZHANG H	4	0.483
HU ZY	3	0.362
HUIYU Z	3	0.362
JING W	3	0.362
LIN ZK	3	0.362
NING X	3	0.362
PAN YH	3	0.362
SOLOVJEVA I	3	0.362
SUN SQ	3	0.362
ZHANG XD	3	0.362
BACHTIGER JB	2	0.241
BAJUNID AFI	2	0.241
CHEN B	2	0.241
CHEN Z	2	0.241
COLOMER V	2	0.241
CREMONINI L	2	0.241
FENG X	2	0.241
HAN LS	2	0.241
HE JJ	2	0.241
HOU H	2	0.241
HYUNGJAE M	2	0.241
JIANG Z	2	0.241
JUNGEBERBEROVIC R	2	0.241
KAO JH	2	0.241
KHAN SAR	2	0.241
KUN Z	2	0.241
LI HN	2	0.241
LI YJ	2	0.241
LIANG JG	2	0.241
PENGLIN Z	2	0.241
PENNISI G	2	0.241
QIHU Q	2	0.241
REN R	2	0.241
SI Y	2	0.241
SIMPSON WJ	2	0.241
SUN Y	2	0.241
TIAN L	2	0.241
XIAO X	2	0.241
YAN ZF	2	0.241
YANG Q	2	0.241
YANG W	2	0.241
YUE XG	2	0.241
ZHANG ZH	2	0.241
ZHOU MQ	2	0.241
ZHU L	2	0.241
ZHU LH	2	0.241
ABDHAMID NZ	1	0.121
ABDULSAHIB WS	1	0.121
ABIDI N	1	0.121
ABUTAIR A	1	0.121
ADENAN NH	1	0.121
AHUJA V	1	0.121
AIDAZADE K	1	0.121
AILLERIE M	1	0.121
AL NEAMI MA	1	0.121
AL-NEAMI MA	1	0.121
ALATTAR TS	1	0.121
ALBAHAR SK	1	0.121
ALI ASB	1	0.121
ALKANANI A	1	0.121
ALNUAIMI A	1	0.121
ALWEHAB A	1	0.121
APDUHAN BO	1	0.121
ARAVOSSIS K	1	0.121
AU FTK	1	0.121
AUZINA A	1	0.121
AZHARI NFN	1	0.121
AZIZ HA	1	0.121
AZMI NFB	1	0.121
BACANU G	1	0.121
BALKRISHAN DK	1	0.121
BAO T	1	0.121
BATT PJ	1	0.121
BERG D	1	0.121
BERIATOSS E	1	0.121
BERNHAUPT R	1	0.121
BOJKOVIC Z	1	0.121
BOLLMAN RD	1	0.121
BOLTZE M	1	0.121
BOSCOIANU M	1	0.121
BRYDEN JM	1	0.121
BULU M	1	0.121
BURCHETT M	1	0.121
CALVOMANZANO JA	1	0.121
CARMONA M	1	0.121
CHANG W	1	0.121
CHAU KW	1	0.121
CHEN DS	1	0.121
CHEN J	1	0.121
CHEN R	1	0.121
CHEN S	1	0.121
CHEN WZ	1	0.121
CHEN X	1	0.121
CHEN YL	1	0.121
CHEUNG YK	1	0.121
CHOI SB	1	0.121
CHUA SJL	1	0.121
CICEK E	1	0.121
COCCOSSIS H	1	0.121
COKORILO O	1	0.121
CORNIELLO L	1	0.121
COTA MP	1	0.121
CRAWFORD RH	1	0.121
DAI P	1	0.121
DALVI G	1	0.121
DAS A	1	0.121
DING L	1	0.121
DU XL	1	0.121
DU Z	1	0.121
DZIKUC M	1	0.121
ELHAMI K	1	0.121
FAI S	1	0.121
FAN H	1	0.121
FANTIS DK	1	0.121
FIORITO F	1	0.121
FIRAT S	1	0.121
GAMBONI M	1	0.121
GAO Y	1	0.121
GERVASI O	1	0.121
GIPOULOUX F	1	0.121
GOSPODINI A	1	0.121
GOULIAS KG	1	0.121
GRANT K	1	0.121
GREEN R	1	0.121
GRENNI P	1	0.121
HAIDER A	1	0.121
HAJDU M	1	0.121
HALE L	1	0.121
HASHIMOTO K	1	0.121
HAUER T	1	0.121
HAUR LW	1	0.121
HAYES J	1	0.121
HINTEA CM	1	0.121
HIROKAWA S	1	0.121
HOU R	1	0.121
HU S	1	0.121
HU Z	1	0.121
HUANG Q	1	0.121
HUANG Y	1	0.121
HUO M	1	0.121
IGLESIAS A	1	0.121
ILIESCU M	1	0.121
IRANPOUR R	1	0.121
JABUR A	1	0.121
JANIUNAITE B	1	0.121
JEDLICKA P	1	0.121
JIN B	1	0.121
JOSHI A	1	0.121
JUNG J	1	0.121
KAMARUZZAMAN SNB	1	0.121
KARTALOPOULOS S	1	0.121
