Grant Numbers	records	% of 829
CZ.1.07/2.3.00/20.0265	14	1.689
A/CZ0046/2/0009	5	0.603
IGA 73/2013	5	0.603
023.006.013	3	0.362
LD13017	3	0.362
1C1CMS330997-03-00	2	0.241
1K23AG032870	2	0.241
25/2011	2	0.241
51708410	2	0.241
CSO2013-42513-P	2	0.241
CSO2016-74904-R	2	0.241
FP1106	2	0.241
FPU14/02638	2	0.241
IGA 12/2010	2	0.241
INTER-TRANSFER LTT17033	2	0.241
MSMT COST LD 13017	2	0.241
W81XWH-04-1-0257	2	0.241
002/2009/4.1/OP-VaV	1	0.121
01/004	1	0.121
016010100	1	0.121
08JK452	1	0.121
08JK453	1	0.121
0966130	1	0.121
1.9	1	0.121
1/0149/15	1	0.121
10-JK-02	1	0.121
100	1	0.121
10001A_165625	1	0.121
100098207 [1322746721844]	1	0.121
101323	1	0.121
107508-04	1	0.121
11160096	1	0.121
1120327020	1	0.121
115650	1	0.121
11AZD108	1	0.121
11FTF7520014	1	0.121
12-I-4-2057	1	0.121
124390	1	0.121
13017	1	0.121
13AZD012	1	0.121
1425-03	1	0.121
14AGL024	1	0.121
14ZDA039	1	0.121
15-JK-01	1	0.121
1581/2005	1	0.121
15JJD790025	1	0.121
15S01	1	0.121
16-04-12003	1	0.121
16-14-12005	1	0.121
16/2551-0000353-0	1	0.121
1607247	1	0.121
16CGLJ31	1	0.121
16CKJJ27	1	0.121
16DZ2250500	1	0.121
16YJA840010	1	0.121
16ZDA020	1	0.121
16dz1206502	1	0.121
173011	1	0.121
173018	1	0.121
173029	1	0.121
17BGLJ04	1	0.121
17DZ1203405	1	0.121
17H04670	1	0.121
17PJC107	1	0.121
19YJCZH187	1	0.121
1R01 AG 047869-01	1	0.121
1RC4AG039176-01	1	0.121
20050025002	1	0.121
2005078	1	0.121
2005CB522804	1	0.121
2006AA02Z434	1	0.121
2007AA03Z456	1	0.121
2007K06-03	1	0.121
2007ZR08	1	0.121
2009-0063383	1	0.121
2009/215	1	0.121
20090146120026	1	0.121
20096101110014	1	0.121
20096101120023	1	0.121
2009CB426305	1	0.121
2010JC21	1	0.121
2010JK876	1	0.121
2010JQ2012	1	0.121
2010JS107	1	0.121
2010JS108	1	0.121
2010JS109	1	0.121
20110028794	1	0.121
2011B031700018	1	0.121
2011B032200004	1	0.121
2011J4300108	1	0.121
2012-13/023/AMC/UG	1	0.121
2012-1358	1	0.121
2012-CK-WX-K002	1	0.121
20120000723	1	0.121
201203003	1	0.121
2012A032500004	1	0.121
2012MS0726	1	0.121
201305016	1	0.121
201310361107	1	0.121
2013BAJ10B13	1	0.121
