Meeting Titles	records	% of 829
CONFERENCE ON AFRICAN URBAN ECONOMIES	14	1.689
2ND INTERNATIONAL CONFERENCE ON SUSTAINABLE DEVELOPMENT AND PLANNING	4	0.483
10TH IEEE INTERNATIONAL CONFERENCE ON COMPUTER AIDED INDUSTRIAL DESIGN AND CONCEPTUAL DESIGN	2	0.241
12TH INTERNATIONAL CONFERENCE OF THE ASSOCIATED RESEARCH CENTERS FOR URBAN UNDERGROUND SPACE	2	0.241
24TH INTERNATIONAL SEMINAR ON URBAN FORM	2	0.241
2ND INTERNATIONAL CONFERENCE ON CIVIL ARCHITECTURAL AND HYDRAULIC ENGINEERING ICCAHE 2013	2	0.241
2ND INTERNATIONAL CONFERENCE ON CIVIL ENGINEERING AND TRANSPORTATION ICCET 2012	2	0.241
2ND INTERNATIONAL CONFERENCE ON EDUCATION LANGUAGE ART AND INTERCULTURAL COMMUNICATION ICELAIC	2	0.241
2ND INTERNATIONAL CONFERENCE ON LANDSCAPE AND URBAN HORTICULTURE	2	0.241
3RD INTERNATIONAL CONFERENCE ON CIVIL ENGINEERING AND TRANSPORTATION ICCET 2013	2	0.241
3RD INTERNATIONAL CONFERENCE ON CIVIL ENGINEERING ARCHITECTURE AND BUILDING MATERIALS CEABM 2013	2	0.241
3RD NATIONAL SEMINAR ON ARCHITECTURE AND CULTURE	2	0.241
3RD WORLD MULTIDISCIPLINARY CIVIL ENGINEERING ARCHITECTURE URBAN PLANNING SYMPOSIUM WMCAUS	2	0.241
4TH INTERNATIONAL CONFERENCE ON TECHNOLOGY OF ARCHITECTURE AND STRUCTURE ICTAS 2011	2	0.241
5TH INTERNATIONAL CONFERENCE ON EDUCATION AND SOCIAL SCIENCES INTCESS	2	0.241
5TH SYMPOSIUM OF THE INTERNATIONAL ASSOCIATION FOR LICHENOLOGY	2	0.241
6TH INTERNATIONAL ANNUAL ASIAN CONFERENCE ON ENVIRONMENT BEHAVIOUR STUDIES ACE BS ENVIRONMENTAL SETTINGS IN THE ERA OF URBAN REGENERATION	2	0.241
8TH INTERNATIONAL CONFERENCE ON MANAGEMENT EDUCATION AND INFORMATION MEICI	2	0.241
GLOBAL CONFERENCE ON CIVIL STRUCTURAL AND ENVIRONMENTAL ENGINEERING 3RD INTERNATIONAL SYMP ON MULTI FIELD COUPLING THEORY OF ROCK AND SOIL MEDIA AND ITS APPLICATIONS	2	0.241
INTERNATIONAL CONFERENCE ON ECONOMICS FINANCE AND STATISTICS ICEFS	2	0.241
INTERNATIONAL CONFERENCE ON URBAN HORTICULTURE	2	0.241
INTERNATIONAL SYMPOSIUM ON GREENER CITIES FOR MORE EFFICIENT ECOSYSTEM SERVICES IN A CLIMATE CHANGING WORLD	2	0.241
11TH EUROPEAN ARCHITECTURAL ENVISIONING ASSOCIATION CONFERENCE ON ENVISIONING ARCHITECTURE DESIGN EVALUATION COMMUNICATION	1	0.121
11TH INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE AND ITS APPLICATIONS ICCSA	1	0.121
