Organizations	records	% of 829
MENDEL UNIV BRNO	16	1.930
CHINESE ACAD SCI	15	1.809
WUHAN UNIV	15	1.809
DELFT UNIV TECHNOL	9	1.086
PEKING UNIV	9	1.086
UNIV CHICAGO	9	1.086
UNIV SIENA	9	1.086
VRIJE UNIV AMSTERDAM	9	1.086
HARBIN INST TECHNOL	8	0.965
ISLAMIC AZAD UNIV	8	0.965
SWEDISH UNIV AGR SCI	8	0.965
UNIV AMSTERDAM	8	0.965
UNIV LISBON	8	0.965
UNIV N CAROLINA	8	0.965
AMSTERDAM UNIV APPL SCI	7	0.844
HARVARD UNIV	7	0.844
NANJING UNIV	7	0.844
UCL	7	0.844
UNIV HONG KONG	7	0.844
UNIV MELBOURNE	7	0.844
HUAZHONG UNIV SCI TECHNOL	6	0.724
TONGJI UNIV	6	0.724
UNIV AUCKLAND	6	0.724
UNIV ILLINOIS	6	0.724
UNIV NAPLES FEDERICO II	6	0.724
UNIV TEHRAN	6	0.724
ZHEJIANG UNIV	6	0.724
COLEGIO POSTGRAD	5	0.603
HANYANG UNIV	5	0.603
POLITECN MILAN	5	0.603
SIBERIAN FED UNIV	5	0.603
TECH UNIV MUNICH	5	0.603
TSINGHUA UNIV	5	0.603
UNIV BELGRADE	5	0.603
UNIV CALIF BERKELEY	5	0.603
UNIV CALIF LOS ANGELES	5	0.603
UNIV CHINESE ACAD SCI	5	0.603
UNIV TAMPERE	5	0.603
UNIV WASHINGTON	5	0.603
BEIJING NORMAL UNIV	4	0.483
BOSTON UNIV	4	0.483
COLUMBIA UNIV	4	0.483
DEAKIN UNIV	4	0.483
DUKE UNIV	4	0.483
GEORGE MASON UNIV	4	0.483
MICHIGAN STATE UNIV	4	0.483
SOUTHEAST UNIV	4	0.483
TECHNION ISRAEL INST TECHNOL	4	0.483
UNIV AUTONOMA BARCELONA	4	0.483
UNIV CAMBRIDGE	4	0.483
UNIV CONNECTICUT	4	0.483
UNIV GUILAN	4	0.483
UNIV MICHIGAN	4	0.483
UNIV OXFORD	4	0.483
UNIV PENN	4	0.483
UNIV SHEFFIELD	4	0.483
UNIV TOKYO	4	0.483
