Source Titles	records	% of 829
CITIES	17	2.051
SUSTAINABILITY	17	2.051
URBAN FORESTRY URBAN GREENING	16	1.930
AFRICAN URBAN ECONOMIES VIABILITY VITALITY OR VITIATION	14	1.689
APPLIED MECHANICS AND MATERIALS	12	1.448
URBAN DESIGN INTERNATIONAL	12	1.448
ACTA HORTICULTURAE	10	1.206
ADVANCES IN SOCIAL SCIENCE EDUCATION AND HUMANITIES RESEARCH	10	1.206
ADVANCED MATERIALS RESEARCH	9	1.086
LANDSCAPE AND URBAN PLANNING	9	1.086
PROCEDIA SOCIAL AND BEHAVIORAL SCIENCES	9	1.086
URBAN STUDIES	9	1.086
WIT TRANSACTIONS ON ECOLOGY AND THE ENVIRONMENT	8	0.965
JOURNAL OF URBAN AFFAIRS	7	0.844
PLOS ONE	7	0.844
TRANSPORTATION RESEARCH RECORD	7	0.844
BAGH E NAZAR	6	0.724
HABITAT INTERNATIONAL	6	0.724
JOURNAL OF URBAN HISTORY	6	0.724
JOURNAL OF URBAN DESIGN	5	0.603
LANDSCAPE ARCHITECTURE FRONTIERS	5	0.603
AER ADVANCES IN ENGINEERING RESEARCH	4	0.483
CITY COMMUNITY	4	0.483
ENVIRONMENTAL POLLUTION	4	0.483
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	4	0.483
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	4	0.483
IOP CONFERENCE SERIES MATERIALS SCIENCE AND ENGINEERING	4	0.483
LAND USE POLICY	4	0.483
PROCEDIA ENGINEERING	4	0.483
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS MUNICIPAL ENGINEER	4	0.483
QUALITY OF LIFE RESEARCH	4	0.483
SCIENCE OF THE TOTAL ENVIRONMENT	4	0.483
SUSTAINABLE CITIES AND SOCIETY	4	0.483
SUSTAINABLE DEVELOPMENT AND PLANNING II VOLS 1 AND 2	4	0.483
TREES STRUCTURE AND FUNCTION	4	0.483
URBAN GEOGRAPHY	4	0.483
URBAN HISTORY	4	0.483
ARCHNET IJAR INTERNATIONAL JOURNAL OF ARCHITECTURAL RESEARCH	3	0.362
AUSTRALASIAN JOURNAL OF REGIONAL STUDIES	3	0.362
BMC PUBLIC HEALTH	3	0.362
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS	3	0.362
CONTEMPORARY PROBLEMS OF ECOLOGY	3	0.362
ECOLOGICAL INDICATORS	3	0.362
ENVIRONMENT AND PLANNING A	3	0.362
FORESTS	3	0.362
HEALTH AND QUALITY OF LIFE OUTCOMES	3	0.362
IFOREST BIOGEOSCIENCES AND FORESTRY	3	0.362
