Web of Science Categories	records	% of 829
URBAN STUDIES	174	20.989
ENVIRONMENTAL STUDIES	123	14.837
ENVIRONMENTAL SCIENCES	89	10.736
REGIONAL URBAN PLANNING	81	9.771
ARCHITECTURE	62	7.479
GEOGRAPHY	57	6.876
ENGINEERING CIVIL	52	6.273
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH	41	4.946
FORESTRY	37	4.463
GREEN SUSTAINABLE SCIENCE TECHNOLOGY	36	4.343
ECOLOGY	33	3.981
SOCIAL SCIENCES INTERDISCIPLINARY	33	3.981
CONSTRUCTION BUILDING TECHNOLOGY	27	3.257
PLANT SCIENCES	27	3.257
ECONOMICS	25	3.016
ENGINEERING ENVIRONMENTAL	25	3.016
HISTORY	22	2.654
MANAGEMENT	21	2.533
EDUCATION EDUCATIONAL RESEARCH	19	2.292
HUMANITIES MULTIDISCIPLINARY	19	2.292
TRANSPORTATION	19	2.292
HEALTH CARE SCIENCES SERVICES	16	1.930
MATERIALS SCIENCE MULTIDISCIPLINARY	16	1.930
TRANSPORTATION SCIENCE TECHNOLOGY	16	1.930
MEDICINE GENERAL INTERNAL	15	1.809
SOCIOLOGY	15	1.809
COMPUTER SCIENCE INTERDISCIPLINARY APPLICATIONS	14	1.689
GEOGRAPHY PHYSICAL	14	1.689
COMPUTER SCIENCE THEORY METHODS	12	1.448
ENERGY FUELS	12	1.448
HEALTH POLICY SERVICES	12	1.448
HORTICULTURE	12	1.448
MULTIDISCIPLINARY SCIENCES	12	1.448
COMPUTER SCIENCE INFORMATION SYSTEMS	11	1.327
DEVELOPMENT STUDIES	11	1.327
ENGINEERING ELECTRICAL ELECTRONIC	11	1.327
ANTHROPOLOGY	9	1.086
AREA STUDIES	9	1.086
ENGINEERING MECHANICAL	9	1.086
LANGUAGE LINGUISTICS	9	1.086
PLANNING DEVELOPMENT	9	1.086
AGRICULTURE MULTIDISCIPLINARY	8	0.965
BIODIVERSITY CONSERVATION	8	0.965
COMPUTER SCIENCE ARTIFICIAL INTELLIGENCE	8	0.965
HISTORY OF SOCIAL SCIENCES	8	0.965
PSYCHOLOGY MULTIDISCIPLINARY	8	0.965
PUBLIC ADMINISTRATION	8	0.965
BUSINESS	7	0.844
GERIATRICS GERONTOLOGY	7	0.844
HOSPITALITY LEISURE SPORT TOURISM	7	0.844
LINGUISTICS	7	0.844
REMOTE SENSING	7	0.844
ART	6	0.724
DEMOGRAPHY	6	0.724
ENGINEERING MULTIDISCIPLINARY	6	0.724
SOCIAL WORK	6	0.724
TOXICOLOGY	6	0.724
WATER RESOURCES	6	0.724
ARCHAEOLOGY	5	0.603
CULTURAL STUDIES	5	0.603
ENGINEERING MANUFACTURING	5	0.603
OPERATIONS RESEARCH MANAGEMENT SCIENCE	5	0.603
POLITICAL SCIENCE	5	0.603
BIOLOGY	4	0.483
