Authors	records	% of 478
URBAN J	12	2.510
GEBAUER R	8	1.674
LOPPI S	6	1.255
ADAMO P	5	1.046
GIORDANO S	5	1.046
LINDAU ST	5	1.046
PAOLI L	5	1.046
VOLARIK D	5	1.046
KORPELA K	4	0.837
MAKELARSKI JA	4	0.837
MARTINEZ-TRINIDAD T	4	0.837
MIRALLES-GUASCH C	4	0.837
PAULEIT S	4	0.837
PLICHTA R	4	0.837
PRETZSCH H	4	0.837
ROTZER T	4	0.837
TAKAYAMA N	4	0.837
TYRVAINEN L	4	0.837
BARGAGLI R	3	0.628
BIELINIS E	3	0.628
BORJA I	3	0.628
CHHATRE S	3	0.628
ELDHUSET TD	3	0.628
GUTTOVA A	3	0.628
HO KC	3	0.628
JAYADEVAPPA R	3	0.628
KROKENE P	3	0.628
MALKOWICZ SB	3	0.628
MARQUET O	3	0.628
MODENESI P	3	0.628
NAGY NE	3	0.628
PERCIVAL GC	3	0.628
SHIFTAN Y	3	0.628
SONG Y	3	0.628
VANNINI A	3	0.628
WATSON WT	3	0.628
WEIN AJ	3	0.628
WITTEN K	3	0.628
WU JY	3	0.628
ZHAO J	3	0.628
ALMEIDA SM	2	0.418
ARNOLD MA	2	0.418
BASILE A	2	0.418
BENDOR TK	2	0.418
BERKMAN LF	2	0.418
BIELINIS L	2	0.418
BINGHAM RD	2	0.418
CANHA N	2	0.418
CASSARINO M	2	0.418
CERMAK V	2	0.418
CHAI YW	2	0.418
CHAPMAN R	2	0.418
CHEN L	2	0.418
CHOI CG	2	0.418
CLEARY M	2	0.418
COLDITZ GA	2	0.418
COOPER JF	2	0.418
CRISAFULLI P	2	0.418
DADEMA T	2	0.418
DELCLOS-ALIO X	2	0.418
DOUGLASS M	2	0.418
ENGELBERT RHH	2	0.418
EYLETTERS M	2	0.418
FOIT J	2	0.418
FRANSSON AM	2	0.418
FU XH	2	0.418
GRAZULEVICIENE R	2	0.418
GRYC V	2	0.418
HE QS	2	0.418
HERBARTH O	2	0.418
HOHENWALLNER D	2	0.418
HOLMES MD	2	0.418
HOWDEN-CHAPMAN P	2	0.418
JOHNSON D	2	0.418
JOHNSTONE DM	2	0.418
KAGAWA T	2	0.418
KAWACHI I	2	0.418
KEALL M	2	0.418
KROSE BJA	2	0.418
KRUIZE H	2	0.418
LANKI T	2	0.418
LI Q	2	0.418
LIN J	2	0.418
LINDQVIST H	2	0.418
LIU YX	2	0.418
LOMBARDINI L	2	0.418
LONG Y	2	0.418
MAAS J	2	0.418
MARKUSEN A	2	0.418
MEHRA S	2	0.418
MICHAEL YL	2	0.418
MONACI F	2	0.418
MORIKAWA T	2	0.418
MOSER A	2	0.418
MOSER-REISCHL A	2	0.418
NIEUWENHUIJSEN MJ	2	0.418
NIJKAMP P	2	0.418
OJALA A	2	0.418
PARK J	2	0.418
PAVLOVIC M	2	0.418
PITTAO E	2	0.418
RAHMAN MA	2	0.418
RUIJSBROEK A	2	0.418
SANDERS RL	2	0.418
SCHNEIDER J	2	0.418
SETTI A	2	0.418
SHEN J	2	0.418
SHMUELI A	2	0.418
SMITH R	2	0.418
SORBO S	2	0.418
STEHLIN J	2	0.418
TRETIACH M	2	0.418
TRIGUERO-MAS M	2	0.418
TSUNETSUGU Y	2	0.418
VAN DEN HELDER J	2	0.418
VAN HAITSMA M	2	0.418
VAVRCIK H	2	0.418
VERMEULEN F	2	0.418
VISSER B	2	0.418
WANG Q	2	0.418
WANG W	2	0.418
WANG X	2	0.418
WANG YJ	2	0.418
WEIJS PJM	2	0.418
WHITAKER E	2	0.418
WICHMANN G	2	0.418
WOLTERBEEK HT	2	0.418
WOODWARD A	2	0.418
YANG JY	2	0.418
YANG XH	2	0.418
YE Y	2	0.418
ZECHMEISTER HG	2	0.418
ZHU CY	2	0.418
AAGAARD P	1	0.209
ABDEL-KADER K	1	0.209
ABEL JR	1	0.209
ABOURAHME N	1	0.209
ABRAHAMSE W	1	0.209
ABRAMSOHN E	1	0.209
ABU-LABAN B	1	0.209
ACCORDI SM	1	0.209
ACCORDINO J	1	0.209
ACERO CB	1	0.209
ACKRILL G	1	0.209
ADAMSON K	1	0.209
ADEY P	1	0.209
AGOSTINELLI M	1	0.209
AHMED S	1	0.209
AHN KH	1	0.209
AKINYEMI RO	1	0.209
AKSOY A	1	0.209
AKVARDAR Y	1	0.209
AL-ATTAR MA	1	0.209
AL-MUTAIRI NZ	1	0.209
AL-RUKAIBI FS	1	0.209
ALBRECTSEN BR	1	0.209
ALDEN J	1	0.209
ALEXANTROV V	1	0.209
ALGUACIL MD	1	0.209
ALMEIDA-SILVA M	1	0.209
ALPTEKIN K	1	0.209
ALVARADO-ROSALES D	1	0.209
ALWANG A	1	0.209
ALZETTA C	1	0.209
AMBROS A	1	0.209
AMEGLIO T	1	0.209
AMOAH ST	1	0.209
AN XL	1	0.209
ANDERINI E	1	0.209
ANDERSON AA	1	0.209
ANDERSON J	1	0.209
ANDERSSON-SKOLD Y	1	0.209
ANGELL V	1	0.209
ANONYMOUS	1	0.209
ANTUPIT S	1	0.209
APPEL DN	1	0.209
APPLING SE	1	0.209
ARAUJO R	1	0.209
ARCIDIACONO A	1	0.209
ARROLL B	1	0.209
ARSLAN M	1	0.209
ARVEUX P	1	0.209
ASAMI Y	1	0.209
ASEFAHA F	1	0.209
ASTHANA S	1	0.209
ATKINSON A	1	0.209
ATKINSON R	1	0.209
AUSTRIAN Z	1	0.209
AYRAULT S	1	0.209
BACZEWSKA AH	1	0.209
BAGHURST P	1	0.209
BAGSON E	1	0.209
BAI TY	1	0.209
BAISCH PRM	1	0.209
BAJPAI R	1	0.209
BALMFORD A	1	0.209
BALZ T	1	0.209
BANDA F	1	0.209
BANKS JM	1	0.209
BARIS ME	1	0.209
BARRATT A	1	0.209
BARROS H	1	0.209
BARROW I	1	0.209
BARUFFO L	1	0.209
BATTY M	1	0.209
BAUMANN C	1	0.209
BAYCAN-LEVENT T	1	0.209
BEACH S	1	0.209
BEATON EB	1	0.209
BECKERS SK	1	0.209
BEDNAROVA E	1	0.209
BEIGULENKO Y	1	0.209
BENENSON I	1	0.209
BENNER C	1	0.209
BENNETT JP	1	0.209
BENSON E	1	0.209
BERENJI M	1	0.209
BERENTSEN WH	1	0.209
BERGRATH S	1	0.209
BERLANDARQUE M	1	0.209
BERNAARDS CM	1	0.209
BERRY M	1	0.209
BEUVING JJ	1	0.209
BEYNON D	1	0.209
BHASIN S	1	0.209
BHATNAGAR R	1	0.209
BI JL	1	0.209
BIALOSTOZKY E	1	0.209
BIAN M	1	0.209
BIBER P	1	0.209
BINDAJAM AAA	1	0.209
BJORK J	1	0.209
BLASZCZYK M	1	0.209
BLOOM BS	1	0.209
BOBIC J	1	0.209
BOGNAR J	1	0.209
BOHDAN A	1	0.209
BOIKO S	1	0.209
BONTJE M	1	0.209
BOOK RK	1	0.209
BORCH C	1	0.209
BORGESIUS JJ	1	0.209
BORNMAN JF	1	0.209
BOTTERO M	1	0.209
BOWEN WM	1	0.209
BOX H	1	0.209
BOYD RL	1	0.209
BRACK C	1	0.209
BRADDOCK CH	1	0.209
BRANDS J	1	0.209
BRANQUINHO C	1	0.209
BRAUN P	1	0.209
BREGMAN A	1	0.209
BRENGMAN M	1	0.209
BREUSTE JH	1	0.209
BRIGSTOCKE J	1	0.209
BROKMANN JC	1	0.209
BROMFIELD EB	1	0.209
BROMLEY RDF	1	0.209
BROOKS CA	1	0.209
BROOKS GC	1	0.209
BRUCE C	1	0.209
BRUMBY S	1	0.209
BRUSE M	1	0.209
BU ZJ	1	0.209
BUCKLEY S	1	0.209
BUITELAAR E	1	0.209
BULL A	1	0.209
BUNTINX B	1	0.209
BURD-EDEN R	1	0.209
BURINSKIENE M	1	0.209
BUTLER C	1	0.209
BUTLER RN	1	0.209
BUYSSE DJ	1	0.209
BYSTRZEJEWSKA-PIOTROWSKA G	1	0.209
CACHINHO H	1	0.209
CAI BP	1	0.209
CAI ZH	1	0.209
CALDENTEY JM	1	0.209
CALISKAN O	1	0.209
CALLOW D	1	0.209
CAMANHO AS	1	0.209
CAMARERO JJ	1	0.209
CAMPO M	1	0.209
CAPRASECCA E	1	0.209
CARBAJALES-DALE A	1	0.209
CARDILLO A	1	0.209
CARLETTI L	1	0.209
CARRASCO-TURIGAS G	1	0.209
CARROLL DA	1	0.209
CARROT F	1	0.209
CASTELLANI B	1	0.209
CASTRO PML	1	0.209
CEKSTERE G	1	0.209
CERMAK J	1	0.209
CEULEMANS R	1	0.209
CEULEMANS T	1	0.209
CHABOWSKI M	1	0.209
CHAN SF	1	0.209
CHANDRASEKARA A	1	0.209
CHANG YC	1	0.209
CHARLESTON J	1	0.209
CHATTOPADHYAY S	1	0.209
CHEAIB A	1	0.209
CHEN C	1	0.209
CHEN JY	1	0.209
CHEN KB	1	0.209
CHEN TC	1	0.209
CHEN WQ	1	0.209
CHEN X	1	0.209
CHEN Y	1	0.209
CHEN YW	1	0.209
CHENG JR	1	0.209
CHENG SD	1	0.209
CHENG XQ	1	0.209
CHI LY	1	0.209
CHIN MH	1	0.209
CHINNA K	1	0.209
CHION M	1	0.209
CHIOU SC	1	0.209
CHIRGWIN SR	1	0.209
CHO SE	1	0.209
CHOI J	1	0.209
CHOU P	1	0.209
CHU JQ	1	0.209
CHUNG S	1	0.209
CIAPARRA D	1	0.209
CIRAC-CLAVERAS J	1	0.209
CIRACH M	1	0.209
CLABEAUX R	1	0.209
CLANCY GP	1	0.209
CLARK C	1	0.209
CLARK J	1	0.209
CLARK TN	1	0.209
CLARKE J	1	0.209
CLASQUIN E	1	0.209
CLOCHIATTI R	1	0.209
COLLINS AL	1	0.209
COLLOMB P	1	0.209
COMPEAN-DARDON MS	1	0.209
CONDON PM	1	0.209
COPELAND G	1	0.209
CORBIN A	1	0.209
COROVIC N	1	0.209
COURSE M	1	0.209
COWELL M	1	0.209
CRABTREE J	1	0.209
CRICHTON G	1	0.209
CRONIN S	1	0.209
CROW S	1	0.209
CRUZ CO	1	0.209
CUDDIHY J	1	0.209
CUFAR K	1	0.209
